stop_id,stop_name,stop_lat,stop_lon
gurugram-28.64417-77.21921,Gurugram stop,28.644168,77.219215
gurugram-28.64236-77.21964,Gurugram stop,28.64236,77.219637
gurugram-28.61217-77.11588,Gurugram stop,28.61217,77.115877
gurugram-28.48946-77.01135,Gurugram stop,28.48946,77.01135
gurugram-28.48916-77.01098,Gurugram stop,28.489159,77.01098
gurugram-26.91993-75.78711,Gurugram stop,26.919927,75.787106
gurugram-26.92036-75.78650,Gurugram stop,26.92036,75.786502
gurugram-26.45680-74.63780,Gurugram stop,26.456804,74.637803
gurugram-26.45741-74.63779,Gurugram stop,26.457407,74.637785
gurugram-25.23564-73.23479,Gurugram stop,25.235643,73.234792
gurugram-25.23603-73.23492,Gurugram stop,25.236026,73.234923
gurugram-24.48137-72.78556,Gurugram stop,24.481372,72.785563
gurugram-24.17482-72.43069,Gurugram stop,24.174823,72.430694
gurugram-23.60224-72.38915,Gurugram stop,23.602245,72.389147
gurugram-23.60181-72.38907,Gurugram stop,23.601805,72.389067
gurugram-23.07670-72.58907,Gurugram stop,23.076697,72.589069
gurugram-23.07781-72.58852,Gurugram stop,23.077813,72.588515
gurugram-23.60194-72.38892,Gurugram stop,23.601944,72.388921
gurugram-24.17512-72.43049,Gurugram stop,24.17512,72.430494
gurugram-25.23465-73.23401,Gurugram stop,25.23465,73.234015
gurugram-25.23606-73.23483,Gurugram stop,25.236059,73.234829
gurugram-26.45862-74.63723,Gurugram stop,26.458618,74.63723
gurugram-26.45736-74.63739,Gurugram stop,26.457356,74.637389
gurugram-26.92043-75.78676,Gurugram stop,26.920433,75.786758
gurugram-28.48951-77.01106,Gurugram stop,28.489512,77.01106
gurugram-28.61283-77.11598,Gurugram stop,28.612828,77.115975
gurugram-28.61241-77.11574,Gurugram stop,28.612411,77.115736
