route_id,service_id,trip_id,trip_headsign
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d0-t1,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d0-t2,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d0-t3,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d0-t4,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d0-t5,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d1-t1,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d1-t2,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d1-t3,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d1-t4,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r1,daily,hyderabad-south-centra-r1-1d1-t5,Dakshin Superfast Express: Delhi => Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d0-t1,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d0-t2,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d0-t3,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d0-t4,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d0-t5,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d1-t1,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d1-t2,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d1-t3,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d1-t4,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r2,daily,hyderabad-south-centra-r2-2d1-t5,Hyderabad MMTS: Lingampalli → Hyderabad
hyderabad-south-centra-r3,daily,hyderabad-south-centra-r3-3d0-t1,Hyderabad MMTS: Hyderabad → Lingampalli
hyderabad-south-centra-r3,daily,hyderabad-south-centra-r3-3d0-t2,Hyderabad MMTS: Hyderabad → Lingampalli
hyderabad-south-centra-r3,daily,hyderabad-south-centra-r3-3d0-t3,Hyderabad MMTS: Hyderabad → Lingampalli
hyderabad-south-centra-r3,daily,hyderabad-south-centra-r3-3d0-t4,Hyderabad MMTS: Hyderabad → Lingampalli
hyderabad-south-centra-r3,daily,hyderabad-south-centra-r3-3d0-t5,Hyderabad MMTS: Hyderabad → Lingampalli
hyderabad-south-centra-r3,daily,hyderabad-south-centra-r3-3d1-t1,Hyderabad MMTS: Hyderabad → Lingampalli
hyderabad-south-centra-r3,daily,hyderabad-south-centra-r3-3d1-t2,Hyderabad MMTS: Hyderabad → Lingampalli
hyderabad-south-centra-r3,daily,hyderabad-south-centra-r3-3d1-t3,Hyderabad MMTS: Hyderabad → Lingampalli
