stop_id,stop_name,stop_lat,stop_lon
M_MSOR,Mansarovar (Metro),26.879531,75.749971
M_NAMT,New Aatish Market (Metro),26.880308,75.764602
M_VKVR,Vivek Vihar (Metro),26.888952,75.768499
M_SMNR,Shyam Nagar (Metro),26.89665,75.770667
M_RMNR,Ram Nagar (Metro),26.901944,75.774652
M_CLJP,Civil Lines (Metro),26.909585,75.781277
M_MRSN,Railway Station (Metro),26.918559,75.789903
M_SICP,Sindhi Camp (Metro),26.922563,75.799747
M_CDPE,Chandpole (Metro),26.92637,75.807456
M_CTCP,Chhoti Chaupar (Metro),26.92472,75.818456
M_BICP,Badi Chaupar (Metro),26.92296,75.826814
B_AJMERIGATE,Ajmeri Gate,26.9115,75.8139
B_CHANDPOLE,Chandpole,26.9264,75.8075
B_BADICHOPAR,Badi Chopad,26.923,75.8268
B_CHOTICHOPAR,Choti Chopar,26.9247,75.8185
B_CHOMUPULIA,Chomu Pulia,26.9498,75.7779
B_VKI,VKI Area,26.986,75.766
B_RAILSTN,Jaipur Railway Station,26.9196,75.7884
B_GALTAGATE,Galtagate,26.916,75.844
B_TPNAGAR,Transport Nagar,26.856,75.855
B_SANGANER,Sanganer,26.8165,75.788
B_DURGAPURA,Durgapura,26.8495,75.789
B_TONKFATAK,Tonk Phatak,26.877,75.799
B_RAMBAG,Rambagh Circle,26.892,75.813
B_MALVIYANAGAR,Malviya Nagar,26.856,75.812
B_MANSAROVAR,Mansarovar,26.855,75.762
B_GOPALPURA,Gopalpura,26.876,75.782
B_HEERAPURA,Heerapura / RSBTDA,26.9,75.729
B_JHOTWARA,Jhotwara,26.945,75.744
B_KHIRNIPHATAK,Khirni Phatak,26.93,75.735
B_MURLIPURA,Murlipura,26.968,75.78
B_AGARWALFARM,Agarwal Farm,26.848,75.805
B_GONER,Goner,26.795,75.887
B_GONERMODE,Goner Mode,26.833,75.858
B_CHAKSU,Chaksu,26.606,75.947
B_BILWA,Bilwa,26.7,75.86
B_SHIVDASPURA,Shivdaspura,26.671,75.898
B_CHOMU,Chomu,27.166,75.723
B_KUKAS,Kukas,27.038,75.87
B_AMBER,Amber Fort,26.985,75.851
B_JALMAHAL,Jal Mahal,26.9535,75.846
B_BAGRU,Bagru Bus Stand,26.816,75.545
B_SODALA,Sodala,26.9,75.771
B_VAISHALINAGAR,Vaishali Nagar,26.912,75.74
B_PATRAKARCOLONY,Patrakar Colony,26.858,75.774
B_GURJARKITHADI,Gurjar Ki Thadi,26.88,75.759
B_PRATAPNAGAR,Pratap Nagar,26.783,75.828
B_VATIKA,Vatika,26.74,75.85
B_KANOTA,Kanota,26.895,75.94
B_BASSICHAK,Bassi Chak,26.831,76.049
B_JAGATPURA,Jagatpura,26.826,75.855
B_JAHALANA,Jahalana,26.87,75.828
B_KHOLEHANUMAN,Khole Ke Hanumanji,26.945,75.85
B_NIWARU,Niwaru,26.985,75.735
B_HATHOJ,Hathoj,26.965,75.73
B_KALWAD,Kalwad,27.01,75.7
B_PANIPECH,Panipech,26.94,75.795
B_RAMGARH,Ramgarh,27.023,75.998
B_MANIPAL,Manipal University,26.842,75.565
B_BHANKROTA,Bhankrota,26.865,75.66
B_JAIPURAIRPORT,Jaipur Airport,26.8244,75.8122
B_JOSHIMARG,Joshi Marg,26.93,75.74
B_MGH,Mahatma Gandhi Hospital,26.795,75.85
B_HASANPURA,Hasanpura,26.925,75.783
B_KHATIPURA,Khatipura,26.93,75.755
B_DHANAKYA,Mundiya Ramsar (Dhanakya),26.945,75.64
B_DANTLI,Dantli Phatak,26.82,75.9
B_MUHANA,Muhana Mode,26.82,75.76
B_RENWAL,Renwal,27.01,75.4
B_NAYLA,Nayla (Lali Gaav),26.93,75.98
B_JDACOLONY,JDA Colony,26.86,75.8
B_ANANDMANGLAM,Ananda Manglam City,26.78,75.87
B_PADAMPURA,Padampura,26.68,75.87
B_TITRAYA,Titraya (Bhojyara),26.64,75.9
B_DWARKAPURI,Dwarkapuri,26.84,75.78
B_BHERUKHEJDA,Bheru Khejda,27.01,75.79
B_DADIPHATAK,Dadi Ka Phatak,26.98,75.76
B_RAMNIWAS,Ramniwas Bag Parking,26.915,75.82
B_JOHARIBAZAAR,Johari Bazaar,26.919,75.824
B_TRIPOLIYA,Tripoliya Bazaar,26.925,75.821
