route_id,service_id,trip_id,trip_headsign
PINK,DAILY,PINK_0_0620,Badi Chaupar (Metro)
PINK,DAILY,PINK_1_0620,Mansarovar (Metro)
1,DAILY,1_0_0500,Galtagate
1,DAILY,1_1_0500,Bheru Khejda
1A,DAILY,1A_0_0500,VKI Area
1A,DAILY,1A_1_0500,Transport Nagar
3,DAILY,3_0_0500,Transport Nagar
3,DAILY,3_1_0500,Dwarkapuri
3A,DAILY,3A_0_0500,Choti Chopar
3A,DAILY,3A_1_0500,Sanganer
6A,DAILY,6A_0_0500,Jaipur Airport
6A,DAILY,6A_1_0500,Khirni Phatak
7,DAILY,7_0_0500,Transport Nagar
7,DAILY,7_1_0500,Khirni Phatak
9A,DAILY,9A_0_0500,Agarwal Farm
9A,DAILY,9A_1_0500,Dadi Ka Phatak
10B,DAILY,10B_0_0500,Khole Ke Hanumanji
10B,DAILY,10B_1_0500,Niwaru
11,DAILY,11_0_0500,Goner
11,DAILY,11_1_0500,Ajmeri Gate
14,DAILY,14_0_0500,Bassi Chak
14,DAILY,14_1_0500,Chomu Pulia
15,DAILY,15_0_0500,Chomu
15,DAILY,15_1_0500,Chandpole
16,DAILY,16_0_0500,Chaksu
16,DAILY,16_1_0500,Ajmeri Gate
23A,DAILY,23A_0_0500,Patrakar Colony
23A,DAILY,23A_1_0500,Ajmeri Gate
24,DAILY,24_0_0500,Kalwad
24,DAILY,24_1_0500,Chandpole
25A,DAILY,25A_0_0500,Padampura
25A,DAILY,25A_1_0500,Ajmeri Gate
25B,DAILY,25B_0_0500,Titraya (Bhojyara)
25B,DAILY,25B_1_0500,Ajmeri Gate
26,DAILY,26_0_0500,Bagru Bus Stand
26,DAILY,26_1_0500,Chandpole
27,DAILY,27_0_0500,Vatika
27,DAILY,27_1_0500,Goner
28,DAILY,28_0_0500,Renwal
28,DAILY,28_1_0500,Ajmeri Gate
30,DAILY,30_0_0500,Ramgarh
30,DAILY,30_1_0500,Badi Chopad
32,DAILY,32_0_0500,Nayla (Lali Gaav)
32,DAILY,32_1_0500,Heerapura / RSBTDA
34,DAILY,34_0_0500,Ananda Manglam City
34,DAILY,34_1_0500,JDA Colony
AC1,DAILY,AC1_0_0500,Kukas
AC1,DAILY,AC1_1_0500,Sanganer
AC2,DAILY,AC2_0_0500,Mahatma Gandhi Hospital
AC2,DAILY,AC2_1_0500,Joshi Marg
AC7,DAILY,AC7_0_0500,Dantli Phatak
AC7,DAILY,AC7_1_0500,Chomu Pulia
AC8,DAILY,AC8_0_0500,Mundiya Ramsar (Dhanakya)
AC8,DAILY,AC8_1_0500,Choti Chopar
RBP2,DAILY,RBP2_0_0500,Ramniwas Bag Parking
RBP2,DAILY,RBP2_1_0500,Ramniwas Bag Parking
