trip_id,arrival_time,departure_time,stop_id,stop_sequence
jaipur-jctsl-r1-1d0-t1,06:00:00,06:00:00,jaipur-26.92045-75.73053,1
jaipur-jctsl-r1-1d0-t1,06:01:53,06:01:53,jaipur-26.91503-75.72999,2
jaipur-jctsl-r1-1d0-t1,06:04:54,06:04:54,jaipur-26.90564-75.72899,3
jaipur-jctsl-r1-1d0-t1,06:06:24,06:06:24,jaipur-26.90160-75.73001,4
jaipur-jctsl-r1-1d0-t1,06:08:49,06:08:49,jaipur-26.89514-75.73388,5
jaipur-jctsl-r1-1d0-t1,06:14:13,06:14:13,jaipur-26.87961-75.74370,6
jaipur-jctsl-r1-1d0-t1,06:16:04,06:16:04,jaipur-26.87959-75.74970,7
jaipur-jctsl-r1-1d0-t1,06:18:29,06:18:29,jaipur-26.88029-75.75788,8
jaipur-jctsl-r1-1d0-t1,06:21:10,06:21:10,jaipur-26.88064-75.76716,9
jaipur-jctsl-r1-1d0-t1,06:23:14,06:23:14,jaipur-26.87735-75.77295,10
jaipur-jctsl-r1-1d0-t1,06:24:51,06:24:51,jaipur-26.87398-75.77632,11
jaipur-jctsl-r1-1d0-t1,06:26:34,06:26:34,jaipur-26.87118-75.78080,12
jaipur-jctsl-r1-1d0-t1,06:28:02,06:28:02,jaipur-26.86843-75.78408,13
jaipur-jctsl-r1-1d0-t1,06:31:47,06:31:47,jaipur-26.86264-75.79586,14
jaipur-jctsl-r1-1d0-t1,06:32:57,06:32:57,jaipur-26.86416-75.79608,15
jaipur-jctsl-r1-1d0-t1,06:35:27,06:35:27,jaipur-26.87174-75.79719,16
jaipur-jctsl-r1-1d0-t1,06:38:01,06:38:01,jaipur-26.87947-75.79891,17
jaipur-jctsl-r1-1d0-t1,06:39:11,06:39:11,jaipur-26.88116-75.79958,18
jaipur-jctsl-r1-1d0-t1,06:40:21,06:40:21,jaipur-26.88355-75.80076,19
jaipur-jctsl-r1-1d0-t1,06:41:54,06:41:54,jaipur-26.88747-75.80275,20
jaipur-jctsl-r1-1d0-t1,06:43:45,06:43:45,jaipur-26.89191-75.80609,21
jaipur-jctsl-r1-1d0-t1,06:44:55,06:44:55,jaipur-26.89411-75.80796,22
jaipur-jctsl-r1-1d0-t1,06:46:15,06:46:15,jaipur-26.89695-75.81033,23
jaipur-jctsl-r1-1d0-t1,06:47:32,06:47:32,jaipur-26.89974-75.81239,24
jaipur-jctsl-r1-1d0-t1,06:48:59,06:48:59,jaipur-26.89899-75.81673,25
jaipur-jctsl-r1-1d0-t1,06:50:09,06:50:09,jaipur-26.89968-75.81956,26
jaipur-jctsl-r1-1d0-t1,06:52:35,06:52:35,jaipur-26.89664-75.82711,27
