stop_id,stop_name,stop_lat,stop_lon
jaipur-26.92045-75.73053,Jaipur stop,26.920454,75.730527
jaipur-26.91503-75.72999,Jaipur stop,26.915033,75.729985
jaipur-26.90564-75.72899,Jaipur stop,26.905643,75.728995
jaipur-26.90160-75.73001,Jaipur stop,26.901598,75.730006
jaipur-26.89514-75.73388,Jaipur stop,26.895145,75.733884
jaipur-26.87961-75.74370,Jaipur stop,26.879614,75.743701
jaipur-26.87959-75.74970,Jaipur stop,26.879588,75.749698
jaipur-26.88029-75.75788,Jaipur stop,26.880288,75.757879
jaipur-26.88064-75.76716,Jaipur stop,26.88064,75.76716
jaipur-26.87735-75.77295,Jaipur stop,26.877346,75.772953
jaipur-26.87398-75.77632,Jaipur stop,26.87398,75.776316
jaipur-26.87118-75.78080,Jaipur stop,26.871182,75.780805
jaipur-26.86843-75.78408,Jaipur stop,26.868431,75.78408
jaipur-26.86264-75.79586,Jaipur stop,26.862644,75.795858
jaipur-26.86416-75.79608,Jaipur stop,26.864157,75.796084
jaipur-26.87174-75.79719,Jaipur stop,26.87174,75.797189
jaipur-26.87947-75.79891,Jaipur stop,26.879469,75.798907
jaipur-26.88116-75.79958,Jaipur stop,26.881163,75.799579
jaipur-26.88355-75.80076,Jaipur stop,26.883551,75.800761
jaipur-26.88747-75.80275,Jaipur stop,26.887475,75.802754
jaipur-26.89191-75.80609,Jaipur stop,26.891911,75.806091
jaipur-26.89411-75.80796,Jaipur stop,26.894114,75.807962
jaipur-26.89695-75.81033,Jaipur stop,26.896952,75.810326
jaipur-26.89974-75.81239,Jaipur stop,26.899737,75.812385
jaipur-26.89899-75.81673,Jaipur stop,26.898994,75.816725
jaipur-26.89968-75.81956,Jaipur stop,26.899685,75.819564
jaipur-26.89664-75.82711,Jaipur stop,26.89664,75.827107
jaipur-26.90299-75.83707,Jaipur stop,26.902993,75.837072
jaipur-26.90699-75.84109,Jaipur stop,26.906987,75.841093
jaipur-26.91134-75.72962,Jaipur stop,26.911343,75.729618
jaipur-26.88826-75.73744,Jaipur stop,26.888262,75.737442
jaipur-26.88416-75.74012,Jaipur stop,26.884162,75.740122
jaipur-26.87959-75.76122,Jaipur stop,26.879593,75.761222
jaipur-26.88057-75.76522,Jaipur stop,26.880574,75.765224
jaipur-26.90618-75.84026,Jaipur stop,26.906181,75.840259
jaipur-26.91498-75.74316,Jaipur stop,26.914977,75.743156
jaipur-26.91137-75.73910,Jaipur stop,26.911368,75.739098
jaipur-26.90586-75.75279,Jaipur stop,26.905864,75.752793
jaipur-26.89960-75.75767,Jaipur stop,26.899601,75.757672
jaipur-26.90189-75.79391,Jaipur stop,26.901891,75.793908
jaipur-26.90527-75.81465,Jaipur stop,26.905271,75.814651
jaipur-26.91176-75.81588,Jaipur stop,26.911755,75.815876
jaipur-26.91617-75.81705,Jaipur stop,26.916167,75.817055
jaipur-26.91646-75.81864,Jaipur stop,26.916457,75.818636
jaipur-26.91344-75.83295,Jaipur stop,26.913443,75.832947
jaipur-26.91009-75.83727,Jaipur stop,26.91009,75.837272
jaipur-26.90452-75.84433,Jaipur stop,26.904523,75.844333
jaipur-26.90404-75.84444,Jaipur stop,26.904036,75.844441
jaipur-26.90154-75.84372,Jaipur stop,26.90154,75.843716
jaipur-26.89276-75.86786,Jaipur stop,26.892756,75.867863
jaipur-26.87442-75.94922,Jaipur stop,26.874424,75.949216
jaipur-26.85650-76.05339,Jaipur stop,26.856497,76.053394
jaipur-26.94015-75.77319,Jaipur stop,26.940155,75.773187
jaipur-26.94232-75.76292,Jaipur stop,26.942324,75.762915
jaipur-26.93459-75.75429,Jaipur stop,26.934591,75.754289
jaipur-26.92870-75.74864,Jaipur stop,26.928696,75.748636
jaipur-26.92286-75.74471,Jaipur stop,26.922857,75.744715
jaipur-26.91493-75.74298,Jaipur stop,26.914925,75.742984
