route_id,service_id,trip_id,trip_headsign
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d0-t1,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d0-t2,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d0-t3,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d0-t4,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d0-t5,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d1-t1,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d1-t2,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d1-t3,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d1-t4,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r1,daily,jaipur-jmrc-r1-1d1-t5,Pink Line (Mansarovar --> Badi Chaupar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d0-t1,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d0-t2,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d0-t3,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d0-t4,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d0-t5,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d1-t1,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d1-t2,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d1-t3,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d1-t4,Pink Line (Badi Chaupar --> Mansarovar)
jaipur-jmrc-r2,daily,jaipur-jmrc-r2-2d1-t5,Pink Line (Badi Chaupar --> Mansarovar)
