stop_id,stop_name,stop_lat,stop_lon
jalandhar-32.70573-74.88019,Jalandhar stop,32.705731,74.880192
jalandhar-32.39838-75.55099,Jalandhar stop,32.398384,75.550994
jalandhar-32.25956-75.63602,Jalandhar stop,32.259559,75.636019
jalandhar-32.25960-75.63541,Jalandhar stop,32.259595,75.635408
jalandhar-30.91190-75.84857,Jalandhar stop,30.9119,75.848573
jalandhar-30.91312-75.84782,Jalandhar stop,30.913119,75.847824
jalandhar-28.64080-77.22143,Jalandhar stop,28.640803,77.221431
jalandhar-28.64257-77.22113,Jalandhar stop,28.642571,77.221134
jalandhar-30.91196-75.84837,Jalandhar stop,30.911963,75.848366
jalandhar-30.91311-75.84778,Jalandhar stop,30.913106,75.847782
jalandhar-32.25948-75.63513,Jalandhar stop,32.259482,75.635132
jalandhar-32.39794-75.55110,Jalandhar stop,32.397943,75.551098
