trip_id,arrival_time,departure_time,stop_id,stop_sequence
jamshedpur-east-coast-r-r1-1d0-t1,06:00:00,06:00:00,jamshedpur-20.26671-85.84369,1
jamshedpur-east-coast-r-r1-1d0-t1,06:01:10,06:01:10,jamshedpur-20.26574-85.84307,2
jamshedpur-east-coast-r-r1-1d0-t1,06:33:16,06:33:16,jamshedpur-20.46429-85.90047,3
jamshedpur-east-coast-r-r1-1d0-t1,06:34:26,06:34:26,jamshedpur-20.46539-85.90085,4
jamshedpur-east-coast-r-r1-1d0-t1,08:46:08,08:46:08,jamshedpur-21.09175-86.51642,5
jamshedpur-east-coast-r-r1-1d0-t1,08:47:18,08:47:18,jamshedpur-21.09115-86.51610,6
jamshedpur-east-coast-r-r1-1d0-t1,10:13:41,10:13:41,jamshedpur-21.50160-86.92056,7
jamshedpur-east-coast-r-r1-1d0-t1,10:14:51,10:14:51,jamshedpur-21.50112-86.92023,8
jamshedpur-east-coast-r-r1-1d0-t1,12:33:54,12:33:54,jamshedpur-22.31907-87.32038,9
jamshedpur-east-coast-r-r1-1d0-t1,12:35:04,12:35:04,jamshedpur-22.31986-87.31939,10
jamshedpur-east-coast-r-r1-1d0-t1,15:29:20,15:29:20,jamshedpur-22.76843-86.20081,11
jamshedpur-east-coast-r-r1-1d0-t1,15:30:30,15:30:30,jamshedpur-22.76807-86.20161,12
jamshedpur-east-coast-r-r1-1d0-t1,17:16:30,17:16:30,jamshedpur-23.37910-85.86683,13
jamshedpur-east-coast-r-r1-1d0-t1,17:17:40,17:17:40,jamshedpur-23.37793-85.86708,14
jamshedpur-east-coast-r-r1-1d0-t1,18:11:02,18:11:02,jamshedpur-23.65792-86.08408,15
jamshedpur-east-coast-r-r1-1d0-t1,18:45:46,18:45:46,jamshedpur-23.87159-86.15295,16
jamshedpur-east-coast-r-r1-1d0-t1,20:49:55,20:49:55,jamshedpur-24.43503-85.52784,17
jamshedpur-east-coast-r-r1-1d0-t1,20:51:05,20:51:05,jamshedpur-24.43449-85.52898,18
jamshedpur-east-coast-r-r1-1d0-t1,22:25:06,22:25:06,jamshedpur-24.80412-84.99985,19
jamshedpur-east-coast-r-r1-1d0-t1,22:26:16,22:26:16,jamshedpur-24.80344-84.99953,20
jamshedpur-east-coast-r-r1-1d0-t1,26:59:36,26:59:36,jamshedpur-25.27853-83.12007,21
jamshedpur-east-coast-r-r1-1d0-t1,30:02:33,30:02:33,jamshedpur-25.44561-81.82456,22
jamshedpur-east-coast-r-r1-1d0-t1,30:03:43,30:03:43,jamshedpur-25.44550-81.82616,23
jamshedpur-east-coast-r-r1-1d0-t1,34:21:23,34:21:23,jamshedpur-26.45418-80.35113,24
jamshedpur-east-coast-r-r1-1d0-t1,43:27:20,43:27:20,jamshedpur-28.64109-77.22113,25
jamshedpur-east-coast-r-r1-1d0-t1,43:28:30,43:28:30,jamshedpur-28.64256-77.22102,26
jamshedpur-east-coast-r-r1-1d0-t2,08:00:00,08:00:00,jamshedpur-20.26671-85.84369,1
jamshedpur-east-coast-r-r1-1d0-t2,08:01:10,08:01:10,jamshedpur-20.26574-85.84307,2
jamshedpur-east-coast-r-r1-1d0-t2,08:33:16,08:33:16,jamshedpur-20.46429-85.90047,3
jamshedpur-east-coast-r-r1-1d0-t2,08:34:26,08:34:26,jamshedpur-20.46539-85.90085,4
jamshedpur-east-coast-r-r1-1d0-t2,10:46:08,10:46:08,jamshedpur-21.09175-86.51642,5
jamshedpur-east-coast-r-r1-1d0-t2,10:47:18,10:47:18,jamshedpur-21.09115-86.51610,6
jamshedpur-east-coast-r-r1-1d0-t2,12:13:41,12:13:41,jamshedpur-21.50160-86.92056,7
jamshedpur-east-coast-r-r1-1d0-t2,12:14:51,12:14:51,jamshedpur-21.50112-86.92023,8
jamshedpur-east-coast-r-r1-1d0-t2,14:33:54,14:33:54,jamshedpur-22.31907-87.32038,9
jamshedpur-east-coast-r-r1-1d0-t2,14:35:04,14:35:04,jamshedpur-22.31986-87.31939,10
jamshedpur-east-coast-r-r1-1d0-t2,17:29:20,17:29:20,jamshedpur-22.76843-86.20081,11
jamshedpur-east-coast-r-r1-1d0-t2,17:30:30,17:30:30,jamshedpur-22.76807-86.20161,12
jamshedpur-east-coast-r-r1-1d0-t2,19:16:30,19:16:30,jamshedpur-23.37910-85.86683,13
jamshedpur-east-coast-r-r1-1d0-t2,19:17:40,19:17:40,jamshedpur-23.37793-85.86708,14
jamshedpur-east-coast-r-r1-1d0-t2,20:11:02,20:11:02,jamshedpur-23.65792-86.08408,15
jamshedpur-east-coast-r-r1-1d0-t2,20:45:46,20:45:46,jamshedpur-23.87159-86.15295,16
jamshedpur-east-coast-r-r1-1d0-t2,22:49:55,22:49:55,jamshedpur-24.43503-85.52784,17
jamshedpur-east-coast-r-r1-1d0-t2,22:51:05,22:51:05,jamshedpur-24.43449-85.52898,18
jamshedpur-east-coast-r-r1-1d0-t2,24:25:06,24:25:06,jamshedpur-24.80412-84.99985,19
jamshedpur-east-coast-r-r1-1d0-t2,24:26:16,24:26:16,jamshedpur-24.80344-84.99953,20
jamshedpur-east-coast-r-r1-1d0-t2,28:59:36,28:59:36,jamshedpur-25.27853-83.12007,21
jamshedpur-east-coast-r-r1-1d0-t2,32:02:33,32:02:33,jamshedpur-25.44561-81.82456,22
jamshedpur-east-coast-r-r1-1d0-t2,32:03:43,32:03:43,jamshedpur-25.44550-81.82616,23
jamshedpur-east-coast-r-r1-1d0-t2,36:21:23,36:21:23,jamshedpur-26.45418-80.35113,24
jamshedpur-east-coast-r-r1-1d0-t2,45:27:20,45:27:20,jamshedpur-28.64109-77.22113,25
jamshedpur-east-coast-r-r1-1d0-t2,45:28:30,45:28:30,jamshedpur-28.64256-77.22102,26
jamshedpur-east-coast-r-r1-1d0-t3,12:00:00,12:00:00,jamshedpur-20.26671-85.84369,1
jamshedpur-east-coast-r-r1-1d0-t3,12:01:10,12:01:10,jamshedpur-20.26574-85.84307,2
