stop_id,stop_name,stop_lat,stop_lon
jamshedpur-22.58255-88.33901,Jamshedpur stop,22.582552,88.339012
jamshedpur-22.58115-88.34143,Jamshedpur stop,22.581147,88.341432
jamshedpur-22.76843-86.20081,Jamshedpur stop,22.768432,86.200812
jamshedpur-22.76807-86.20161,Jamshedpur stop,22.768068,86.20161
jamshedpur-22.67775-85.62660,Jamshedpur stop,22.67775,85.6266
jamshedpur-22.67815-85.62710,Jamshedpur stop,22.678149,85.627101
jamshedpur-21.86205-84.01779,Jamshedpur stop,21.862045,84.017785
jamshedpur-22.01168-82.95681,Jamshedpur stop,22.011682,82.956815
jamshedpur-21.04719-75.78714,Jamshedpur stop,21.047187,75.787143
jamshedpur-21.01832-75.56350,Jamshedpur stop,21.018318,75.563503
jamshedpur-21.01816-75.56291,Jamshedpur stop,21.018156,75.562913
jamshedpur-20.46418-74.99966,Jamshedpur stop,20.464181,74.99966
jamshedpur-20.25009-74.43915,Jamshedpur stop,20.250087,74.439154
jamshedpur-19.94896-73.84259,Jamshedpur stop,19.948962,73.842589
jamshedpur-19.94797-73.84245,Jamshedpur stop,19.947965,73.842454
