stop_id,stop_name,stop_lat,stop_lon
kanpur-22.56872-88.37410,Kanpur stop,22.568722,88.374095
kanpur-23.49476-87.31836,Kanpur stop,23.494763,87.318362
kanpur-23.69121-86.97518,Kanpur stop,23.691206,86.975176
kanpur-23.79172-86.42867,Kanpur stop,23.791724,86.428669
kanpur-24.80412-84.99985,Kanpur stop,24.804124,84.999848
kanpur-25.27917-83.12071,Kanpur stop,25.279166,83.12071
kanpur-26.45426-80.35194,Kanpur stop,26.454261,80.351936
kanpur-28.64109-77.22113,Kanpur stop,28.641087,77.221133
kanpur-28.64193-77.22175,Kanpur stop,28.641926,77.22175
kanpur-26.45386-80.35124,Kanpur stop,26.453861,80.351243
kanpur-25.28039-83.12074,Kanpur stop,25.280392,83.12074
kanpur-23.79130-86.42948,Kanpur stop,23.791302,86.429478
kanpur-22.56797-88.37110,Kanpur stop,22.567966,88.371105
kanpur-27.18306-78.01871,Kanpur stop,27.183059,78.018711
kanpur-27.19248-78.03958,Kanpur stop,27.192476,78.039583
kanpur-27.20807-78.23370,Kanpur stop,27.208066,78.233701
kanpur-27.20758-78.23494,Kanpur stop,27.20758,78.234945
kanpur-27.14751-78.38690,Kanpur stop,27.147505,78.386896
kanpur-27.14798-78.38599,Kanpur stop,27.147979,78.385987
kanpur-27.08650-78.57445,Kanpur stop,27.086496,78.574447
kanpur-27.08640-78.57504,Kanpur stop,27.086398,78.575036
kanpur-26.78727-79.02098,Kanpur stop,26.787269,79.020983
kanpur-26.48528-79.90805,Kanpur stop,26.485282,79.908046
kanpur-26.45963-80.23946,Kanpur stop,26.45963,80.239461
kanpur-26.45981-80.23842,Kanpur stop,26.459815,80.238419
kanpur-26.45474-80.35112,Kanpur stop,26.454743,80.351118
kanpur-26.45460-80.35049,Kanpur stop,26.454598,80.350486
kanpur-26.54906-80.48690,Kanpur stop,26.549061,80.486895
kanpur-26.54931-80.48750,Kanpur stop,26.549315,80.487498
kanpur-26.83175-80.92151,Kanpur stop,26.831747,80.921512
kanpur-26.83151-80.91785,Kanpur stop,26.831506,80.917846
kanpur-26.54894-80.48697,Kanpur stop,26.548943,80.486967
kanpur-26.45467-80.35114,Kanpur stop,26.454673,80.351137
kanpur-26.45440-80.35039,Kanpur stop,26.454401,80.35039
kanpur-26.45959-80.23946,Kanpur stop,26.459594,80.239461
kanpur-26.45963-80.23801,Kanpur stop,26.459633,80.238011
kanpur-26.48511-79.90803,Kanpur stop,26.485108,79.908033
kanpur-26.78717-79.02090,Kanpur stop,26.787173,79.020904
kanpur-27.08633-78.57490,Kanpur stop,27.086327,78.574899
kanpur-27.08607-78.57538,Kanpur stop,27.086071,78.575379
kanpur-27.14746-78.38687,Kanpur stop,27.14746,78.386874
kanpur-27.14765-78.38618,Kanpur stop,27.147655,78.386178
kanpur-27.20777-78.23355,Kanpur stop,27.207771,78.23355
kanpur-28.64257-77.22113,Kanpur stop,28.642571,77.221134
kanpur-28.64080-77.22143,Kanpur stop,28.640803,77.221431
kanpur-26.45435-80.35093,Kanpur stop,26.454355,80.350925
kanpur-25.27933-83.12035,Kanpur stop,25.279329,83.120352
kanpur-24.80189-84.99921,Kanpur stop,24.80189,84.99921
kanpur-23.79159-86.42947,Kanpur stop,23.791589,86.429471
kanpur-23.69147-86.97491,Kanpur stop,23.691472,86.974907
kanpur-23.49503-87.31839,Kanpur stop,23.495028,87.318392
