trip_id,arrival_time,departure_time,stop_id,stop_sequence
kanpur-indian-railw-r1-1d0-t1,06:00:00,06:00:00,kanpur-25.32706-82.98634,1
kanpur-indian-railw-r1-1d0-t1,06:01:10,06:01:10,kanpur-25.32637-82.98531,2
kanpur-indian-railw-r1-1d0-t1,08:43:28,08:43:28,kanpur-25.44582-81.83196,3
kanpur-indian-railw-r1-1d0-t1,08:44:38,08:44:38,kanpur-25.44613-81.82991,4
kanpur-indian-railw-r1-1d0-t1,13:02:37,13:02:37,kanpur-26.45409-80.35129,5
kanpur-indian-railw-r1-1d0-t1,13:03:47,13:03:47,kanpur-26.45426-80.35194,6
kanpur-indian-railw-r1-1d0-t2,08:00:00,08:00:00,kanpur-25.32706-82.98634,1
kanpur-indian-railw-r1-1d0-t2,08:01:10,08:01:10,kanpur-25.32637-82.98531,2
kanpur-indian-railw-r1-1d0-t2,10:43:28,10:43:28,kanpur-25.44582-81.83196,3
kanpur-indian-railw-r1-1d0-t2,10:44:38,10:44:38,kanpur-25.44613-81.82991,4
kanpur-indian-railw-r1-1d0-t2,15:02:37,15:02:37,kanpur-26.45409-80.35129,5
kanpur-indian-railw-r1-1d0-t2,15:03:47,15:03:47,kanpur-26.45426-80.35194,6
kanpur-indian-railw-r1-1d0-t3,12:00:00,12:00:00,kanpur-25.32706-82.98634,1
kanpur-indian-railw-r1-1d0-t3,12:01:10,12:01:10,kanpur-25.32637-82.98531,2
kanpur-indian-railw-r1-1d0-t3,14:43:28,14:43:28,kanpur-25.44582-81.83196,3
kanpur-indian-railw-r1-1d0-t3,14:44:38,14:44:38,kanpur-25.44613-81.82991,4
kanpur-indian-railw-r1-1d0-t3,19:02:37,19:02:37,kanpur-26.45409-80.35129,5
kanpur-indian-railw-r1-1d0-t3,19:03:47,19:03:47,kanpur-26.45426-80.35194,6
kanpur-indian-railw-r1-1d0-t4,17:00:00,17:00:00,kanpur-25.32706-82.98634,1
kanpur-indian-railw-r1-1d0-t4,17:01:10,17:01:10,kanpur-25.32637-82.98531,2
kanpur-indian-railw-r1-1d0-t4,19:43:28,19:43:28,kanpur-25.44582-81.83196,3
kanpur-indian-railw-r1-1d0-t4,19:44:38,19:44:38,kanpur-25.44613-81.82991,4
kanpur-indian-railw-r1-1d0-t4,24:02:37,24:02:37,kanpur-26.45409-80.35129,5
kanpur-indian-railw-r1-1d0-t4,24:03:47,24:03:47,kanpur-26.45426-80.35194,6
kanpur-indian-railw-r1-1d0-t5,20:00:00,20:00:00,kanpur-25.32706-82.98634,1
kanpur-indian-railw-r1-1d0-t5,20:01:10,20:01:10,kanpur-25.32637-82.98531,2
kanpur-indian-railw-r1-1d0-t5,22:43:28,22:43:28,kanpur-25.44582-81.83196,3
kanpur-indian-railw-r1-1d0-t5,22:44:38,22:44:38,kanpur-25.44613-81.82991,4
kanpur-indian-railw-r1-1d0-t5,27:02:37,27:02:37,kanpur-26.45409-80.35129,5
kanpur-indian-railw-r1-1d0-t5,27:03:47,27:03:47,kanpur-26.45426-80.35194,6
kanpur-indian-railw-r1-1d1-t1,06:00:00,06:00:00,kanpur-26.45426-80.35194,1
kanpur-indian-railw-r1-1d1-t1,06:01:10,06:01:10,kanpur-26.45409-80.35129,2
kanpur-indian-railw-r1-1d1-t1,10:19:09,10:19:09,kanpur-25.44613-81.82991,3
kanpur-indian-railw-r1-1d1-t1,10:20:19,10:20:19,kanpur-25.44582-81.83196,4
kanpur-indian-railw-r1-1d1-t1,13:02:37,13:02:37,kanpur-25.32637-82.98531,5
kanpur-indian-railw-r1-1d1-t1,13:03:47,13:03:47,kanpur-25.32706-82.98634,6
kanpur-indian-railw-r1-1d1-t2,08:00:00,08:00:00,kanpur-26.45426-80.35194,1
kanpur-indian-railw-r1-1d1-t2,08:01:10,08:01:10,kanpur-26.45409-80.35129,2
kanpur-indian-railw-r1-1d1-t2,12:19:09,12:19:09,kanpur-25.44613-81.82991,3
kanpur-indian-railw-r1-1d1-t2,12:20:19,12:20:19,kanpur-25.44582-81.83196,4
kanpur-indian-railw-r1-1d1-t2,15:02:37,15:02:37,kanpur-25.32637-82.98531,5
kanpur-indian-railw-r1-1d1-t2,15:03:47,15:03:47,kanpur-25.32706-82.98634,6
kanpur-indian-railw-r1-1d1-t3,12:00:00,12:00:00,kanpur-26.45426-80.35194,1
kanpur-indian-railw-r1-1d1-t3,12:01:10,12:01:10,kanpur-26.45409-80.35129,2
kanpur-indian-railw-r1-1d1-t3,16:19:09,16:19:09,kanpur-25.44613-81.82991,3
kanpur-indian-railw-r1-1d1-t3,16:20:19,16:20:19,kanpur-25.44582-81.83196,4
kanpur-indian-railw-r1-1d1-t3,19:02:37,19:02:37,kanpur-25.32637-82.98531,5
kanpur-indian-railw-r1-1d1-t3,19:03:47,19:03:47,kanpur-25.32706-82.98634,6
kanpur-indian-railw-r1-1d1-t4,17:00:00,17:00:00,kanpur-26.45426-80.35194,1
kanpur-indian-railw-r1-1d1-t4,17:01:10,17:01:10,kanpur-26.45409-80.35129,2
kanpur-indian-railw-r1-1d1-t4,21:19:09,21:19:09,kanpur-25.44613-81.82991,3
kanpur-indian-railw-r1-1d1-t4,21:20:19,21:20:19,kanpur-25.44582-81.83196,4
kanpur-indian-railw-r1-1d1-t4,24:02:37,24:02:37,kanpur-25.32637-82.98531,5
kanpur-indian-railw-r1-1d1-t4,24:03:47,24:03:47,kanpur-25.32706-82.98634,6
kanpur-indian-railw-r1-1d1-t5,20:00:00,20:00:00,kanpur-26.45426-80.35194,1
kanpur-indian-railw-r1-1d1-t5,20:01:10,20:01:10,kanpur-26.45409-80.35129,2
kanpur-indian-railw-r1-1d1-t5,24:19:09,24:19:09,kanpur-25.44613-81.82991,3
kanpur-indian-railw-r1-1d1-t5,24:20:19,24:20:19,kanpur-25.44582-81.83196,4
kanpur-indian-railw-r1-1d1-t5,27:02:37,27:02:37,kanpur-25.32637-82.98531,5
kanpur-indian-railw-r1-1d1-t5,27:03:47,27:03:47,kanpur-25.32706-82.98634,6
