route_id,service_id,trip_id,trip_headsign
kanpur-r1,daily,kanpur-1d0-t1,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t2,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t3,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t4,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t5,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t6,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t7,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t8,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t9,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t10,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t11,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t12,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t13,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t14,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t15,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t16,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t17,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t18,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t19,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t20,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t21,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t22,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t23,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t24,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t25,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t26,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t27,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t28,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t29,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t30,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t31,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t32,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t33,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-r1,daily,kanpur-1d0-t34,Orange Line (IIT Kanpur -> Kanpur Central)
