trip_id,arrival_time,departure_time,stop_id,stop_sequence
KNP-ORANGE-EB-1,06:00:00,06:00:00,KNP-IITK,1
KNP-ORANGE-EB-1,06:02:00,06:02:00,KNP-KLYN,2
KNP-ORANGE-EB-1,06:04:00,06:04:00,KNP-SPMH,3
KNP-ORANGE-EB-1,06:06:00,06:06:00,KNP-VSVD,4
KNP-ORANGE-EB-1,06:08:00,06:08:00,KNP-GRDV,5
KNP-ORANGE-EB-1,06:10:00,06:10:00,KNP-GTNG,6
KNP-ORANGE-EB-1,06:12:00,06:12:00,KNP-RWTP,7
KNP-ORANGE-EB-1,06:14:00,06:14:00,KNP-LLRH,8
KNP-ORANGE-EB-1,06:16:00,06:16:00,KNP-MTJL,9
KNP-ORANGE-EB-1,06:18:00,06:18:00,KNP-CHNG,10
KNP-ORANGE-EB-1,06:20:00,06:20:00,KNP-NVMK,11
KNP-ORANGE-EB-1,06:22:00,06:22:00,KNP-BDCH,12
KNP-ORANGE-EB-1,06:24:00,06:24:00,KNP-NYGJ,13
KNP-ORANGE-EB-1,06:26:00,06:26:00,KNP-KNCM,14
KNP-ORANGE-WB-1,06:00:00,06:00:00,KNP-KNCM,1
KNP-ORANGE-WB-1,06:02:00,06:02:00,KNP-NYGJ,2
KNP-ORANGE-WB-1,06:04:00,06:04:00,KNP-BDCH,3
KNP-ORANGE-WB-1,06:06:00,06:06:00,KNP-NVMK,4
KNP-ORANGE-WB-1,06:08:00,06:08:00,KNP-CHNG,5
KNP-ORANGE-WB-1,06:10:00,06:10:00,KNP-MTJL,6
KNP-ORANGE-WB-1,06:12:00,06:12:00,KNP-LLRH,7
KNP-ORANGE-WB-1,06:14:00,06:14:00,KNP-RWTP,8
KNP-ORANGE-WB-1,06:16:00,06:16:00,KNP-GTNG,9
KNP-ORANGE-WB-1,06:18:00,06:18:00,KNP-GRDV,10
KNP-ORANGE-WB-1,06:20:00,06:20:00,KNP-VSVD,11
KNP-ORANGE-WB-1,06:22:00,06:22:00,KNP-SPMH,12
KNP-ORANGE-WB-1,06:24:00,06:24:00,KNP-KLYN,13
KNP-ORANGE-WB-1,06:26:00,06:26:00,KNP-IITK,14
