route_id,service_id,trip_id,trip_headsign
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d0-t1,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d0-t2,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d0-t3,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d0-t4,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d0-t5,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d1-t1,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d1-t2,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d1-t3,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d1-t4,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r1,daily,kanpur-uttar-prades-r1-1d1-t5,Orange Line (IIT Kanpur -> Kanpur Central)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d0-t1,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d0-t2,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d0-t3,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d0-t4,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d0-t5,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d1-t1,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d1-t2,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d1-t3,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d1-t4,Orange Line (Kanpur Central -> IIT Kanpur)
kanpur-uttar-prades-r2,daily,kanpur-uttar-prades-r2-2d1-t5,Orange Line (Kanpur Central -> IIT Kanpur)
