route_id,service_id,trip_id,trip_headsign
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d0-t1,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d0-t2,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d0-t3,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d0-t4,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d0-t5,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d1-t1,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d1-t2,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d1-t3,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d1-t4,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
kochi-kerala-state-r1,daily,kochi-kerala-state-r1-1d1-t5,Bus: Vyttila → Thiruvananthapuram KSRTC SuperFast
