trip_id,arrival_time,departure_time,stop_id,stop_sequence
kochi-kmrl-r1-1d0-t1,06:00:00,06:00:00,kochi-10.11023-76.34939,1
kochi-kmrl-r1-1d0-t1,06:02:43,06:02:43,kochi-10.09503-76.34658,2
kochi-kmrl-r1-1d0-t1,06:04:22,06:04:22,kochi-10.08728-76.34279,3
kochi-kmrl-r1-1d0-t1,06:06:04,06:06:04,kochi-10.07923-76.33886,4
kochi-kmrl-r1-1d0-t1,06:07:40,06:07:40,kochi-10.07274-76.33369,5
kochi-kmrl-r1-1d0-t1,06:10:49,06:10:49,kochi-10.05859-76.32196,6
kochi-kmrl-r1-1d0-t1,06:13:04,06:13:04,kochi-10.04670-76.31827,7
kochi-kmrl-r1-1d0-t1,06:15:07,06:15:07,kochi-10.03621-76.31444,8
kochi-kmrl-r1-1d0-t1,06:17:21,06:17:21,kochi-10.02531-76.30850,9
kochi-kmrl-r1-1d0-t1,06:19:30,06:19:30,kochi-10.01519-76.30237,10
kochi-kmrl-r1-1d0-t1,06:21:14,06:21:14,kochi-10.00642-76.30482,11
kochi-kmrl-r1-1d0-t1,06:22:49,06:22:49,kochi-10.00046-76.29926,12
kochi-kmrl-r1-1d0-t1,06:24:39,06:24:39,kochi-9.99436-76.29151,13
kochi-kmrl-r1-1d0-t1,06:25:49,06:25:49,kochi-9.99138-76.28836,14
kochi-kmrl-r1-1d0-t1,06:27:40,06:27:40,kochi-9.98345-76.28237,15
kochi-kmrl-r1-1d0-t1,06:29:37,06:29:37,kochi-9.97328-76.28511,16
kochi-kmrl-r1-1d0-t1,06:30:56,06:30:56,kochi-9.96864-76.28956,17
kochi-kmrl-r1-1d0-t1,06:32:37,06:32:37,kochi-9.96658-76.29819,18
kochi-kmrl-r1-1d0-t1,06:34:30,06:34:30,kochi-9.96718-76.30844,19
kochi-kmrl-r1-1d0-t1,06:36:40,06:36:40,kochi-9.96761-76.32050,20
kochi-kmrl-r1-1d0-t1,06:38:15,06:38:15,kochi-9.96003-76.32368,21
kochi-kmrl-r1-1d0-t1,06:40:04,06:40:04,kochi-9.95267-76.33011,22
