stop_id,stop_name,stop_lat,stop_lon
kochi-9.69939-76.33782,Kochi stop,9.699394,76.33782
kochi-9.70373-76.33895,Kochi stop,9.703731,76.338949
kochi-9.70716-76.33881,Kochi stop,9.707158,76.338812
kochi-9.70770-76.33695,Kochi stop,9.707697,76.336955
kochi-9.71062-76.33710,Kochi stop,9.710621,76.337098
kochi-9.71433-76.33714,Kochi stop,9.714332,76.33714
kochi-8.50939-76.89646,Kochi stop,8.509386,76.896463
kochi-8.88638-76.59600,Kochi stop,8.886376,76.596002
kochi-9.18204-76.51266,Kochi stop,9.182041,76.512659
kochi-9.23920-76.54562,Kochi stop,9.239196,76.545622
kochi-9.31811-76.60837,Kochi stop,9.318108,76.608368
kochi-9.44952-76.54838,Kochi stop,9.449517,76.548378
kochi-9.39227-76.58007,Kochi stop,9.392273,76.58007
kochi-9.59515-76.53118,Kochi stop,9.595147,76.531181
kochi-9.99300-76.28620,Kochi stop,9.993004,76.286203
