trip_id,arrival_time,departure_time,stop_id,stop_sequence
kochi-kochi-water--r1-1d0-t1,06:00:00,06:00:00,kochi-9.98386-76.27270,1
kochi-kochi-water--r1-1d0-t1,06:02:01,06:02:01,kochi-9.98700-76.26760,2
kochi-kochi-water--r1-1d0-t1,06:14:23,06:14:23,kochi-10.02821-76.25834,3
kochi-kochi-water--r1-1d0-t1,06:18:56,06:18:56,kochi-10.03835-76.26932,4
kochi-kochi-water--r1-1d0-t2,08:00:00,08:00:00,kochi-9.98386-76.27270,1
kochi-kochi-water--r1-1d0-t2,08:02:01,08:02:01,kochi-9.98700-76.26760,2
kochi-kochi-water--r1-1d0-t2,08:14:23,08:14:23,kochi-10.02821-76.25834,3
kochi-kochi-water--r1-1d0-t2,08:18:56,08:18:56,kochi-10.03835-76.26932,4
kochi-kochi-water--r1-1d0-t3,12:00:00,12:00:00,kochi-9.98386-76.27270,1
kochi-kochi-water--r1-1d0-t3,12:02:01,12:02:01,kochi-9.98700-76.26760,2
kochi-kochi-water--r1-1d0-t3,12:14:23,12:14:23,kochi-10.02821-76.25834,3
kochi-kochi-water--r1-1d0-t3,12:18:56,12:18:56,kochi-10.03835-76.26932,4
kochi-kochi-water--r1-1d0-t4,17:00:00,17:00:00,kochi-9.98386-76.27270,1
kochi-kochi-water--r1-1d0-t4,17:02:01,17:02:01,kochi-9.98700-76.26760,2
kochi-kochi-water--r1-1d0-t4,17:14:23,17:14:23,kochi-10.02821-76.25834,3
kochi-kochi-water--r1-1d0-t4,17:18:56,17:18:56,kochi-10.03835-76.26932,4
kochi-kochi-water--r1-1d0-t5,20:00:00,20:00:00,kochi-9.98386-76.27270,1
kochi-kochi-water--r1-1d0-t5,20:02:01,20:02:01,kochi-9.98700-76.26760,2
kochi-kochi-water--r1-1d0-t5,20:14:23,20:14:23,kochi-10.02821-76.25834,3
kochi-kochi-water--r1-1d0-t5,20:18:56,20:18:56,kochi-10.03835-76.26932,4
kochi-kochi-water--r1-1d1-t1,06:00:00,06:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r1-1d1-t1,06:04:33,06:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r1-1d1-t1,06:16:55,06:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r1-1d1-t1,06:18:56,06:18:56,kochi-9.98386-76.27270,4
kochi-kochi-water--r1-1d1-t2,08:00:00,08:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r1-1d1-t2,08:04:33,08:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r1-1d1-t2,08:16:55,08:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r1-1d1-t2,08:18:56,08:18:56,kochi-9.98386-76.27270,4
kochi-kochi-water--r1-1d1-t3,12:00:00,12:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r1-1d1-t3,12:04:33,12:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r1-1d1-t3,12:16:55,12:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r1-1d1-t3,12:18:56,12:18:56,kochi-9.98386-76.27270,4
kochi-kochi-water--r1-1d1-t4,17:00:00,17:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r1-1d1-t4,17:04:33,17:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r1-1d1-t4,17:16:55,17:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r1-1d1-t4,17:18:56,17:18:56,kochi-9.98386-76.27270,4
kochi-kochi-water--r1-1d1-t5,20:00:00,20:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r1-1d1-t5,20:04:33,20:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r1-1d1-t5,20:16:55,20:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r1-1d1-t5,20:18:56,20:18:56,kochi-9.98386-76.27270,4
kochi-kochi-water--r2-2d0-t1,06:00:00,06:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r2-2d0-t1,06:04:33,06:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r2-2d0-t1,06:16:55,06:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r2-2d0-t1,06:18:56,06:18:56,kochi-9.98386-76.27270,4
kochi-kochi-water--r2-2d0-t2,08:00:00,08:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r2-2d0-t2,08:04:33,08:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r2-2d0-t2,08:16:55,08:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r2-2d0-t2,08:18:56,08:18:56,kochi-9.98386-76.27270,4
kochi-kochi-water--r2-2d0-t3,12:00:00,12:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r2-2d0-t3,12:04:33,12:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r2-2d0-t3,12:16:55,12:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r2-2d0-t3,12:18:56,12:18:56,kochi-9.98386-76.27270,4
kochi-kochi-water--r2-2d0-t4,17:00:00,17:00:00,kochi-10.03835-76.26932,1
kochi-kochi-water--r2-2d0-t4,17:04:33,17:04:33,kochi-10.02821-76.25834,2
kochi-kochi-water--r2-2d0-t4,17:16:55,17:16:55,kochi-9.98700-76.26760,3
kochi-kochi-water--r2-2d0-t4,17:18:56,17:18:56,kochi-9.98386-76.27270,4
