route_id,service_id,trip_id,trip_headsign
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d0-t1,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d0-t2,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d0-t3,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d0-t4,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d0-t5,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d1-t1,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d1-t2,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d1-t3,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d1-t4,High Court → South Chittoor Water Metro
kochi-kochi-water--r1,daily,kochi-kochi-water--r1-1d1-t5,High Court → South Chittoor Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d0-t1,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d0-t2,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d0-t3,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d0-t4,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d0-t5,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d1-t1,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d1-t2,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d1-t3,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d1-t4,South Chittoor → High Court Water Metro
kochi-kochi-water--r2,daily,kochi-kochi-water--r2-2d1-t5,South Chittoor → High Court Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d0-t1,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d0-t2,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d0-t3,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d0-t4,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d0-t5,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d1-t1,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d1-t2,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d1-t3,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d1-t4,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r3,daily,kochi-kochi-water--r3-3d1-t5,South Chittoor → Eloor → Cheranalloor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d0-t1,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d0-t2,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d0-t3,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d0-t4,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d0-t5,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d1-t1,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d1-t2,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d1-t3,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d1-t4,Cheranalloor → Eloor → South Chittoor Water Metro
kochi-kochi-water--r4,daily,kochi-kochi-water--r4-4d1-t5,Cheranalloor → Eloor → South Chittoor Water Metro
