route_id,service_id,trip_id,trip_headsign
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d0-t1,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d0-t2,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d0-t3,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d0-t4,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d0-t5,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d1-t1,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d1-t2,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d1-t3,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d1-t4,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r1,daily,kochi-northern-rai-r1-1d1-t5,Rajdhani Express 12431: Thiruvananthapuram Central → Hazrat Nizamuddin
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d0-t1,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d0-t2,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d0-t3,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d0-t4,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d0-t5,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d1-t1,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d1-t2,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d1-t3,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d1-t4,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
kochi-northern-rai-r2,daily,kochi-northern-rai-r2-2d1-t5,Rajdhani Express 12432: Hazrat Nizamuddin → Thiruvananthapuram Central
