trip_id,arrival_time,departure_time,stop_id,stop_sequence
kochi-private-owne-r1-1d0-t1,06:00:00,06:00:00,kochi-9.79069-76.27780,1
kochi-private-owne-r1-1d0-t1,06:01:26,06:01:26,kochi-9.79456-76.27776,2
kochi-private-owne-r1-1d0-t1,06:02:45,06:02:45,kochi-9.79803-76.27819,3
kochi-private-owne-r1-1d0-t1,06:04:02,06:04:02,kochi-9.80131-76.27736,4
kochi-private-owne-r1-1d0-t1,06:05:24,06:05:24,kochi-9.80494-76.27677,5
kochi-private-owne-r1-1d0-t1,06:06:55,06:06:55,kochi-9.80905-76.27590,6
kochi-private-owne-r1-1d0-t1,06:08:53,06:08:53,kochi-9.81477-76.27505,7
kochi-private-owne-r1-1d0-t1,06:10:21,06:10:21,kochi-9.81870-76.27419,8
kochi-private-owne-r1-1d0-t1,06:12:04,06:12:04,kochi-9.82344-76.27306,9
kochi-private-owne-r1-1d0-t1,06:13:55,06:13:55,kochi-9.82866-76.27176,10
kochi-private-owne-r1-1d0-t1,06:15:17,06:15:17,kochi-9.83216-76.27068,11
kochi-private-owne-r1-1d0-t1,06:17:00,06:17:00,kochi-9.83702-76.27001,12
kochi-private-owne-r1-1d0-t1,06:19:11,06:19:11,kochi-9.84343-76.26870,13
kochi-private-owne-r1-1d0-t1,06:20:34,06:20:34,kochi-9.84701-76.26778,14
kochi-private-owne-r1-1d0-t1,06:22:09,06:22:09,kochi-9.85126-76.26665,15
kochi-private-owne-r1-1d0-t1,06:23:41,06:23:41,kochi-9.85546-76.26720,16
kochi-private-owne-r1-1d0-t1,06:24:51,06:24:51,kochi-9.85616-76.27007,17
kochi-private-owne-r1-1d0-t1,06:26:46,06:26:46,kochi-9.86154-76.26848,18
kochi-private-owne-r1-1d0-t1,06:27:58,06:27:58,kochi-9.86453-76.26781,19
kochi-private-owne-r1-1d0-t1,06:29:34,06:29:34,kochi-9.86887-76.26668,20
kochi-private-owne-r1-1d0-t1,06:31:08,06:31:08,kochi-9.87305-76.26533,21
kochi-private-owne-r1-1d0-t1,06:32:18,06:32:18,kochi-9.87571-76.26408,22
kochi-private-owne-r1-1d0-t1,06:33:58,06:33:58,kochi-9.88020-76.26262,23
kochi-private-owne-r1-1d0-t1,06:35:36,06:35:36,kochi-9.88462-76.26137,24
