route_id,service_id,trip_id,trip_headsign
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d0-t1,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d0-t2,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d0-t3,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d0-t4,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d0-t5,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d1-t1,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d1-t2,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d1-t3,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d1-t4,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r1,daily,kolkata-eastern-rail-r1-1d1-t5,Train 12313: Sealdah Rajdhani Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d0-t1,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d0-t2,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d0-t3,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d0-t4,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d0-t5,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d1-t1,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d1-t2,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d1-t3,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d1-t4,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r2,daily,kolkata-eastern-rail-r2-2d1-t5,Berhampore Court Kolkata Dhanya Dhaanya Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d0-t1,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d0-t2,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d0-t3,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d0-t4,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d0-t5,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d1-t1,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d1-t2,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d1-t3,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d1-t4,Bhagirathi Express
kolkata-eastern-rail-r3,daily,kolkata-eastern-rail-r3-3d1-t5,Bhagirathi Express
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d0-t1,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d0-t2,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d0-t3,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d0-t4,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d0-t5,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d1-t1,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d1-t2,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d1-t3,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d1-t4,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r4,daily,kolkata-eastern-rail-r4-4d1-t5,Hazarduari Express: Krishnanagar => Lalgola
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d0-t1,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d0-t2,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d0-t3,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d0-t4,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d0-t5,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d1-t1,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d1-t2,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d1-t3,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d1-t4,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r5,daily,kolkata-eastern-rail-r5-5d1-t5,Hazarduari Express: Lalgola => Krishnanagar
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d0-t1,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d0-t2,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d0-t3,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d0-t4,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d0-t5,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d1-t1,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d1-t2,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d1-t3,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d1-t4,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r6,daily,kolkata-eastern-rail-r6-6d1-t5,Kolkata Berhampore Court Dhanya Dhaanya Express
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d0-t1,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d0-t2,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d0-t3,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d0-t4,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d0-t5,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d1-t1,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d1-t2,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d1-t3,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d1-t4,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r7,daily,kolkata-eastern-rail-r7-7d1-t5,Sealdah - Lalgola MEMU Passenger
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d0-t1,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d0-t2,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d0-t3,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d0-t4,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d0-t5,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d1-t1,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d1-t2,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d1-t3,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d1-t4,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r8,daily,kolkata-eastern-rail-r8-8d1-t5,Duronto Express: New Delhi -> Sealdah
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d0-t1,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d0-t2,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d0-t3,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d0-t4,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d0-t5,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d1-t1,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d1-t2,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d1-t3,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d1-t4,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r9,daily,kolkata-eastern-rail-r9-9d1-t5,Duronto Express: Sealdah -> New Delhi
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d0-t1,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d0-t2,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d0-t3,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d0-t4,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d0-t5,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d1-t1,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d1-t2,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d1-t3,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d1-t4,Train 12314: Sealdah Rajdhani Express
kolkata-eastern-rail-r10,daily,kolkata-eastern-rail-r10-10d1-t5,Train 12314: Sealdah Rajdhani Express
