stop_id,stop_name,stop_lat,stop_lon
kolkata-22.51906-88.32366,Kolkata stop,22.519063,88.323665
kolkata-22.50770-88.32035,Kolkata stop,22.507695,88.320353
kolkata-22.49880-88.31736,Kolkata stop,22.498798,88.317361
kolkata-22.48740-88.31334,Kolkata stop,22.487405,88.313339
kolkata-22.47489-88.30994,Kolkata stop,22.474894,88.309938
kolkata-22.46441-88.30753,Kolkata stop,22.464408,88.307532
kolkata-22.45237-88.30185,Kolkata stop,22.452373,88.301852
kolkata-22.45240-88.30180,Kolkata stop,22.452401,88.301802
kolkata-22.46442-88.30748,Kolkata stop,22.46442,88.307485
kolkata-22.47490-88.30989,Kolkata stop,22.474897,88.309889
kolkata-22.48742-88.31329,Kolkata stop,22.48742,88.313293
kolkata-22.49880-88.31731,Kolkata stop,22.498805,88.317312
kolkata-22.50771-88.32031,Kolkata stop,22.507711,88.320307
kolkata-22.51908-88.32362,Kolkata stop,22.519079,88.323618
kolkata-22.55068-88.40401,Kolkata stop,22.550681,88.404013
kolkata-22.54380-88.39930,Kolkata stop,22.543801,88.399304
kolkata-22.53299-88.39646,Kolkata stop,22.532991,88.396456
kolkata-22.52470-88.39627,Kolkata stop,22.524696,88.39627
kolkata-22.51486-88.40146,Kolkata stop,22.514858,88.401463
kolkata-22.50530-88.40103,Kolkata stop,22.505295,88.401028
kolkata-22.49561-88.39848,Kolkata stop,22.495613,88.398479
kolkata-22.48466-88.39268,Kolkata stop,22.484664,88.392676
kolkata-22.47106-88.39823,Kolkata stop,22.471056,88.398234
kolkata-22.47098-88.39816,Kolkata stop,22.47098,88.398162
kolkata-22.48469-88.39262,Kolkata stop,22.484689,88.39262
kolkata-22.49564-88.39842,Kolkata stop,22.495635,88.398421
kolkata-22.50530-88.40097,Kolkata stop,22.505304,88.400966
kolkata-22.51485-88.40140,Kolkata stop,22.514846,88.401401
kolkata-22.52467-88.39621,Kolkata stop,22.524674,88.396212
kolkata-22.53300-88.39639,Kolkata stop,22.533001,88.396394
kolkata-22.54381-88.39924,Kolkata stop,22.54381,88.399242
kolkata-22.55073-88.40397,Kolkata stop,22.550726,88.403974
