trip_id,arrival_time,departure_time,stop_id,stop_sequence
kolkata-1d0-t1,06:00:00,06:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t1,06:14:32,06:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t1,06:18:11,06:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t2,06:10:00,06:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t2,06:24:32,06:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t2,06:28:11,06:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t3,06:20:00,06:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t3,06:34:32,06:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t3,06:38:11,06:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t4,06:30:00,06:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t4,06:44:32,06:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t4,06:48:11,06:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t5,06:40:00,06:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t5,06:54:32,06:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t5,06:58:11,06:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t6,06:50:00,06:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t6,07:04:32,07:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t6,07:08:11,07:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t7,07:00:00,07:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t7,07:14:32,07:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t7,07:18:11,07:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t8,07:10:00,07:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t8,07:24:32,07:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t8,07:28:11,07:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t9,07:20:00,07:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t9,07:34:32,07:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t9,07:38:11,07:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t10,07:30:00,07:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t10,07:44:32,07:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t10,07:48:11,07:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t11,07:40:00,07:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t11,07:54:32,07:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t11,07:58:11,07:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t12,07:50:00,07:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t12,08:04:32,08:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t12,08:08:11,08:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t13,08:00:00,08:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t13,08:14:32,08:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t13,08:18:11,08:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t14,08:10:00,08:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t14,08:24:32,08:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t14,08:28:11,08:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t15,08:20:00,08:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t15,08:34:32,08:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t15,08:38:11,08:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t16,08:30:00,08:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t16,08:44:32,08:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t16,08:48:11,08:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t17,08:40:00,08:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t17,08:54:32,08:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t17,08:58:11,08:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t18,08:50:00,08:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t18,09:04:32,09:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t18,09:08:11,09:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t19,09:00:00,09:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t19,09:14:32,09:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t19,09:18:11,09:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t20,09:10:00,09:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t20,09:24:32,09:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t20,09:28:11,09:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t21,09:20:00,09:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t21,09:34:32,09:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t21,09:38:11,09:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t22,09:30:00,09:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t22,09:44:32,09:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t22,09:48:11,09:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t23,09:40:00,09:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t23,09:54:32,09:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t23,09:58:11,09:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t24,09:50:00,09:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t24,10:04:32,10:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t24,10:08:11,10:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t25,10:00:00,10:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t25,10:14:32,10:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t25,10:18:11,10:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t26,10:10:00,10:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t26,10:24:32,10:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t26,10:28:11,10:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t27,10:20:00,10:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t27,10:34:32,10:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t27,10:38:11,10:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t28,10:30:00,10:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t28,10:44:32,10:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t28,10:48:11,10:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t29,10:40:00,10:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t29,10:54:32,10:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t29,10:58:11,10:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t30,10:50:00,10:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t30,11:04:32,11:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t30,11:08:11,11:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t31,11:00:00,11:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t31,11:14:32,11:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t31,11:18:11,11:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t32,11:10:00,11:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t32,11:24:32,11:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t32,11:28:11,11:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t33,11:20:00,11:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t33,11:34:32,11:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t33,11:38:11,11:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t34,11:30:00,11:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t34,11:44:32,11:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t34,11:48:11,11:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t35,11:40:00,11:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t35,11:54:32,11:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t35,11:58:11,11:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t36,11:50:00,11:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t36,12:04:32,12:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t36,12:08:11,12:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t37,12:00:00,12:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t37,12:14:32,12:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t37,12:18:11,12:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t38,12:10:00,12:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t38,12:24:32,12:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t38,12:28:11,12:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t39,12:20:00,12:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t39,12:34:32,12:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t39,12:38:11,12:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t40,12:30:00,12:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t40,12:44:32,12:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t40,12:48:11,12:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t41,12:40:00,12:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t41,12:54:32,12:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t41,12:58:11,12:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t42,12:50:00,12:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t42,13:04:32,13:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t42,13:08:11,13:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t43,13:00:00,13:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t43,13:14:32,13:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t43,13:18:11,13:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t44,13:10:00,13:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t44,13:24:32,13:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t44,13:28:11,13:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t45,13:20:00,13:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t45,13:34:32,13:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t45,13:38:11,13:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t46,13:30:00,13:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t46,13:44:32,13:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t46,13:48:11,13:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t47,13:40:00,13:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t47,13:54:32,13:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t47,13:58:11,13:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t48,13:50:00,13:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t48,14:04:32,14:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t48,14:08:11,14:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t49,14:00:00,14:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t49,14:14:32,14:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t49,14:18:11,14:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t50,14:10:00,14:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t50,14:24:32,14:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t50,14:28:11,14:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t51,14:20:00,14:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t51,14:34:32,14:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t51,14:38:11,14:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t52,14:30:00,14:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t52,14:44:32,14:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t52,14:48:11,14:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t53,14:40:00,14:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t53,14:54:32,14:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t53,14:58:11,14:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t54,14:50:00,14:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t54,15:04:32,15:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t54,15:08:11,15:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t55,15:00:00,15:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t55,15:14:32,15:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t55,15:18:11,15:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t56,15:10:00,15:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t56,15:24:32,15:24:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t56,15:28:11,15:28:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t57,15:20:00,15:20:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t57,15:34:32,15:34:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t57,15:38:11,15:38:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t58,15:30:00,15:30:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t58,15:44:32,15:44:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t58,15:48:11,15:48:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t59,15:40:00,15:40:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t59,15:54:32,15:54:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t59,15:58:11,15:58:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t60,15:50:00,15:50:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t60,16:04:32,16:04:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t60,16:08:11,16:08:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t61,16:00:00,16:00:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t61,16:14:32,16:14:32,kolkata-22.60567-88.38471,2
kolkata-1d0-t61,16:18:11,16:18:11,kolkata-22.59997-88.37293,3
kolkata-1d0-t62,16:10:00,16:10:00,kolkata-22.56302-88.34997,1
kolkata-1d0-t62,16:24:32,16:24:32,kolkata-22.60567-88.38471,2
