stop_id,stop_name,stop_lat,stop_lon
kolkata-22.56302-88.34997,Kolkata stop,22.563015,88.349971
kolkata-22.60567-88.38471,Kolkata stop,22.60567,88.384708
kolkata-22.59997-88.37293,Kolkata stop,22.599967,88.372935
kolkata-22.56302-88.34999,Kolkata stop,22.563023,88.349993
kolkata-22.58232-88.34962,Kolkata stop,22.582322,88.349616
kolkata-22.47213-88.39802,Kolkata stop,22.472134,88.398022
kolkata-22.46585-88.39124,Kolkata stop,22.465851,88.391245
kolkata-22.46406-88.38004,Kolkata stop,22.464062,88.380041
kolkata-22.46936-88.37001,Kolkata stop,22.469362,88.370014
kolkata-22.47341-88.36083,Kolkata stop,22.473414,88.360831
kolkata-22.48127-88.34560,Kolkata stop,22.481275,88.345599
kolkata-22.49529-88.34498,Kolkata stop,22.495293,88.344979
kolkata-22.50761-88.34543,Kolkata stop,22.507606,88.345433
kolkata-22.51713-88.34578,Kolkata stop,22.51713,88.345781
kolkata-22.52425-88.34643,Kolkata stop,22.524253,88.346425
kolkata-22.53344-88.34592,Kolkata stop,22.53344,88.34592
kolkata-22.54179-88.34723,Kolkata stop,22.541788,88.347228
kolkata-22.54971-88.34875,Kolkata stop,22.549709,88.348747
kolkata-22.55528-88.35004,Kolkata stop,22.55528,88.350041
kolkata-22.56365-88.35111,Kolkata stop,22.563651,88.351106
kolkata-22.56710-88.35431,Kolkata stop,22.567099,88.354306
kolkata-22.57265-88.35875,Kolkata stop,22.572647,88.358752
kolkata-22.58112-88.36134,Kolkata stop,22.581118,88.361338
kolkata-22.58736-88.36296,Kolkata stop,22.587361,88.362962
kolkata-22.59608-88.36510,Kolkata stop,22.596077,88.365095
kolkata-22.60149-88.37261,Kolkata stop,22.601491,88.372612
kolkata-22.60611-88.38660,Kolkata stop,22.606115,88.386598
kolkata-22.62134-88.39278,Kolkata stop,22.621339,88.392777
kolkata-22.63998-88.39405,Kolkata stop,22.639981,88.394051
kolkata-22.65307-88.38067,Kolkata stop,22.653066,88.38067
kolkata-22.65402-88.36376,Kolkata stop,22.654016,88.363759
kolkata-22.65405-88.36375,Kolkata stop,22.654051,88.36375
kolkata-22.65312-88.38069,Kolkata stop,22.653124,88.38069
kolkata-22.63997-88.39412,Kolkata stop,22.639966,88.394115
kolkata-22.62050-88.39290,Kolkata stop,22.620499,88.392904
kolkata-22.60593-88.38616,Kolkata stop,22.605928,88.386159
kolkata-22.60134-88.37234,Kolkata stop,22.601344,88.372343
kolkata-22.59559-88.36504,Kolkata stop,22.595589,88.365043
kolkata-22.58677-88.36288,Kolkata stop,22.58677,88.362875
kolkata-22.58077-88.36132,Kolkata stop,22.58077,88.361315
kolkata-22.57229-88.35871,Kolkata stop,22.572289,88.358706
kolkata-22.56692-88.35406,Kolkata stop,22.566916,88.354058
kolkata-22.56364-88.35117,Kolkata stop,22.563639,88.351171
kolkata-22.55498-88.35005,Kolkata stop,22.554976,88.350047
kolkata-22.54938-88.34872,Kolkata stop,22.549375,88.348725
kolkata-22.54143-88.34724,Kolkata stop,22.541427,88.347236
kolkata-22.53303-88.34595,Kolkata stop,22.533032,88.345948
kolkata-22.52397-88.34651,Kolkata stop,22.523971,88.34651
kolkata-22.51673-88.34581,Kolkata stop,22.516725,88.34581
kolkata-22.50720-88.34548,Kolkata stop,22.507203,88.345478
kolkata-22.49427-88.34495,Kolkata stop,22.494265,88.344947
kolkata-22.48073-88.34641,Kolkata stop,22.480731,88.346411
kolkata-22.47347-88.36086,Kolkata stop,22.473468,88.360864
kolkata-22.46942-88.37002,Kolkata stop,22.469423,88.370022
kolkata-22.46431-88.38112,Kolkata stop,22.46431,88.38112
kolkata-22.46606-88.39212,Kolkata stop,22.466058,88.392121
kolkata-22.47209-88.39798,Kolkata stop,22.472089,88.397983
kolkata-22.58378-88.33400,Kolkata stop,22.583779,88.333997
kolkata-22.58337-88.34016,Kolkata stop,22.583372,88.340164
kolkata-22.57205-88.35055,Kolkata stop,22.572049,88.35055
kolkata-22.56418-88.35027,Kolkata stop,22.564182,88.350268
kolkata-22.56647-88.37005,Kolkata stop,22.566474,88.37005
kolkata-22.57209-88.39026,Kolkata stop,22.57209,88.39026
kolkata-22.57297-88.40308,Kolkata stop,22.572966,88.403083
kolkata-22.57997-88.40134,Kolkata stop,22.57997,88.401335
kolkata-22.58699-88.40792,Kolkata stop,22.586988,88.407917
kolkata-22.59040-88.41564,Kolkata stop,22.590398,88.415643
kolkata-22.58629-88.42157,Kolkata stop,22.586292,88.421568
kolkata-22.58094-88.42902,Kolkata stop,22.580941,88.42902
kolkata-22.58090-88.42905,Kolkata stop,22.580895,88.429047
kolkata-22.58628-88.42152,Kolkata stop,22.586275,88.421524
kolkata-22.59036-88.41564,Kolkata stop,22.590359,88.415636
kolkata-22.58695-88.40794,Kolkata stop,22.586953,88.407941
kolkata-22.57998-88.40138,Kolkata stop,22.57998,88.401385
kolkata-22.57297-88.40312,Kolkata stop,22.572975,88.403124
kolkata-22.57203-88.39027,Kolkata stop,22.572026,88.390267
kolkata-22.56642-88.37002,Kolkata stop,22.566415,88.370024
kolkata-22.56413-88.35022,Kolkata stop,22.564133,88.350224
kolkata-22.57206-88.35048,Kolkata stop,22.572065,88.350483
kolkata-22.58331-88.34014,Kolkata stop,22.583312,88.340142
kolkata-22.58375-88.33406,Kolkata stop,22.583753,88.33406
kolkata-22.51906-88.32366,Kolkata stop,22.519063,88.323665
kolkata-22.50770-88.32035,Kolkata stop,22.507695,88.320353
kolkata-22.49880-88.31736,Kolkata stop,22.498798,88.317361
kolkata-22.48740-88.31334,Kolkata stop,22.487405,88.313339
kolkata-22.47489-88.30994,Kolkata stop,22.474894,88.309938
kolkata-22.46441-88.30753,Kolkata stop,22.464408,88.307532
kolkata-22.45237-88.30185,Kolkata stop,22.452373,88.301852
kolkata-22.45240-88.30180,Kolkata stop,22.452401,88.301802
kolkata-22.46442-88.30748,Kolkata stop,22.46442,88.307485
kolkata-22.47490-88.30989,Kolkata stop,22.474897,88.309889
kolkata-22.48742-88.31329,Kolkata stop,22.48742,88.313293
kolkata-22.49880-88.31731,Kolkata stop,22.498805,88.317312
kolkata-22.50771-88.32031,Kolkata stop,22.507711,88.320307
kolkata-22.51908-88.32362,Kolkata stop,22.519079,88.323618
kolkata-22.55068-88.40401,Kolkata stop,22.550681,88.404013
kolkata-22.54380-88.39930,Kolkata stop,22.543801,88.399304
kolkata-22.53299-88.39646,Kolkata stop,22.532991,88.396456
kolkata-22.52470-88.39627,Kolkata stop,22.524696,88.39627
kolkata-22.51486-88.40146,Kolkata stop,22.514858,88.401463
kolkata-22.50530-88.40103,Kolkata stop,22.505295,88.401028
kolkata-22.49561-88.39848,Kolkata stop,22.495613,88.398479
kolkata-22.48466-88.39268,Kolkata stop,22.484664,88.392676
kolkata-22.47106-88.39823,Kolkata stop,22.471056,88.398234
kolkata-22.47098-88.39816,Kolkata stop,22.47098,88.398162
kolkata-22.48469-88.39262,Kolkata stop,22.484689,88.39262
kolkata-22.49564-88.39842,Kolkata stop,22.495635,88.398421
kolkata-22.50530-88.40097,Kolkata stop,22.505304,88.400966
kolkata-22.51485-88.40140,Kolkata stop,22.514846,88.401401
kolkata-22.52467-88.39621,Kolkata stop,22.524674,88.396212
kolkata-22.53300-88.39639,Kolkata stop,22.533001,88.396394
kolkata-22.54381-88.39924,Kolkata stop,22.54381,88.399242
kolkata-22.55073-88.40397,Kolkata stop,22.550726,88.403974
kolkata-22.64730-88.43733,Kolkata stop,22.6473,88.437331
kolkata-22.63924-88.42979,Kolkata stop,22.639243,88.429791
kolkata-22.63759-88.41219,Kolkata stop,22.637587,88.412188
kolkata-22.63994-88.39422,Kolkata stop,22.639942,88.394219
kolkata-22.63993-88.39427,Kolkata stop,22.639933,88.394274
kolkata-22.63760-88.41214,Kolkata stop,22.637604,88.412141
kolkata-22.63928-88.42976,Kolkata stop,22.639284,88.429756
kolkata-22.64731-88.43727,Kolkata stop,22.647307,88.437275
