route_id,service_id,trip_id,trip_headsign
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d0-t1,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d0-t2,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d0-t3,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d0-t4,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d0-t5,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d1-t1,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d1-t2,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d1-t3,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d1-t4,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r1,daily,kolkata-kolkata-metr-r1-1d1-t5,Green Line (Howrah Maidan → Salt Lake Sector V)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d0-t1,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d0-t2,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d0-t3,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d0-t4,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d0-t5,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d1-t1,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d1-t2,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d1-t3,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d1-t4,Green Line (Salt Lake Sector V → Howrah Maidan)
kolkata-kolkata-metr-r2,daily,kolkata-kolkata-metr-r2-2d1-t5,Green Line (Salt Lake Sector V → Howrah Maidan)
