trip_id,arrival_time,departure_time,stop_id,stop_sequence
kolkata-wbstc-r1-1d0-t1,06:00:00,06:00:00,kolkata-22.48137-88.34582,1
kolkata-wbstc-r1-1d0-t1,06:04:07,06:04:07,kolkata-22.49469-88.34548,2
kolkata-wbstc-r1-1d0-t1,06:06:21,06:06:21,kolkata-22.50135-88.34493,3
kolkata-wbstc-r1-1d0-t1,06:12:42,06:12:42,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d0-t1,06:22:25,06:22:25,kolkata-22.51277-88.40179,5
kolkata-wbstc-r1-1d0-t1,06:26:52,06:26:52,kolkata-22.52609-88.39567,6
kolkata-wbstc-r1-1d0-t1,06:49:27,06:49:27,kolkata-22.58266-88.45392,7
kolkata-wbstc-r1-1d0-t2,08:00:00,08:00:00,kolkata-22.48137-88.34582,1
kolkata-wbstc-r1-1d0-t2,08:04:07,08:04:07,kolkata-22.49469-88.34548,2
kolkata-wbstc-r1-1d0-t2,08:06:21,08:06:21,kolkata-22.50135-88.34493,3
kolkata-wbstc-r1-1d0-t2,08:12:42,08:12:42,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d0-t2,08:22:25,08:22:25,kolkata-22.51277-88.40179,5
kolkata-wbstc-r1-1d0-t2,08:26:52,08:26:52,kolkata-22.52609-88.39567,6
kolkata-wbstc-r1-1d0-t2,08:49:27,08:49:27,kolkata-22.58266-88.45392,7
kolkata-wbstc-r1-1d0-t3,12:00:00,12:00:00,kolkata-22.48137-88.34582,1
kolkata-wbstc-r1-1d0-t3,12:04:07,12:04:07,kolkata-22.49469-88.34548,2
kolkata-wbstc-r1-1d0-t3,12:06:21,12:06:21,kolkata-22.50135-88.34493,3
kolkata-wbstc-r1-1d0-t3,12:12:42,12:12:42,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d0-t3,12:22:25,12:22:25,kolkata-22.51277-88.40179,5
kolkata-wbstc-r1-1d0-t3,12:26:52,12:26:52,kolkata-22.52609-88.39567,6
kolkata-wbstc-r1-1d0-t3,12:49:27,12:49:27,kolkata-22.58266-88.45392,7
kolkata-wbstc-r1-1d0-t4,17:00:00,17:00:00,kolkata-22.48137-88.34582,1
kolkata-wbstc-r1-1d0-t4,17:04:07,17:04:07,kolkata-22.49469-88.34548,2
kolkata-wbstc-r1-1d0-t4,17:06:21,17:06:21,kolkata-22.50135-88.34493,3
kolkata-wbstc-r1-1d0-t4,17:12:42,17:12:42,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d0-t4,17:22:25,17:22:25,kolkata-22.51277-88.40179,5
kolkata-wbstc-r1-1d0-t4,17:26:52,17:26:52,kolkata-22.52609-88.39567,6
kolkata-wbstc-r1-1d0-t4,17:49:27,17:49:27,kolkata-22.58266-88.45392,7
kolkata-wbstc-r1-1d0-t5,20:00:00,20:00:00,kolkata-22.48137-88.34582,1
kolkata-wbstc-r1-1d0-t5,20:04:07,20:04:07,kolkata-22.49469-88.34548,2
kolkata-wbstc-r1-1d0-t5,20:06:21,20:06:21,kolkata-22.50135-88.34493,3
kolkata-wbstc-r1-1d0-t5,20:12:42,20:12:42,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d0-t5,20:22:25,20:22:25,kolkata-22.51277-88.40179,5
kolkata-wbstc-r1-1d0-t5,20:26:52,20:26:52,kolkata-22.52609-88.39567,6
kolkata-wbstc-r1-1d0-t5,20:49:27,20:49:27,kolkata-22.58266-88.45392,7
kolkata-wbstc-r1-1d1-t1,06:00:00,06:00:00,kolkata-22.58266-88.45392,1
kolkata-wbstc-r1-1d1-t1,06:22:35,06:22:35,kolkata-22.52609-88.39567,2
kolkata-wbstc-r1-1d1-t1,06:27:02,06:27:02,kolkata-22.51277-88.40179,3
kolkata-wbstc-r1-1d1-t1,06:36:45,06:36:45,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d1-t1,06:43:06,06:43:06,kolkata-22.50135-88.34493,5
kolkata-wbstc-r1-1d1-t1,06:45:20,06:45:20,kolkata-22.49469-88.34548,6
kolkata-wbstc-r1-1d1-t1,06:49:27,06:49:27,kolkata-22.48137-88.34582,7
kolkata-wbstc-r1-1d1-t2,08:00:00,08:00:00,kolkata-22.58266-88.45392,1
kolkata-wbstc-r1-1d1-t2,08:22:35,08:22:35,kolkata-22.52609-88.39567,2
kolkata-wbstc-r1-1d1-t2,08:27:02,08:27:02,kolkata-22.51277-88.40179,3
kolkata-wbstc-r1-1d1-t2,08:36:45,08:36:45,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d1-t2,08:43:06,08:43:06,kolkata-22.50135-88.34493,5
kolkata-wbstc-r1-1d1-t2,08:45:20,08:45:20,kolkata-22.49469-88.34548,6
kolkata-wbstc-r1-1d1-t2,08:49:27,08:49:27,kolkata-22.48137-88.34582,7
kolkata-wbstc-r1-1d1-t3,12:00:00,12:00:00,kolkata-22.58266-88.45392,1
kolkata-wbstc-r1-1d1-t3,12:22:35,12:22:35,kolkata-22.52609-88.39567,2
kolkata-wbstc-r1-1d1-t3,12:27:02,12:27:02,kolkata-22.51277-88.40179,3
kolkata-wbstc-r1-1d1-t3,12:36:45,12:36:45,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d1-t3,12:43:06,12:43:06,kolkata-22.50135-88.34493,5
kolkata-wbstc-r1-1d1-t3,12:45:20,12:45:20,kolkata-22.49469-88.34548,6
kolkata-wbstc-r1-1d1-t3,12:49:27,12:49:27,kolkata-22.48137-88.34582,7
kolkata-wbstc-r1-1d1-t4,17:00:00,17:00:00,kolkata-22.58266-88.45392,1
kolkata-wbstc-r1-1d1-t4,17:22:35,17:22:35,kolkata-22.52609-88.39567,2
kolkata-wbstc-r1-1d1-t4,17:27:02,17:27:02,kolkata-22.51277-88.40179,3
kolkata-wbstc-r1-1d1-t4,17:36:45,17:36:45,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d1-t4,17:43:06,17:43:06,kolkata-22.50135-88.34493,5
kolkata-wbstc-r1-1d1-t4,17:45:20,17:45:20,kolkata-22.49469-88.34548,6
kolkata-wbstc-r1-1d1-t4,17:49:27,17:49:27,kolkata-22.48137-88.34582,7
kolkata-wbstc-r1-1d1-t5,20:00:00,20:00:00,kolkata-22.58266-88.45392,1
kolkata-wbstc-r1-1d1-t5,20:22:35,20:22:35,kolkata-22.52609-88.39567,2
kolkata-wbstc-r1-1d1-t5,20:27:02,20:27:02,kolkata-22.51277-88.40179,3
kolkata-wbstc-r1-1d1-t5,20:36:45,20:36:45,kolkata-22.50296-88.36773,4
kolkata-wbstc-r1-1d1-t5,20:43:06,20:43:06,kolkata-22.50135-88.34493,5
kolkata-wbstc-r1-1d1-t5,20:45:20,20:45:20,kolkata-22.49469-88.34548,6
kolkata-wbstc-r1-1d1-t5,20:49:27,20:49:27,kolkata-22.48137-88.34582,7
