stop_id,stop_name,stop_lat,stop_lon
kolkata-22.58599-88.42091,Kolkata stop,22.585995,88.420911
kolkata-22.58526-88.42196,Kolkata stop,22.585264,88.421959
kolkata-22.58331-88.41835,Kolkata stop,22.583314,88.418349
kolkata-22.57938-88.41439,Kolkata stop,22.579385,88.414393
kolkata-22.57642-88.41367,Kolkata stop,22.576419,88.413673
kolkata-22.57349-88.41288,Kolkata stop,22.573494,88.412882
kolkata-22.56906-88.41168,Kolkata stop,22.56906,88.411676
kolkata-22.56147-88.40880,Kolkata stop,22.561469,88.408803
kolkata-22.55591-88.41220,Kolkata stop,22.555911,88.412197
kolkata-22.55222-88.40643,Kolkata stop,22.552221,88.406433
kolkata-22.54782-88.40023,Kolkata stop,22.547823,88.400231
kolkata-22.54163-88.39839,Kolkata stop,22.541633,88.39839
kolkata-22.53102-88.39586,Kolkata stop,22.53102,88.395862
kolkata-22.52820-88.39511,Kolkata stop,22.528202,88.395112
kolkata-22.52609-88.39567,Kolkata stop,22.526093,88.395674
kolkata-22.52121-88.39855,Kolkata stop,22.52121,88.39855
kolkata-22.51276-88.40208,Kolkata stop,22.512757,88.402077
kolkata-22.50264-88.40070,Kolkata stop,22.502643,88.400701
kolkata-22.50146-88.40047,Kolkata stop,22.501456,88.400467
kolkata-22.49651-88.39901,Kolkata stop,22.496511,88.399011
kolkata-22.49442-88.39794,Kolkata stop,22.494424,88.397937
kolkata-22.49206-88.39677,Kolkata stop,22.492061,88.39677
kolkata-22.48981-88.39486,Kolkata stop,22.489805,88.39486
kolkata-22.49222-88.39229,Kolkata stop,22.492224,88.392291
kolkata-22.49385-88.38998,Kolkata stop,22.493853,88.389983
kolkata-22.49280-88.38801,Kolkata stop,22.4928,88.388011
kolkata-22.49175-88.38309,Kolkata stop,22.491752,88.383087
kolkata-22.49269-88.38184,Kolkata stop,22.492691,88.381845
kolkata-22.49305-88.37972,Kolkata stop,22.493045,88.379715
kolkata-22.49377-88.37573,Kolkata stop,22.493766,88.375729
kolkata-22.49133-88.37266,Kolkata stop,22.491333,88.372665
kolkata-22.49339-88.37166,Kolkata stop,22.493395,88.371659
kolkata-22.49565-88.37061,Kolkata stop,22.495654,88.370612
