stop_id,stop_name,stop_lat,stop_lon
lucknow-26.83201-80.92151,Lucknow stop,26.832005,80.921512
lucknow-26.83183-80.91675,Lucknow stop,26.831825,80.916748
lucknow-26.86884-80.96137,Lucknow stop,26.868837,80.961368
lucknow-27.15465-81.97672,Lucknow stop,27.154653,81.976722
lucknow-26.81525-82.76991,Lucknow stop,26.815249,82.769912
lucknow-26.75972-83.38173,Lucknow stop,26.75972,83.381731
lucknow-26.50814-83.78212,Lucknow stop,26.508139,83.782122
lucknow-26.50851-83.78158,Lucknow stop,26.50851,83.781577
lucknow-26.21089-84.35823,Lucknow stop,26.21089,84.358227
lucknow-25.96648-84.53672,Lucknow stop,25.966479,84.536722
lucknow-25.78719-84.72490,Lucknow stop,25.787189,84.724902
lucknow-25.78722-84.72447,Lucknow stop,25.787223,84.724474
lucknow-25.74410-85.00387,Lucknow stop,25.744102,85.003871
lucknow-25.74411-85.00317,Lucknow stop,25.744108,85.003173
lucknow-25.62173-85.06876,Lucknow stop,25.621727,85.068761
