trip_id,arrival_time,departure_time,stop_id,stop_sequence
MET_RED_N_01,06:00:00,06:00:00,MET_AIRPORT,1
MET_RED_N_01,06:02:00,06:02:00,MET_AMAUSI,2
MET_RED_N_01,06:04:00,06:04:00,MET_TRANSPORT,3
MET_RED_N_01,06:06:00,06:06:00,MET_KRISHNA,4
MET_RED_N_01,06:08:00,06:08:00,MET_SINGAR,5
MET_RED_N_01,06:10:00,06:10:00,MET_ALAMBAGH,6
MET_RED_N_01,06:12:00,06:12:00,MET_ISBT,7
MET_RED_N_01,06:14:00,06:14:00,MET_MAWAIYA,8
MET_RED_N_01,06:16:00,06:16:00,MET_DURGAPURI,9
MET_RED_N_01,06:18:00,06:18:00,MET_CHARBAGH,10
MET_RED_N_01,06:20:00,06:20:00,MET_HUSSAINGANJ,11
MET_RED_N_01,06:22:00,06:22:00,MET_SACHIVALAYA,12
MET_RED_N_01,06:24:00,06:24:00,MET_HAZRATGANJ,13
MET_RED_N_01,06:26:00,06:26:00,MET_KDSINGH,14
MET_RED_N_01,06:28:00,06:28:00,MET_VISHWA,15
MET_RED_N_01,06:30:00,06:30:00,MET_ITCHAURAHA,16
MET_RED_N_01,06:32:00,06:32:00,MET_BADSHAH,17
MET_RED_N_01,06:34:00,06:34:00,MET_LEKHRAJ,18
MET_RED_N_01,06:36:00,06:36:00,MET_BHOOTNATH,19
MET_RED_N_01,06:38:00,06:38:00,MET_INDIRA,20
MET_RED_N_01,06:40:00,06:40:00,MET_MUNSHI,21
MET_RED_N_02,07:00:00,07:00:00,MET_AIRPORT,1
MET_RED_N_02,07:40:00,07:40:00,MET_MUNSHI,21
MET_RED_N_03,08:00:00,08:00:00,MET_AIRPORT,1
MET_RED_N_03,08:40:00,08:40:00,MET_MUNSHI,21
MET_RED_N_04,09:00:00,09:00:00,MET_AIRPORT,1
MET_RED_N_04,09:40:00,09:40:00,MET_MUNSHI,21
MET_RED_N_05,10:00:00,10:00:00,MET_AIRPORT,1
