route_id,service_id,trip_id,trip_headsign
MET_RED,DAILY,MET_RED_N_01,Munshi Pulia
MET_RED,DAILY,MET_RED_N_02,Munshi Pulia
MET_RED,DAILY,MET_RED_N_03,Munshi Pulia
MET_RED,DAILY,MET_RED_N_04,Munshi Pulia
MET_RED,DAILY,MET_RED_N_05,Munshi Pulia
MET_RED,DAILY,MET_RED_N_06,Munshi Pulia
MET_RED,DAILY,MET_RED_N_07,Munshi Pulia
MET_RED,DAILY,MET_RED_N_08,Munshi Pulia
MET_RED,DAILY,MET_RED_N_09,Munshi Pulia
MET_RED,DAILY,MET_RED_N_10,Munshi Pulia
MET_RED,DAILY,MET_RED_N_11,Munshi Pulia
MET_RED,DAILY,MET_RED_N_12,Munshi Pulia
MET_RED,DAILY,MET_RED_N_13,Munshi Pulia
MET_RED,DAILY,MET_RED_N_14,Munshi Pulia
MET_RED,DAILY,MET_RED_N_15,Munshi Pulia
MET_RED,DAILY,MET_RED_N_16,Munshi Pulia
MET_RED,DAILY,MET_RED_N_17,Munshi Pulia
MET_RED,DAILY,MET_RED_S_01,CCS International Airport
MET_RED,DAILY,MET_RED_S_02,CCS International Airport
MET_RED,DAILY,MET_RED_S_03,CCS International Airport
MET_RED,DAILY,MET_RED_S_04,CCS International Airport
MET_RED,DAILY,MET_RED_S_05,CCS International Airport
MET_RED,DAILY,MET_RED_S_06,CCS International Airport
MET_RED,DAILY,MET_RED_S_07,CCS International Airport
MET_RED,DAILY,MET_RED_S_08,CCS International Airport
MET_RED,DAILY,MET_RED_S_09,CCS International Airport
MET_RED,DAILY,MET_RED_S_10,CCS International Airport
MET_RED,DAILY,MET_RED_S_11,CCS International Airport
MET_RED,DAILY,MET_RED_S_12,CCS International Airport
MET_RED,DAILY,MET_RED_S_13,CCS International Airport
MET_RED,DAILY,MET_RED_S_14,CCS International Airport
MET_RED,DAILY,MET_RED_S_15,CCS International Airport
MET_RED,DAILY,MET_RED_S_16,CCS International Airport
MET_RED,DAILY,MET_RED_S_17,CCS International Airport
BUS_105,DAILY,BUS_105_A,Chinhat
BUS_105,DAILY,BUS_105_B,Rajajipuram Bus Stop
BUS_502,DAILY,BUS_502_A,Kamta Bus Station
BUS_502,DAILY,BUS_502_B,Charbagh Bus Station
