trip_id,arrival_time,departure_time,stop_id,stop_sequence
lucknow-1d0-t1,06:00:00,06:00:00,lucknow-26.76628-80.88418,1
lucknow-1d0-t1,06:01:31,06:01:31,lucknow-26.77155-80.87878,2
lucknow-1d0-t1,06:03:00,06:03:00,lucknow-26.77764-80.88246,3
lucknow-1d0-t1,06:06:18,06:06:18,lucknow-26.79440-80.89174,4
lucknow-1d0-t1,06:08:12,06:08:12,lucknow-26.80310-80.89641,5
lucknow-1d0-t1,06:10:30,06:10:30,lucknow-26.81402-80.90250,6
lucknow-1d0-t1,06:11:55,06:11:55,lucknow-26.81849-80.90728,7
lucknow-1d0-t1,06:13:26,06:13:26,lucknow-26.82531-80.90984,8
lucknow-1d0-t1,06:15:08,06:15:08,lucknow-26.83202-80.91541,9
lucknow-1d0-t1,06:16:36,06:16:36,lucknow-26.83242-80.92311,10
lucknow-1d0-t1,06:18:49,06:18:49,lucknow-26.83843-80.93431,11
lucknow-1d0-t1,06:20:14,06:20:14,lucknow-26.84161-80.93990,12
lucknow-1d0-t1,06:21:58,06:21:58,lucknow-26.85001-80.94158,13
lucknow-1d0-t1,06:23:23,06:23:23,lucknow-26.85391-80.93680,14
lucknow-1d0-t1,06:25:37,06:25:37,lucknow-26.86551-80.93951,15
lucknow-1d0-t1,06:27:13,06:27:13,lucknow-26.87105-80.94561,16
lucknow-1d0-t1,06:29:45,06:29:45,lucknow-26.87073-80.96106,17
lucknow-1d0-t1,06:31:56,06:31:56,lucknow-26.87095-80.97389,18
lucknow-1d0-t1,06:33:31,06:33:31,lucknow-26.87227-80.98230,19
lucknow-1d0-t1,06:35:06,06:35:06,lucknow-26.87277-80.99087,20
lucknow-1d0-t1,06:37:57,06:37:57,lucknow-26.88790-80.99584,21
lucknow-1d0-t2,06:10:00,06:10:00,lucknow-26.76628-80.88418,1
lucknow-1d0-t2,06:11:31,06:11:31,lucknow-26.77155-80.87878,2
lucknow-1d0-t2,06:13:00,06:13:00,lucknow-26.77764-80.88246,3
lucknow-1d0-t2,06:16:18,06:16:18,lucknow-26.79440-80.89174,4
lucknow-1d0-t2,06:18:12,06:18:12,lucknow-26.80310-80.89641,5
lucknow-1d0-t2,06:20:30,06:20:30,lucknow-26.81402-80.90250,6
lucknow-1d0-t2,06:21:55,06:21:55,lucknow-26.81849-80.90728,7
lucknow-1d0-t2,06:23:26,06:23:26,lucknow-26.82531-80.90984,8
lucknow-1d0-t2,06:25:08,06:25:08,lucknow-26.83202-80.91541,9
lucknow-1d0-t2,06:26:36,06:26:36,lucknow-26.83242-80.92311,10
lucknow-1d0-t2,06:28:49,06:28:49,lucknow-26.83843-80.93431,11
lucknow-1d0-t2,06:30:14,06:30:14,lucknow-26.84161-80.93990,12
lucknow-1d0-t2,06:31:58,06:31:58,lucknow-26.85001-80.94158,13
lucknow-1d0-t2,06:33:23,06:33:23,lucknow-26.85391-80.93680,14
lucknow-1d0-t2,06:35:37,06:35:37,lucknow-26.86551-80.93951,15
lucknow-1d0-t2,06:37:13,06:37:13,lucknow-26.87105-80.94561,16
lucknow-1d0-t2,06:39:45,06:39:45,lucknow-26.87073-80.96106,17
lucknow-1d0-t2,06:41:56,06:41:56,lucknow-26.87095-80.97389,18
lucknow-1d0-t2,06:43:31,06:43:31,lucknow-26.87227-80.98230,19
lucknow-1d0-t2,06:45:06,06:45:06,lucknow-26.87277-80.99087,20
lucknow-1d0-t2,06:47:57,06:47:57,lucknow-26.88790-80.99584,21
lucknow-1d0-t3,06:20:00,06:20:00,lucknow-26.76628-80.88418,1
lucknow-1d0-t3,06:21:31,06:21:31,lucknow-26.77155-80.87878,2
lucknow-1d0-t3,06:23:00,06:23:00,lucknow-26.77764-80.88246,3
lucknow-1d0-t3,06:26:18,06:26:18,lucknow-26.79440-80.89174,4
lucknow-1d0-t3,06:28:12,06:28:12,lucknow-26.80310-80.89641,5
lucknow-1d0-t3,06:30:30,06:30:30,lucknow-26.81402-80.90250,6
lucknow-1d0-t3,06:31:55,06:31:55,lucknow-26.81849-80.90728,7
lucknow-1d0-t3,06:33:26,06:33:26,lucknow-26.82531-80.90984,8
lucknow-1d0-t3,06:35:08,06:35:08,lucknow-26.83202-80.91541,9
lucknow-1d0-t3,06:36:36,06:36:36,lucknow-26.83242-80.92311,10
lucknow-1d0-t3,06:38:49,06:38:49,lucknow-26.83843-80.93431,11
lucknow-1d0-t3,06:40:14,06:40:14,lucknow-26.84161-80.93990,12
lucknow-1d0-t3,06:41:58,06:41:58,lucknow-26.85001-80.94158,13
lucknow-1d0-t3,06:43:23,06:43:23,lucknow-26.85391-80.93680,14
lucknow-1d0-t3,06:45:37,06:45:37,lucknow-26.86551-80.93951,15
lucknow-1d0-t3,06:47:13,06:47:13,lucknow-26.87105-80.94561,16
lucknow-1d0-t3,06:49:45,06:49:45,lucknow-26.87073-80.96106,17
lucknow-1d0-t3,06:51:56,06:51:56,lucknow-26.87095-80.97389,18
lucknow-1d0-t3,06:53:31,06:53:31,lucknow-26.87227-80.98230,19
lucknow-1d0-t3,06:55:06,06:55:06,lucknow-26.87277-80.99087,20
lucknow-1d0-t3,06:57:57,06:57:57,lucknow-26.88790-80.99584,21
lucknow-1d0-t4,06:30:00,06:30:00,lucknow-26.76628-80.88418,1
lucknow-1d0-t4,06:31:31,06:31:31,lucknow-26.77155-80.87878,2
lucknow-1d0-t4,06:33:00,06:33:00,lucknow-26.77764-80.88246,3
lucknow-1d0-t4,06:36:18,06:36:18,lucknow-26.79440-80.89174,4
lucknow-1d0-t4,06:38:12,06:38:12,lucknow-26.80310-80.89641,5
lucknow-1d0-t4,06:40:30,06:40:30,lucknow-26.81402-80.90250,6
lucknow-1d0-t4,06:41:55,06:41:55,lucknow-26.81849-80.90728,7
lucknow-1d0-t4,06:43:26,06:43:26,lucknow-26.82531-80.90984,8
lucknow-1d0-t4,06:45:08,06:45:08,lucknow-26.83202-80.91541,9
lucknow-1d0-t4,06:46:36,06:46:36,lucknow-26.83242-80.92311,10
lucknow-1d0-t4,06:48:49,06:48:49,lucknow-26.83843-80.93431,11
lucknow-1d0-t4,06:50:14,06:50:14,lucknow-26.84161-80.93990,12
lucknow-1d0-t4,06:51:58,06:51:58,lucknow-26.85001-80.94158,13
lucknow-1d0-t4,06:53:23,06:53:23,lucknow-26.85391-80.93680,14
lucknow-1d0-t4,06:55:37,06:55:37,lucknow-26.86551-80.93951,15
lucknow-1d0-t4,06:57:13,06:57:13,lucknow-26.87105-80.94561,16
lucknow-1d0-t4,06:59:45,06:59:45,lucknow-26.87073-80.96106,17
lucknow-1d0-t4,07:01:56,07:01:56,lucknow-26.87095-80.97389,18
lucknow-1d0-t4,07:03:31,07:03:31,lucknow-26.87227-80.98230,19
lucknow-1d0-t4,07:05:06,07:05:06,lucknow-26.87277-80.99087,20
lucknow-1d0-t4,07:07:57,07:07:57,lucknow-26.88790-80.99584,21
lucknow-1d0-t5,06:40:00,06:40:00,lucknow-26.76628-80.88418,1
lucknow-1d0-t5,06:41:31,06:41:31,lucknow-26.77155-80.87878,2
lucknow-1d0-t5,06:43:00,06:43:00,lucknow-26.77764-80.88246,3
lucknow-1d0-t5,06:46:18,06:46:18,lucknow-26.79440-80.89174,4
lucknow-1d0-t5,06:48:12,06:48:12,lucknow-26.80310-80.89641,5
lucknow-1d0-t5,06:50:30,06:50:30,lucknow-26.81402-80.90250,6
lucknow-1d0-t5,06:51:55,06:51:55,lucknow-26.81849-80.90728,7
lucknow-1d0-t5,06:53:26,06:53:26,lucknow-26.82531-80.90984,8
lucknow-1d0-t5,06:55:08,06:55:08,lucknow-26.83202-80.91541,9
lucknow-1d0-t5,06:56:36,06:56:36,lucknow-26.83242-80.92311,10
lucknow-1d0-t5,06:58:49,06:58:49,lucknow-26.83843-80.93431,11
lucknow-1d0-t5,07:00:14,07:00:14,lucknow-26.84161-80.93990,12
lucknow-1d0-t5,07:01:58,07:01:58,lucknow-26.85001-80.94158,13
lucknow-1d0-t5,07:03:23,07:03:23,lucknow-26.85391-80.93680,14
lucknow-1d0-t5,07:05:37,07:05:37,lucknow-26.86551-80.93951,15
lucknow-1d0-t5,07:07:13,07:07:13,lucknow-26.87105-80.94561,16
lucknow-1d0-t5,07:09:45,07:09:45,lucknow-26.87073-80.96106,17
lucknow-1d0-t5,07:11:56,07:11:56,lucknow-26.87095-80.97389,18
lucknow-1d0-t5,07:13:31,07:13:31,lucknow-26.87227-80.98230,19
lucknow-1d0-t5,07:15:06,07:15:06,lucknow-26.87277-80.99087,20
lucknow-1d0-t5,07:17:57,07:17:57,lucknow-26.88790-80.99584,21
lucknow-1d0-t6,06:50:00,06:50:00,lucknow-26.76628-80.88418,1
lucknow-1d0-t6,06:51:31,06:51:31,lucknow-26.77155-80.87878,2
lucknow-1d0-t6,06:53:00,06:53:00,lucknow-26.77764-80.88246,3
lucknow-1d0-t6,06:56:18,06:56:18,lucknow-26.79440-80.89174,4
lucknow-1d0-t6,06:58:12,06:58:12,lucknow-26.80310-80.89641,5
lucknow-1d0-t6,07:00:30,07:00:30,lucknow-26.81402-80.90250,6
