route_id,service_id,trip_id,trip_headsign
lucknow-r1,daily,lucknow-1d0-t1,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t2,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t3,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t4,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t5,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t6,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t7,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t8,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t9,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t10,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t11,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t12,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t13,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t14,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t15,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t16,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t17,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t18,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t19,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t20,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t21,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t22,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t23,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t24,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t25,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t26,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t27,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t28,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t29,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t30,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t31,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t32,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t33,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t34,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t35,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t36,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t37,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t38,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t39,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t40,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t41,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t42,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t43,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t44,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t45,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t46,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t47,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t48,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t49,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t50,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t51,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t52,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t53,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t54,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t55,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t56,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t57,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t58,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t59,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t60,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t61,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t62,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t63,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t64,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t65,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t66,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t67,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t68,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t69,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t70,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t71,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t72,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t73,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t74,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t75,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t76,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t77,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t78,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t79,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t80,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t81,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t82,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t83,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t84,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t85,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t86,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t87,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t88,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t89,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t90,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t91,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t92,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t93,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t94,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t95,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t96,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t97,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t98,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d0-t99,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d1-t1,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d1-t2,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d1-t3,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d1-t4,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d1-t5,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d1-t6,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
lucknow-r1,daily,lucknow-1d1-t7,Red Line (Chaudhary Charan Singh International Airport → Munshipulia)
