stop_id,stop_name,stop_lat,stop_lon
lucknow-28.64157-77.22068,Lucknow stop,28.641571,77.220684
lucknow-28.64251-77.22061,Lucknow stop,28.642512,77.220615
lucknow-28.65323-77.42831,Lucknow stop,28.653227,77.42831
lucknow-28.65344-77.42792,Lucknow stop,28.653444,77.427918
lucknow-27.88860-78.07486,Lucknow stop,27.888595,78.074859
lucknow-27.20758-78.23494,Lucknow stop,27.20758,78.234945
lucknow-27.20807-78.23370,Lucknow stop,27.208066,78.233701
lucknow-26.78713-79.02110,Lucknow stop,26.787132,79.021098
lucknow-26.63150-79.55579,Lucknow stop,26.631496,79.555794
lucknow-26.63225-79.55434,Lucknow stop,26.632252,79.554345
lucknow-26.45460-80.35049,Lucknow stop,26.454598,80.350486
lucknow-26.45491-80.35105,Lucknow stop,26.454908,80.351055
lucknow-26.83133-80.91812,Lucknow stop,26.831326,80.918123
lucknow-26.83154-80.92152,Lucknow stop,26.831543,80.921521
lucknow-26.63212-79.55427,Lucknow stop,26.632123,79.554271
lucknow-27.20830-78.23254,Lucknow stop,27.208297,78.232543
lucknow-27.20796-78.23365,Lucknow stop,27.207963,78.233645
lucknow-27.88873-78.07452,Lucknow stop,27.888729,78.074516
lucknow-28.65380-77.42713,Lucknow stop,28.653803,77.427133
lucknow-28.65333-77.42780,Lucknow stop,28.653333,77.427803
lucknow-28.64162-77.22041,Lucknow stop,28.641618,77.220406
lucknow-28.64247-77.22021,Lucknow stop,28.642467,77.220206
lucknow-27.13110-93.70983,Lucknow stop,27.1311,93.709835
lucknow-27.11910-93.86046,Lucknow stop,27.1191,93.860461
lucknow-26.82126-92.68227,Lucknow stop,26.821265,92.682269
lucknow-26.81073-92.57676,Lucknow stop,26.810729,92.57676
lucknow-26.74465-92.09879,Lucknow stop,26.744646,92.098787
lucknow-26.44804-91.60576,Lucknow stop,26.448035,91.605759
lucknow-26.47574-90.53518,Lucknow stop,26.475738,90.535176
lucknow-26.35420-89.46822,Lucknow stop,26.354199,89.468224
lucknow-26.68293-88.44322,Lucknow stop,26.682926,88.44322
lucknow-26.09838-87.95079,Lucknow stop,26.098377,87.950785
lucknow-25.54973-87.56647,Lucknow stop,25.549735,87.566467
lucknow-25.46009-85.99119,Lucknow stop,25.460089,85.991192
lucknow-25.70164-85.21490,Lucknow stop,25.701637,85.214897
lucknow-25.78744-84.72450,Lucknow stop,25.787445,84.724505
lucknow-26.21089-84.35823,Lucknow stop,26.21089,84.358227
lucknow-26.75998-83.38179,Lucknow stop,26.759977,83.381786
lucknow-26.83034-80.92432,Lucknow stop,26.830339,80.924321
lucknow-26.45435-80.35093,Lucknow stop,26.454355,80.350925
lucknow-28.64971-77.31530,Lucknow stop,28.649705,77.315302
lucknow-28.64943-77.31486,Lucknow stop,28.649433,77.314856
