stop_id,stop_name,stop_lat,stop_lon
ludhiana-32.70573-74.88019,Ludhiana stop,32.705731,74.880192
ludhiana-32.39838-75.55099,Ludhiana stop,32.398384,75.550994
ludhiana-32.25956-75.63602,Ludhiana stop,32.259559,75.636019
ludhiana-32.25960-75.63541,Ludhiana stop,32.259595,75.635408
ludhiana-30.91190-75.84857,Ludhiana stop,30.9119,75.848573
ludhiana-30.91312-75.84782,Ludhiana stop,30.913119,75.847824
ludhiana-28.64080-77.22143,Ludhiana stop,28.640803,77.221431
ludhiana-28.64257-77.22113,Ludhiana stop,28.642571,77.221134
ludhiana-30.91196-75.84837,Ludhiana stop,30.911963,75.848366
ludhiana-30.91311-75.84778,Ludhiana stop,30.913106,75.847782
ludhiana-32.25948-75.63513,Ludhiana stop,32.259482,75.635132
ludhiana-32.39794-75.55110,Ludhiana stop,32.397943,75.551098
