route_id,service_id,trip_id,trip_headsign
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d0-t1,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d0-t2,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d0-t3,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d0-t4,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d0-t5,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d1-t1,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d1-t2,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d1-t3,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d1-t4,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r1,daily,mangaluru-mangaluru-ci-r1-1d1-t5,Train 12619 Matsyagandha Superfast Express
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d0-t1,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d0-t2,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d0-t3,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d0-t4,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d0-t5,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d1-t1,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d1-t2,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d1-t3,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d1-t4,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r2,daily,mangaluru-mangaluru-ci-r2-2d1-t5,Train 56630 Subramanya Road - Mangaluru Central Passenger
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d0-t1,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d0-t2,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d0-t3,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d0-t4,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d0-t5,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d1-t1,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d1-t2,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d1-t3,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d1-t4,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r3,daily,mangaluru-mangaluru-ci-r3-3d1-t5,Train 16630 Malabar Express: Mangaluru Central -> Trivandrum Central
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d0-t1,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d0-t2,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d0-t3,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d0-t4,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d0-t5,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d1-t1,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d1-t2,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d1-t3,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d1-t4,Bus 3
mangaluru-mangaluru-ci-r4,daily,mangaluru-mangaluru-ci-r4-4d1-t5,Bus 3
