trip_id,arrival_time,departure_time,stop_id,stop_sequence
mangaluru-south-wester-r1-1d0-t1,06:00:00,06:00:00,mangaluru-11.87144-75.36805,1
mangaluru-south-wester-r1-1d0-t1,06:01:10,06:01:10,mangaluru-11.87225-75.36731,2
mangaluru-south-wester-r1-1d0-t1,06:44:09,06:44:09,mangaluru-12.09134-75.19541,3
mangaluru-south-wester-r1-1d0-t1,07:11:26,07:11:26,mangaluru-12.25588-75.13580,4
mangaluru-south-wester-r1-1d0-t1,07:24:19,07:24:19,mangaluru-12.32010-75.08474,5
mangaluru-south-wester-r1-1d0-t1,07:54:58,07:54:58,mangaluru-12.49183-74.98732,6
mangaluru-south-wester-r1-1d0-t1,08:56:24,08:56:24,mangaluru-12.86179-74.84353,7
mangaluru-south-wester-r1-1d0-t1,08:57:34,08:57:34,mangaluru-12.86250-74.84347,8
mangaluru-south-wester-r1-1d0-t1,09:03:24,09:03:24,mangaluru-12.86651-74.87979,9
mangaluru-south-wester-r1-1d0-t1,09:27:00,09:27:00,mangaluru-12.87806-75.03394,10
mangaluru-south-wester-r1-1d0-t1,09:58:07,09:58:07,mangaluru-12.76875-75.20495,11
mangaluru-south-wester-r1-1d0-t1,10:51:55,10:51:55,mangaluru-12.73173-75.55789,12
mangaluru-south-wester-r1-1d0-t1,11:39:07,11:39:07,mangaluru-12.94553-75.77892,13
mangaluru-south-wester-r1-1d0-t1,12:31:09,12:31:09,mangaluru-13.00331-76.11738,14
mangaluru-south-wester-r1-1d0-t1,13:16:29,13:16:29,mangaluru-12.89246-76.39389,15
mangaluru-south-wester-r1-1d0-t1,13:28:06,13:28:06,mangaluru-12.87159-76.46578,16
mangaluru-south-wester-r1-1d0-t1,14:11:22,14:11:22,mangaluru-12.96860-76.73308,17
mangaluru-south-wester-r1-1d0-t1,14:54:11,14:54:11,mangaluru-13.01642-77.01116,18
mangaluru-south-wester-r1-1d0-t1,16:15:49,16:15:49,mangaluru-13.02367-77.55152,19
mangaluru-south-wester-r1-1d0-t2,08:00:00,08:00:00,mangaluru-11.87144-75.36805,1
mangaluru-south-wester-r1-1d0-t2,08:01:10,08:01:10,mangaluru-11.87225-75.36731,2
mangaluru-south-wester-r1-1d0-t2,08:44:09,08:44:09,mangaluru-12.09134-75.19541,3
mangaluru-south-wester-r1-1d0-t2,09:11:26,09:11:26,mangaluru-12.25588-75.13580,4
mangaluru-south-wester-r1-1d0-t2,09:24:19,09:24:19,mangaluru-12.32010-75.08474,5
mangaluru-south-wester-r1-1d0-t2,09:54:58,09:54:58,mangaluru-12.49183-74.98732,6
mangaluru-south-wester-r1-1d0-t2,10:56:24,10:56:24,mangaluru-12.86179-74.84353,7
mangaluru-south-wester-r1-1d0-t2,10:57:34,10:57:34,mangaluru-12.86250-74.84347,8
mangaluru-south-wester-r1-1d0-t2,11:03:24,11:03:24,mangaluru-12.86651-74.87979,9
mangaluru-south-wester-r1-1d0-t2,11:27:00,11:27:00,mangaluru-12.87806-75.03394,10
mangaluru-south-wester-r1-1d0-t2,11:58:07,11:58:07,mangaluru-12.76875-75.20495,11
mangaluru-south-wester-r1-1d0-t2,12:51:55,12:51:55,mangaluru-12.73173-75.55789,12
mangaluru-south-wester-r1-1d0-t2,13:39:07,13:39:07,mangaluru-12.94553-75.77892,13
mangaluru-south-wester-r1-1d0-t2,14:31:09,14:31:09,mangaluru-13.00331-76.11738,14
mangaluru-south-wester-r1-1d0-t2,15:16:29,15:16:29,mangaluru-12.89246-76.39389,15
mangaluru-south-wester-r1-1d0-t2,15:28:06,15:28:06,mangaluru-12.87159-76.46578,16
mangaluru-south-wester-r1-1d0-t2,16:11:22,16:11:22,mangaluru-12.96860-76.73308,17
mangaluru-south-wester-r1-1d0-t2,16:54:11,16:54:11,mangaluru-13.01642-77.01116,18
mangaluru-south-wester-r1-1d0-t2,18:15:49,18:15:49,mangaluru-13.02367-77.55152,19
mangaluru-south-wester-r1-1d0-t3,12:00:00,12:00:00,mangaluru-11.87144-75.36805,1
mangaluru-south-wester-r1-1d0-t3,12:01:10,12:01:10,mangaluru-11.87225-75.36731,2
mangaluru-south-wester-r1-1d0-t3,12:44:09,12:44:09,mangaluru-12.09134-75.19541,3
mangaluru-south-wester-r1-1d0-t3,13:11:26,13:11:26,mangaluru-12.25588-75.13580,4
mangaluru-south-wester-r1-1d0-t3,13:24:19,13:24:19,mangaluru-12.32010-75.08474,5
mangaluru-south-wester-r1-1d0-t3,13:54:58,13:54:58,mangaluru-12.49183-74.98732,6
mangaluru-south-wester-r1-1d0-t3,14:56:24,14:56:24,mangaluru-12.86179-74.84353,7
mangaluru-south-wester-r1-1d0-t3,14:57:34,14:57:34,mangaluru-12.86250-74.84347,8
mangaluru-south-wester-r1-1d0-t3,15:03:24,15:03:24,mangaluru-12.86651-74.87979,9
mangaluru-south-wester-r1-1d0-t3,15:27:00,15:27:00,mangaluru-12.87806-75.03394,10
mangaluru-south-wester-r1-1d0-t3,15:58:07,15:58:07,mangaluru-12.76875-75.20495,11
mangaluru-south-wester-r1-1d0-t3,16:51:55,16:51:55,mangaluru-12.73173-75.55789,12
mangaluru-south-wester-r1-1d0-t3,17:39:07,17:39:07,mangaluru-12.94553-75.77892,13
mangaluru-south-wester-r1-1d0-t3,18:31:09,18:31:09,mangaluru-13.00331-76.11738,14
mangaluru-south-wester-r1-1d0-t3,19:16:29,19:16:29,mangaluru-12.89246-76.39389,15
mangaluru-south-wester-r1-1d0-t3,19:28:06,19:28:06,mangaluru-12.87159-76.46578,16
mangaluru-south-wester-r1-1d0-t3,20:11:22,20:11:22,mangaluru-12.96860-76.73308,17
mangaluru-south-wester-r1-1d0-t3,20:54:11,20:54:11,mangaluru-13.01642-77.01116,18
mangaluru-south-wester-r1-1d0-t3,22:15:49,22:15:49,mangaluru-13.02367-77.55152,19
mangaluru-south-wester-r1-1d0-t4,17:00:00,17:00:00,mangaluru-11.87144-75.36805,1
mangaluru-south-wester-r1-1d0-t4,17:01:10,17:01:10,mangaluru-11.87225-75.36731,2
mangaluru-south-wester-r1-1d0-t4,17:44:09,17:44:09,mangaluru-12.09134-75.19541,3
mangaluru-south-wester-r1-1d0-t4,18:11:26,18:11:26,mangaluru-12.25588-75.13580,4
mangaluru-south-wester-r1-1d0-t4,18:24:19,18:24:19,mangaluru-12.32010-75.08474,5
mangaluru-south-wester-r1-1d0-t4,18:54:58,18:54:58,mangaluru-12.49183-74.98732,6
mangaluru-south-wester-r1-1d0-t4,19:56:24,19:56:24,mangaluru-12.86179-74.84353,7
mangaluru-south-wester-r1-1d0-t4,19:57:34,19:57:34,mangaluru-12.86250-74.84347,8
mangaluru-south-wester-r1-1d0-t4,20:03:24,20:03:24,mangaluru-12.86651-74.87979,9
mangaluru-south-wester-r1-1d0-t4,20:27:00,20:27:00,mangaluru-12.87806-75.03394,10
mangaluru-south-wester-r1-1d0-t4,20:58:07,20:58:07,mangaluru-12.76875-75.20495,11
mangaluru-south-wester-r1-1d0-t4,21:51:55,21:51:55,mangaluru-12.73173-75.55789,12
mangaluru-south-wester-r1-1d0-t4,22:39:07,22:39:07,mangaluru-12.94553-75.77892,13
mangaluru-south-wester-r1-1d0-t4,23:31:09,23:31:09,mangaluru-13.00331-76.11738,14
mangaluru-south-wester-r1-1d0-t4,24:16:29,24:16:29,mangaluru-12.89246-76.39389,15
mangaluru-south-wester-r1-1d0-t4,24:28:06,24:28:06,mangaluru-12.87159-76.46578,16
mangaluru-south-wester-r1-1d0-t4,25:11:22,25:11:22,mangaluru-12.96860-76.73308,17
mangaluru-south-wester-r1-1d0-t4,25:54:11,25:54:11,mangaluru-13.01642-77.01116,18
mangaluru-south-wester-r1-1d0-t4,27:15:49,27:15:49,mangaluru-13.02367-77.55152,19
mangaluru-south-wester-r1-1d0-t5,20:00:00,20:00:00,mangaluru-11.87144-75.36805,1
mangaluru-south-wester-r1-1d0-t5,20:01:10,20:01:10,mangaluru-11.87225-75.36731,2
mangaluru-south-wester-r1-1d0-t5,20:44:09,20:44:09,mangaluru-12.09134-75.19541,3
mangaluru-south-wester-r1-1d0-t5,21:11:26,21:11:26,mangaluru-12.25588-75.13580,4
mangaluru-south-wester-r1-1d0-t5,21:24:19,21:24:19,mangaluru-12.32010-75.08474,5
mangaluru-south-wester-r1-1d0-t5,21:54:58,21:54:58,mangaluru-12.49183-74.98732,6
mangaluru-south-wester-r1-1d0-t5,22:56:24,22:56:24,mangaluru-12.86179-74.84353,7
mangaluru-south-wester-r1-1d0-t5,22:57:34,22:57:34,mangaluru-12.86250-74.84347,8
mangaluru-south-wester-r1-1d0-t5,23:03:24,23:03:24,mangaluru-12.86651-74.87979,9
mangaluru-south-wester-r1-1d0-t5,23:27:00,23:27:00,mangaluru-12.87806-75.03394,10
mangaluru-south-wester-r1-1d0-t5,23:58:07,23:58:07,mangaluru-12.76875-75.20495,11
mangaluru-south-wester-r1-1d0-t5,24:51:55,24:51:55,mangaluru-12.73173-75.55789,12
mangaluru-south-wester-r1-1d0-t5,25:39:07,25:39:07,mangaluru-12.94553-75.77892,13
mangaluru-south-wester-r1-1d0-t5,26:31:09,26:31:09,mangaluru-13.00331-76.11738,14
mangaluru-south-wester-r1-1d0-t5,27:16:29,27:16:29,mangaluru-12.89246-76.39389,15
mangaluru-south-wester-r1-1d0-t5,27:28:06,27:28:06,mangaluru-12.87159-76.46578,16
mangaluru-south-wester-r1-1d0-t5,28:11:22,28:11:22,mangaluru-12.96860-76.73308,17
mangaluru-south-wester-r1-1d0-t5,28:54:11,28:54:11,mangaluru-13.01642-77.01116,18
mangaluru-south-wester-r1-1d0-t5,30:15:49,30:15:49,mangaluru-13.02367-77.55152,19
mangaluru-south-wester-r1-1d1-t1,06:00:00,06:00:00,mangaluru-13.02367-77.55152,1
mangaluru-south-wester-r1-1d1-t1,07:21:38,07:21:38,mangaluru-13.01642-77.01116,2
mangaluru-south-wester-r1-1d1-t1,08:04:27,08:04:27,mangaluru-12.96860-76.73308,3
mangaluru-south-wester-r1-1d1-t1,08:47:43,08:47:43,mangaluru-12.87159-76.46578,4
mangaluru-south-wester-r1-1d1-t1,08:59:20,08:59:20,mangaluru-12.89246-76.39389,5
mangaluru-south-wester-r1-1d1-t1,09:44:40,09:44:40,mangaluru-13.00331-76.11738,6
mangaluru-south-wester-r1-1d1-t1,10:36:42,10:36:42,mangaluru-12.94553-75.77892,7
mangaluru-south-wester-r1-1d1-t1,11:23:54,11:23:54,mangaluru-12.73173-75.55789,8
mangaluru-south-wester-r1-1d1-t1,12:17:42,12:17:42,mangaluru-12.76875-75.20495,9
mangaluru-south-wester-r1-1d1-t1,12:48:49,12:48:49,mangaluru-12.87806-75.03394,10
mangaluru-south-wester-r1-1d1-t1,13:12:25,13:12:25,mangaluru-12.86651-74.87979,11
mangaluru-south-wester-r1-1d1-t1,13:18:15,13:18:15,mangaluru-12.86250-74.84347,12
mangaluru-south-wester-r1-1d1-t1,13:19:25,13:19:25,mangaluru-12.86179-74.84353,13
mangaluru-south-wester-r1-1d1-t1,14:20:51,14:20:51,mangaluru-12.49183-74.98732,14
mangaluru-south-wester-r1-1d1-t1,14:51:30,14:51:30,mangaluru-12.32010-75.08474,15
mangaluru-south-wester-r1-1d1-t1,15:04:23,15:04:23,mangaluru-12.25588-75.13580,16
mangaluru-south-wester-r1-1d1-t1,15:31:40,15:31:40,mangaluru-12.09134-75.19541,17
mangaluru-south-wester-r1-1d1-t1,16:14:39,16:14:39,mangaluru-11.87225-75.36731,18
mangaluru-south-wester-r1-1d1-t1,16:15:49,16:15:49,mangaluru-11.87144-75.36805,19
mangaluru-south-wester-r1-1d1-t2,08:00:00,08:00:00,mangaluru-13.02367-77.55152,1
mangaluru-south-wester-r1-1d1-t2,09:21:38,09:21:38,mangaluru-13.01642-77.01116,2
mangaluru-south-wester-r1-1d1-t2,10:04:27,10:04:27,mangaluru-12.96860-76.73308,3
mangaluru-south-wester-r1-1d1-t2,10:47:43,10:47:43,mangaluru-12.87159-76.46578,4
mangaluru-south-wester-r1-1d1-t2,10:59:20,10:59:20,mangaluru-12.89246-76.39389,5
mangaluru-south-wester-r1-1d1-t2,11:44:40,11:44:40,mangaluru-13.00331-76.11738,6
mangaluru-south-wester-r1-1d1-t2,12:36:42,12:36:42,mangaluru-12.94553-75.77892,7
mangaluru-south-wester-r1-1d1-t2,13:23:54,13:23:54,mangaluru-12.73173-75.55789,8
mangaluru-south-wester-r1-1d1-t2,14:17:42,14:17:42,mangaluru-12.76875-75.20495,9
mangaluru-south-wester-r1-1d1-t2,14:48:49,14:48:49,mangaluru-12.87806-75.03394,10
mangaluru-south-wester-r1-1d1-t2,15:12:25,15:12:25,mangaluru-12.86651-74.87979,11
mangaluru-south-wester-r1-1d1-t2,15:18:15,15:18:15,mangaluru-12.86250-74.84347,12
mangaluru-south-wester-r1-1d1-t2,15:19:25,15:19:25,mangaluru-12.86179-74.84353,13
mangaluru-south-wester-r1-1d1-t2,16:20:51,16:20:51,mangaluru-12.49183-74.98732,14
mangaluru-south-wester-r1-1d1-t2,16:51:30,16:51:30,mangaluru-12.32010-75.08474,15
