route_id,service_id,trip_id,trip_headsign
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d0-t1,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d0-t2,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d0-t3,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d0-t4,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d0-t5,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d1-t1,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d1-t2,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d1-t3,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d1-t4,Daily Express 16512: Kannur → KSR Bengaluru
mangaluru-south-wester-r1,daily,mangaluru-south-wester-r1-1d1-t5,Daily Express 16512: Kannur → KSR Bengaluru
