trip_id,arrival_time,departure_time,stop_id,stop_sequence
mangaluru-western-rail-r1-1d0-t1,06:00:00,06:00:00,mangaluru-12.86616-74.88297,1
mangaluru-western-rail-r1-1d0-t1,06:01:10,06:01:10,mangaluru-12.86623-74.88087,2
mangaluru-western-rail-r1-1d0-t1,06:24:19,06:24:19,mangaluru-12.99420-74.80488,3
mangaluru-western-rail-r1-1d0-t1,06:25:29,06:25:29,mangaluru-12.99114-74.80529,4
mangaluru-western-rail-r1-1d0-t1,06:38:06,06:38:06,mangaluru-13.07077-74.80566,5
mangaluru-western-rail-r1-1d0-t1,06:39:16,06:39:16,mangaluru-13.06853-74.80509,6
mangaluru-western-rail-r1-1d0-t1,07:21:33,07:21:33,mangaluru-13.33817-74.77083,7
mangaluru-western-rail-r1-1d0-t1,07:22:43,07:22:43,mangaluru-13.33583-74.77087,8
mangaluru-western-rail-r1-1d0-t1,08:06:22,08:06:22,mangaluru-13.61338-74.72874,9
mangaluru-western-rail-r1-1d0-t1,08:49:19,08:49:19,mangaluru-13.87283-74.63196,10
mangaluru-western-rail-r1-1d0-t1,09:10:01,09:10:01,mangaluru-13.98834-74.56630,11
mangaluru-western-rail-r1-1d0-t1,09:30:00,09:30:00,mangaluru-14.10123-74.50570,12
mangaluru-western-rail-r1-1d0-t1,10:23:51,10:23:51,mangaluru-14.43783-74.42068,13
mangaluru-western-rail-r1-1d0-t1,10:48:03,10:48:03,mangaluru-14.58366-74.36771,14
mangaluru-western-rail-r1-1d0-t1,10:59:28,10:59:28,mangaluru-14.64613-74.33121,15
mangaluru-western-rail-r1-1d0-t1,11:34:40,11:34:40,mangaluru-14.82040-74.18266,16
mangaluru-western-rail-r1-1d0-t1,12:10:43,12:10:43,mangaluru-15.00592-74.03967,17
mangaluru-western-rail-r1-1d0-t1,12:52:48,12:52:48,mangaluru-15.26780-73.97010,18
mangaluru-western-rail-r1-1d0-t1,13:28:22,13:28:22,mangaluru-15.49169-73.92452,19
mangaluru-western-rail-r1-1d0-t1,13:51:05,13:51:05,mangaluru-15.62947-73.87777,20
mangaluru-western-rail-r1-1d0-t1,14:30:39,14:30:39,mangaluru-15.86729-73.78471,21
