stop_id,stop_name,stop_lat,stop_lon
S_colaba_bus_station,Colaba Bus Station,18.9127,72.8232
S_sasoon_dock,Sasoon Dock,18.908,72.83
S_strand_cinema,Strand Cinema,,
S_colaba_depot,Colaba Depot,18.906,72.814
S_holi_name_vidyalaya,Holi Name Vidyalaya,,
S_dr_shyama_prasad_mukherjee_chowk,Dr. Shyama Prasad Mukherjee Chowk,,
S_hutatma_chowk_siddharth_college,Hutatma Chowk (Siddharth College),18.9322,72.8329
S_khadi_bhandar,Khadi Bhandar,18.936,72.834
S_chhatrapati_shivaji_terminus,Chhatrapati Shivaji Terminus,18.9398,72.8354
S_mahatma_phule_market,Mahatma Phule Market,18.947,72.836
S_dr_m_iqbal_chowk,Dr. M. Iqbal Chowk,,
S_a_h_ansari_chowk_new_nagpada,A.H. Ansari Chowk / New Nagpada,,
S_byculla_railway_station_e,Byculla Railway Station (E),18.9764,72.8328
S_jijamata_udyan,Jijamata Udyan,,
S_jaihind_cinema,Jaihind Cinema,,
S_k_shantaram_pujare_chowk,K. Shantaram Pujare Chowk,,
S_sant_jagnade_chowk,Sant Jagnade Chowk,,
S_bharatmata_cinema,Bharatmata Cinema,,
S_mahatma_gandhi_hospital,Mahatma Gandhi Hospital,,
S_k_e_m_hospital,K.E.M. Hospital,19.0014,72.8412
S_wadia_maternity_hospital,Wadia Maternity Hospital,,
S_tata_hospital,Tata Hospital,,
S_bhoiwada_mane_master_chowk,Bhoiwada / Mane Master Chowk,,
S_naigaon_police_colony,Naigaon Police Colony,,
S_spring_mill,Spring Mill,,
S_spring_mill_hindmata_cinema,Spring Mill / Hindmata Cinema,,
S_sahakar_nagar,Sahakar Nagar,,
S_madhav_nagar,Madhav Nagar,,
S_azad_nagar,Azad Nagar,,
S_wadala_station_p_t_quarter,Wadala Station / P & T Quarter,,
S_wadala_station_w,Wadala Station (W),19.016,72.8588
S_wadala_gate_number_4,Wadala Gate Number 4,,
S_don_bosco_khalsa_college,Don Bosco / Khalsa College,,
S_matunga_police_station,Matunga Police Station,,
S_gandhi_market_matunga,Gandhi Market Matunga,,
S_lokmanya_tilak_hospital,Lokmanya Tilak Hospital,,
S_guru_tegh_bahadur_nagar_railway_station,Guru Tegh Bahadur Nagar Railway Station,,
S_sardar_nagar_number_2,Sardar Nagar Number 2,,
S_sardar_nagar_number_4,Sardar Nagar Number 4,,
S_antop_hill_church,Antop Hill Church,,
S_antop_hill_police_station,Antop Hill Police Station,,
S_c_g_s_dispensary,C.G.S. Dispensary,,
S_kane_nagar,Kane Nagar,,
S_antop_hill_bus_station,Antop Hill Bus Station,19.0222,72.8666
S_wood_house,Wood House,,
S_chakala_market,Chakala Market,,
S_zakeria_masjid,Zakeria Masjid,,
S_johar_chowk_bhendi_bazar,Johar Chowk / Bhendi Bazar,,
S_mastan_talav,Mastan Talav,,
S_alexandra_cinema,Alexandra Cinema,,
S_mumbai_central_depot,Mumbai Central Depot,18.969,72.82
S_mumbai_central_station_on_bridge,Mumbai Central Station (On Bridge),18.969,72.8183
S_vasantrao_naik_chowk,Vasantrao Naik Chowk,,
S_air_condition_market,Air Condition Market,,
S_vatsalabai_desai_chowk_hazi_ali,Vatsalabai Desai Chowk / Hazi Ali,,
S_government_colony,Government Colony,,
S_mahalakshmi_race_course,Mahalakshmi Race Course,,
S_mahalakshmi_railway_station,Mahalakshmi Railway Station,18.9825,72.8242
S_famous_studio,Famous Studio,,
S_ambika_mill_bus_station,Ambika Mill Bus Station,,
S_jijamata_nagar,Jijamata Nagar,,
S_municipal_garage_worli,Municipal Garage (Worli),,
S_gandhi_maidan,Gandhi Maidan,,
S_com_p_k_kurne_chowk,Com. P.K. Kurne Chowk,,
S_doordarshan,Doordarshan,,
S_dr_ravindra_kulkarni_chowk_sasmira,Dr. Ravindra Kulkarni Chowk / Sasmira,,
S_worli_depot,Worli Depot,19.0135,72.82
S_ayyappa_mandir,Ayyappa Mandir,19.197,72.953
S_srinagar_police_station,Srinagar Police Station,,
S_parvat_nagar,Parvat Nagar,,
S_shanti_nagar,Shanti Nagar,,
S_saibaba_mandir,Saibaba Mandir,,
S_ravi_fisheries,Ravi Fisheries,,
S_wagle_circle,Wagle Circle,19.19,72.96
S_durdwani,Durdwani,,
S_road_no_16,Road No 16,,
S_passport_office,Passport Office,,
S_automatic,Automatic,,
S_mulund_check_naka_narpoli,Mulund Check Naka (Narpoli),,
S_kashish_park,Kashish Park,,
S_marathon_chowk_teen_hath_naka,Marathon Chowk (Teen Hath Naka),,
S_forest_office,Forest Office,,
S_hari_niwas,Hari Niwas,,
S_ice_factory,Ice Factory,,
S_a_k_joshi_vidyalaya,A.K. Joshi Vidyalaya,,
S_thane_station_w,Thane Station (W),19.1861,72.9758
S_chhatrapati_shivaji_maharaj_terminus,Chhatrapati Shivaji Maharaj Terminus,18.9398,72.8354
S_mumbai_vidyapeeth_hutatma_chowk,Mumbai Vidyapeeth / Hutatma Chowk,,
S_sasoon_dock_fire_brigade_center,Sasoon Dock / Fire Brigade Center,,
S_colaba_post_office,Colaba Post Office,,
S_afghan_church,Afghan Church,,
S_dhobi_ghat,Dhobi Ghat,,
S_m_t_park,M.T. Park,,
S_ganeshmurti_nagar,Ganeshmurti Nagar,,
S_geetanagar,Geetanagar,,
