route_id,service_id,trip_id,trip_headsign
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d0-t1,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d0-t2,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d0-t3,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d0-t4,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d0-t5,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d1-t1,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d1-t2,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d1-t3,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d1-t4,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r1,daily,mumbai-cental-railw-r1-1d1-t5,Train Rajdhani Express 22222: Hazrat Nizamuddin → Mumbai CSMT
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d0-t1,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d0-t2,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d0-t3,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d0-t4,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d0-t5,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d1-t1,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d1-t2,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d1-t3,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d1-t4,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
mumbai-cental-railw-r2,daily,mumbai-cental-railw-r2-2d1-t5,Train Rajdhani Express 22221: Mumbai CSMT → Hazrat Nizamuddin
