stop_id,stop_name,stop_lat,stop_lon
mumbai-18.94105-72.83498,Mumbai stop,18.941046,72.834983
mumbai-18.94154-72.83503,Mumbai stop,18.941535,72.835034
mumbai-18.94060-72.83508,Mumbai stop,18.940604,72.83508
mumbai-18.95209-72.83812,Mumbai stop,18.952086,72.838123
mumbai-18.96111-72.83961,Mumbai stop,18.961108,72.839613
mumbai-18.96649-72.84414,Mumbai stop,18.966488,72.844145
mumbai-18.97749-72.84414,Mumbai stop,18.977494,72.844135
mumbai-18.98649-72.84322,Mumbai stop,18.986485,72.843216
mumbai-18.99857-72.85436,Mumbai stop,18.998573,72.854359
mumbai-19.01587-72.85870,Mumbai stop,19.015867,72.858703
mumbai-19.03800-72.86433,Mumbai stop,19.038001,72.864331
mumbai-19.05128-72.86898,Mumbai stop,19.051275,72.868975
mumbai-19.05183-72.86899,Mumbai stop,19.051831,72.868988
mumbai-19.06485-72.87922,Mumbai stop,19.064847,72.879223
mumbai-19.06265-72.90109,Mumbai stop,19.062652,72.901088
mumbai-19.06586-72.89017,Mumbai stop,19.065857,72.89017
mumbai-19.05532-72.91540,Mumbai stop,19.055319,72.915404
mumbai-19.05549-72.91488,Mumbai stop,19.055488,72.914879
mumbai-19.05497-72.91579,Mumbai stop,19.054973,72.915795
mumbai-19.04822-72.93176,Mumbai stop,19.048216,72.931756
mumbai-19.06318-72.99884,Mumbai stop,19.063179,72.998845
mumbai-19.06601-73.00977,Mumbai stop,19.066011,73.009775
mumbai-19.05613-73.01836,Mumbai stop,19.056129,73.018357
mumbai-19.03334-73.01827,Mumbai stop,19.033344,73.018267
mumbai-19.03381-73.01816,Mumbai stop,19.033813,73.018156
mumbai-19.02180-73.01958,Mumbai stop,19.0218,73.019575
mumbai-19.02223-73.01888,Mumbai stop,19.022233,73.018885
mumbai-19.02196-73.01931,Mumbai stop,19.021956,73.019314
mumbai-19.01908-73.03881,Mumbai stop,19.019077,73.03881
mumbai-19.02610-73.05928,Mumbai stop,19.0261,73.059277
mumbai-19.01671-73.08055,Mumbai stop,19.016712,73.080548
mumbai-19.01625-73.08082,Mumbai stop,19.016248,73.080824
mumbai-19.00739-73.09559,Mumbai stop,19.007395,73.095589
mumbai-19.00741-73.09505,Mumbai stop,19.00741,73.095049
mumbai-18.99128-73.12037,Mumbai stop,18.991283,73.120373
mumbai-18.99028-73.12132,Mumbai stop,18.990281,73.121319
mumbai-18.99119-73.12027,Mumbai stop,18.991187,73.120269
mumbai-18.99019-73.12122,Mumbai stop,18.990186,73.121217
mumbai-19.02600-73.05934,Mumbai stop,19.025996,73.05934
mumbai-19.01914-73.03933,Mumbai stop,19.019138,73.039332
mumbai-19.01879-73.03901,Mumbai stop,19.018792,73.039005
mumbai-19.02174-73.01923,Mumbai stop,19.021739,73.019233
mumbai-19.03323-73.01801,Mumbai stop,19.033232,73.018005
mumbai-19.05613-73.01822,Mumbai stop,19.056127,73.018219
mumbai-19.05562-73.01810,Mumbai stop,19.055617,73.018102
mumbai-19.06589-73.00981,Mumbai stop,19.065887,73.009807
mumbai-19.06568-73.00936,Mumbai stop,19.065681,73.009356
mumbai-19.06306-72.99891,Mumbai stop,19.063057,72.998908
mumbai-19.04807-72.93181,Mumbai stop,19.048074,72.931806
mumbai-19.05485-72.91576,Mumbai stop,19.054847,72.915765
mumbai-19.06567-72.89015,Mumbai stop,19.065668,72.890149
mumbai-19.05147-72.86914,Mumbai stop,19.051471,72.869139
mumbai-19.05183-72.86902,Mumbai stop,19.051834,72.869023
mumbai-19.01585-72.85891,Mumbai stop,19.01585,72.858911
mumbai-18.99852-72.85450,Mumbai stop,18.998525,72.854501
mumbai-18.98643-72.84333,Mumbai stop,18.986432,72.843326
mumbai-18.97753-72.84432,Mumbai stop,18.977533,72.84432
mumbai-18.96635-72.84426,Mumbai stop,18.966354,72.844258
mumbai-18.96116-72.83989,Mumbai stop,18.96116,72.83989
mumbai-18.96085-72.83959,Mumbai stop,18.960849,72.839587
mumbai-18.94061-72.83517,Mumbai stop,18.940613,72.835174
mumbai-19.01647-72.85901,Mumbai stop,19.016472,72.859006
mumbai-19.03212-72.85722,Mumbai stop,19.032118,72.85722
mumbai-19.04118-72.84686,Mumbai stop,19.041179,72.846865
mumbai-19.04086-72.84709,Mumbai stop,19.040862,72.84709
mumbai-19.05479-72.84084,Mumbai stop,19.054788,72.84084
mumbai-19.06929-72.83999,Mumbai stop,19.069295,72.839987
mumbai-19.08357-72.84175,Mumbai stop,19.083565,72.841754
mumbai-19.10025-72.84388,Mumbai stop,19.100247,72.84388
mumbai-19.11993-72.84645,Mumbai stop,19.119928,72.846446
mumbai-19.11934-72.84644,Mumbai stop,19.119344,72.846438
mumbai-19.14066-72.84930,Mumbai stop,19.140663,72.8493
mumbai-19.14116-72.84940,Mumbai stop,19.141155,72.849402
mumbai-19.15179-72.84995,Mumbai stop,19.151788,72.849955
mumbai-19.15137-72.84988,Mumbai stop,19.151369,72.84988
mumbai-19.16497-72.84915,Mumbai stop,19.164966,72.849153
mumbai-19.23484-73.12865,Mumbai stop,19.234838,73.128653
mumbai-19.23537-73.13025,Mumbai stop,19.235369,73.130251
mumbai-19.21749-73.08619,Mumbai stop,19.217486,73.086188
mumbai-19.21784-73.08657,Mumbai stop,19.217837,73.086572
mumbai-19.18617-72.97627,Mumbai stop,19.186169,72.976272
mumbai-19.08536-72.90787,Mumbai stop,19.085361,72.907874
mumbai-19.06480-72.87885,Mumbai stop,19.064795,72.878851
