trip_id,arrival_time,departure_time,stop_id,stop_sequence
mumbai-msrtc-r1-1d0-t1,06:00:00,06:00:00,mumbai-18.49992-73.85911,1
mumbai-msrtc-r1-1d0-t1,11:21:55,11:21:55,mumbai-19.10527-72.85370,2
mumbai-msrtc-r1-1d0-t1,11:36:16,11:36:16,mumbai-19.05661-72.84628,3
mumbai-msrtc-r1-1d0-t1,12:46:20,12:46:20,mumbai-19.02064-73.10226,4
mumbai-msrtc-r1-1d0-t2,08:00:00,08:00:00,mumbai-18.49992-73.85911,1
mumbai-msrtc-r1-1d0-t2,13:21:55,13:21:55,mumbai-19.10527-72.85370,2
mumbai-msrtc-r1-1d0-t2,13:36:16,13:36:16,mumbai-19.05661-72.84628,3
mumbai-msrtc-r1-1d0-t2,14:46:20,14:46:20,mumbai-19.02064-73.10226,4
mumbai-msrtc-r1-1d0-t3,12:00:00,12:00:00,mumbai-18.49992-73.85911,1
mumbai-msrtc-r1-1d0-t3,17:21:55,17:21:55,mumbai-19.10527-72.85370,2
mumbai-msrtc-r1-1d0-t3,17:36:16,17:36:16,mumbai-19.05661-72.84628,3
mumbai-msrtc-r1-1d0-t3,18:46:20,18:46:20,mumbai-19.02064-73.10226,4
mumbai-msrtc-r1-1d0-t4,17:00:00,17:00:00,mumbai-18.49992-73.85911,1
mumbai-msrtc-r1-1d0-t4,22:21:55,22:21:55,mumbai-19.10527-72.85370,2
mumbai-msrtc-r1-1d0-t4,22:36:16,22:36:16,mumbai-19.05661-72.84628,3
mumbai-msrtc-r1-1d0-t4,23:46:20,23:46:20,mumbai-19.02064-73.10226,4
mumbai-msrtc-r1-1d0-t5,20:00:00,20:00:00,mumbai-18.49992-73.85911,1
mumbai-msrtc-r1-1d0-t5,25:21:55,25:21:55,mumbai-19.10527-72.85370,2
mumbai-msrtc-r1-1d0-t5,25:36:16,25:36:16,mumbai-19.05661-72.84628,3
mumbai-msrtc-r1-1d0-t5,26:46:20,26:46:20,mumbai-19.02064-73.10226,4
mumbai-msrtc-r1-1d1-t1,06:00:00,06:00:00,mumbai-19.02064-73.10226,1
mumbai-msrtc-r1-1d1-t1,07:10:04,07:10:04,mumbai-19.05661-72.84628,2
mumbai-msrtc-r1-1d1-t1,07:24:25,07:24:25,mumbai-19.10527-72.85370,3
mumbai-msrtc-r1-1d1-t1,12:46:20,12:46:20,mumbai-18.49992-73.85911,4
mumbai-msrtc-r1-1d1-t2,08:00:00,08:00:00,mumbai-19.02064-73.10226,1
mumbai-msrtc-r1-1d1-t2,09:10:04,09:10:04,mumbai-19.05661-72.84628,2
mumbai-msrtc-r1-1d1-t2,09:24:25,09:24:25,mumbai-19.10527-72.85370,3
mumbai-msrtc-r1-1d1-t2,14:46:20,14:46:20,mumbai-18.49992-73.85911,4
mumbai-msrtc-r1-1d1-t3,12:00:00,12:00:00,mumbai-19.02064-73.10226,1
mumbai-msrtc-r1-1d1-t3,13:10:04,13:10:04,mumbai-19.05661-72.84628,2
mumbai-msrtc-r1-1d1-t3,13:24:25,13:24:25,mumbai-19.10527-72.85370,3
mumbai-msrtc-r1-1d1-t3,18:46:20,18:46:20,mumbai-18.49992-73.85911,4
mumbai-msrtc-r1-1d1-t4,17:00:00,17:00:00,mumbai-19.02064-73.10226,1
mumbai-msrtc-r1-1d1-t4,18:10:04,18:10:04,mumbai-19.05661-72.84628,2
mumbai-msrtc-r1-1d1-t4,18:24:25,18:24:25,mumbai-19.10527-72.85370,3
mumbai-msrtc-r1-1d1-t4,23:46:20,23:46:20,mumbai-18.49992-73.85911,4
mumbai-msrtc-r1-1d1-t5,20:00:00,20:00:00,mumbai-19.02064-73.10226,1
mumbai-msrtc-r1-1d1-t5,21:10:04,21:10:04,mumbai-19.05661-72.84628,2
mumbai-msrtc-r1-1d1-t5,21:24:25,21:24:25,mumbai-19.10527-72.85370,3
mumbai-msrtc-r1-1d1-t5,26:46:20,26:46:20,mumbai-18.49992-73.85911,4
