trip_id,arrival_time,departure_time,stop_id,stop_sequence
mumbai-mumbai-metro-r1-1d0-t1,06:00:00,06:00:00,mumbai-19.13105-72.88420,1
mumbai-mumbai-metro-r1-1d0-t1,06:02:09,06:02:09,mumbai-19.12529-72.87327,2
mumbai-mumbai-metro-r1-1d0-t1,06:03:43,06:03:43,mumbai-19.11729-72.87421,3
mumbai-mumbai-metro-r1-1d0-t1,06:05:35,06:05:35,mumbai-19.10828-72.87869,4
mumbai-mumbai-metro-r1-1d0-t1,06:07:06,06:07:06,mumbai-19.10216-72.87367,5
mumbai-mumbai-metro-r1-1d0-t1,06:08:44,06:08:44,mumbai-19.10206-72.86471,6
mumbai-mumbai-metro-r1-1d0-t1,06:11:12,06:11:12,mumbai-19.09362-72.85308,7
mumbai-mumbai-metro-r1-1d0-t1,06:13:59,06:13:59,mumbai-19.07874-72.84714,8
mumbai-mumbai-metro-r1-1d0-t1,06:15:49,06:15:49,mumbai-19.06931-72.84984,9
mumbai-mumbai-metro-r1-1d0-t1,06:17:44,06:17:44,mumbai-19.06023-72.85496,10
mumbai-mumbai-metro-r1-1d0-t1,06:20:23,06:20:23,mumbai-19.04615-72.84942,11
mumbai-mumbai-metro-r1-1d0-t1,06:22:20,06:22:20,mumbai-19.03832-72.84204,12
mumbai-mumbai-metro-r1-1d0-t1,06:25:01,06:25:01,mumbai-19.02335-72.83905,13
mumbai-mumbai-metro-r1-1d0-t1,06:27:02,06:27:02,mumbai-19.01596-72.83056,14
mumbai-mumbai-metro-r1-1d0-t1,06:29:21,06:29:21,mumbai-19.00860-72.81929,15
mumbai-mumbai-metro-r1-1d0-t1,06:31:21,06:31:21,mumbai-18.99783-72.81774,16
mumbai-mumbai-metro-r1-1d0-t1,06:32:52,06:32:52,mumbai-18.99090-72.82138,17
mumbai-mumbai-metro-r1-1d0-t1,06:35:03,06:35:03,mumbai-18.97945-72.82542,18
mumbai-mumbai-metro-r1-1d0-t1,06:36:58,06:36:58,mumbai-18.96998-72.82120,19
mumbai-mumbai-metro-r1-1d0-t1,06:38:26,06:38:26,mumbai-18.96321-72.81807,20
mumbai-mumbai-metro-r1-1d0-t1,06:40:35,06:40:35,mumbai-18.95213-72.82223,21
mumbai-mumbai-metro-r1-1d0-t1,06:42:04,06:42:04,mumbai-18.94635-72.82720,22
mumbai-mumbai-metro-r1-1d0-t1,06:43:29,06:43:29,mumbai-18.94087-72.83190,23
mumbai-mumbai-metro-r1-1d0-t1,06:44:51,06:44:51,mumbai-18.93417-72.83252,24
mumbai-mumbai-metro-r1-1d0-t1,06:46:05,06:46:05,mumbai-18.93148-72.82696,25
mumbai-mumbai-metro-r1-1d0-t1,06:47:28,06:47:28,mumbai-18.92481-72.82555,26
mumbai-mumbai-metro-r1-1d0-t1,06:49:40,06:49:40,mumbai-18.91354-72.82075,27
mumbai-mumbai-metro-r1-1d0-t2,08:00:00,08:00:00,mumbai-19.13105-72.88420,1
mumbai-mumbai-metro-r1-1d0-t2,08:02:09,08:02:09,mumbai-19.12529-72.87327,2
mumbai-mumbai-metro-r1-1d0-t2,08:03:43,08:03:43,mumbai-19.11729-72.87421,3
mumbai-mumbai-metro-r1-1d0-t2,08:05:35,08:05:35,mumbai-19.10828-72.87869,4
mumbai-mumbai-metro-r1-1d0-t2,08:07:06,08:07:06,mumbai-19.10216-72.87367,5
mumbai-mumbai-metro-r1-1d0-t2,08:08:44,08:08:44,mumbai-19.10206-72.86471,6
mumbai-mumbai-metro-r1-1d0-t2,08:11:12,08:11:12,mumbai-19.09362-72.85308,7
mumbai-mumbai-metro-r1-1d0-t2,08:13:59,08:13:59,mumbai-19.07874-72.84714,8
mumbai-mumbai-metro-r1-1d0-t2,08:15:49,08:15:49,mumbai-19.06931-72.84984,9
mumbai-mumbai-metro-r1-1d0-t2,08:17:44,08:17:44,mumbai-19.06023-72.85496,10
mumbai-mumbai-metro-r1-1d0-t2,08:20:23,08:20:23,mumbai-19.04615-72.84942,11
mumbai-mumbai-metro-r1-1d0-t2,08:22:20,08:22:20,mumbai-19.03832-72.84204,12
mumbai-mumbai-metro-r1-1d0-t2,08:25:01,08:25:01,mumbai-19.02335-72.83905,13
mumbai-mumbai-metro-r1-1d0-t2,08:27:02,08:27:02,mumbai-19.01596-72.83056,14
mumbai-mumbai-metro-r1-1d0-t2,08:29:21,08:29:21,mumbai-19.00860-72.81929,15
mumbai-mumbai-metro-r1-1d0-t2,08:31:21,08:31:21,mumbai-18.99783-72.81774,16
mumbai-mumbai-metro-r1-1d0-t2,08:32:52,08:32:52,mumbai-18.99090-72.82138,17
mumbai-mumbai-metro-r1-1d0-t2,08:35:03,08:35:03,mumbai-18.97945-72.82542,18
mumbai-mumbai-metro-r1-1d0-t2,08:36:58,08:36:58,mumbai-18.96998-72.82120,19
mumbai-mumbai-metro-r1-1d0-t2,08:38:26,08:38:26,mumbai-18.96321-72.81807,20
mumbai-mumbai-metro-r1-1d0-t2,08:40:35,08:40:35,mumbai-18.95213-72.82223,21
mumbai-mumbai-metro-r1-1d0-t2,08:42:04,08:42:04,mumbai-18.94635-72.82720,22
mumbai-mumbai-metro-r1-1d0-t2,08:43:29,08:43:29,mumbai-18.94087-72.83190,23
mumbai-mumbai-metro-r1-1d0-t2,08:44:51,08:44:51,mumbai-18.93417-72.83252,24
mumbai-mumbai-metro-r1-1d0-t2,08:46:05,08:46:05,mumbai-18.93148-72.82696,25
mumbai-mumbai-metro-r1-1d0-t2,08:47:28,08:47:28,mumbai-18.92481-72.82555,26
mumbai-mumbai-metro-r1-1d0-t2,08:49:40,08:49:40,mumbai-18.91354-72.82075,27
mumbai-mumbai-metro-r1-1d0-t3,12:00:00,12:00:00,mumbai-19.13105-72.88420,1
mumbai-mumbai-metro-r1-1d0-t3,12:02:09,12:02:09,mumbai-19.12529-72.87327,2
mumbai-mumbai-metro-r1-1d0-t3,12:03:43,12:03:43,mumbai-19.11729-72.87421,3
mumbai-mumbai-metro-r1-1d0-t3,12:05:35,12:05:35,mumbai-19.10828-72.87869,4
mumbai-mumbai-metro-r1-1d0-t3,12:07:06,12:07:06,mumbai-19.10216-72.87367,5
mumbai-mumbai-metro-r1-1d0-t3,12:08:44,12:08:44,mumbai-19.10206-72.86471,6
mumbai-mumbai-metro-r1-1d0-t3,12:11:12,12:11:12,mumbai-19.09362-72.85308,7
mumbai-mumbai-metro-r1-1d0-t3,12:13:59,12:13:59,mumbai-19.07874-72.84714,8
mumbai-mumbai-metro-r1-1d0-t3,12:15:49,12:15:49,mumbai-19.06931-72.84984,9
mumbai-mumbai-metro-r1-1d0-t3,12:17:44,12:17:44,mumbai-19.06023-72.85496,10
mumbai-mumbai-metro-r1-1d0-t3,12:20:23,12:20:23,mumbai-19.04615-72.84942,11
mumbai-mumbai-metro-r1-1d0-t3,12:22:20,12:22:20,mumbai-19.03832-72.84204,12
mumbai-mumbai-metro-r1-1d0-t3,12:25:01,12:25:01,mumbai-19.02335-72.83905,13
mumbai-mumbai-metro-r1-1d0-t3,12:27:02,12:27:02,mumbai-19.01596-72.83056,14
mumbai-mumbai-metro-r1-1d0-t3,12:29:21,12:29:21,mumbai-19.00860-72.81929,15
mumbai-mumbai-metro-r1-1d0-t3,12:31:21,12:31:21,mumbai-18.99783-72.81774,16
mumbai-mumbai-metro-r1-1d0-t3,12:32:52,12:32:52,mumbai-18.99090-72.82138,17
mumbai-mumbai-metro-r1-1d0-t3,12:35:03,12:35:03,mumbai-18.97945-72.82542,18
mumbai-mumbai-metro-r1-1d0-t3,12:36:58,12:36:58,mumbai-18.96998-72.82120,19
mumbai-mumbai-metro-r1-1d0-t3,12:38:26,12:38:26,mumbai-18.96321-72.81807,20
mumbai-mumbai-metro-r1-1d0-t3,12:40:35,12:40:35,mumbai-18.95213-72.82223,21
mumbai-mumbai-metro-r1-1d0-t3,12:42:04,12:42:04,mumbai-18.94635-72.82720,22
mumbai-mumbai-metro-r1-1d0-t3,12:43:29,12:43:29,mumbai-18.94087-72.83190,23
mumbai-mumbai-metro-r1-1d0-t3,12:44:51,12:44:51,mumbai-18.93417-72.83252,24
mumbai-mumbai-metro-r1-1d0-t3,12:46:05,12:46:05,mumbai-18.93148-72.82696,25
mumbai-mumbai-metro-r1-1d0-t3,12:47:28,12:47:28,mumbai-18.92481-72.82555,26
mumbai-mumbai-metro-r1-1d0-t3,12:49:40,12:49:40,mumbai-18.91354-72.82075,27
mumbai-mumbai-metro-r1-1d0-t4,17:00:00,17:00:00,mumbai-19.13105-72.88420,1
mumbai-mumbai-metro-r1-1d0-t4,17:02:09,17:02:09,mumbai-19.12529-72.87327,2
mumbai-mumbai-metro-r1-1d0-t4,17:03:43,17:03:43,mumbai-19.11729-72.87421,3
