route_id,service_id,trip_id,trip_headsign
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d0-t1,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d0-t2,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d0-t3,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d0-t4,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d0-t5,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d1-t1,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d1-t2,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d1-t3,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d1-t4,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r1,daily,mumbai-south-centra-r1-1d1-t5,Train SuperFast Express 12702: Hyderabad → Mumbai CSMT
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d0-t1,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d0-t2,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d0-t3,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d0-t4,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d0-t5,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d1-t1,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d1-t2,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d1-t3,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d1-t4,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r2,daily,mumbai-south-centra-r2-2d1-t5,Train SuperFast Express 12701: Mumbai CSMT → Hyderabad
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d0-t1,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d0-t2,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d0-t3,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d0-t4,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d0-t5,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d1-t1,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d1-t2,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d1-t3,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d1-t4,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r3,daily,mumbai-south-centra-r3-3d1-t5,Train Duronto Express 12220: Secunderabad → Mumbai LTT
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d0-t1,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d0-t2,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d0-t3,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d0-t4,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d0-t5,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d1-t1,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d1-t2,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d1-t3,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d1-t4,Train Duronto Express 12219: Mumbai LTT → Secunderabad
mumbai-south-centra-r4,daily,mumbai-south-centra-r4-4d1-t5,Train Duronto Express 12219: Mumbai LTT → Secunderabad
