trip_id,arrival_time,departure_time,stop_id,stop_sequence
mumbai-thane-muncip-r1-1d0-t1,06:00:00,06:00:00,mumbai-19.22897-72.96638,1
mumbai-thane-muncip-r1-1d0-t1,06:01:20,06:01:20,mumbai-19.22787-72.96991,2
mumbai-thane-muncip-r1-1d0-t1,06:02:30,06:02:30,mumbai-19.22576-72.97013,3
mumbai-thane-muncip-r1-1d0-t1,06:03:40,06:03:40,mumbai-19.22291-72.96996,4
mumbai-thane-muncip-r1-1d0-t1,06:04:50,06:04:50,mumbai-19.22238-72.96998,5
mumbai-thane-muncip-r1-1d0-t1,06:06:00,06:06:00,mumbai-19.22041-72.97042,6
mumbai-thane-muncip-r1-1d0-t1,06:07:10,06:07:10,mumbai-19.21830-72.97020,7
mumbai-thane-muncip-r1-1d0-t1,06:08:20,06:08:20,mumbai-19.21721-72.97164,8
mumbai-thane-muncip-r1-1d0-t1,06:09:30,06:09:30,mumbai-19.21643-72.97400,9
mumbai-thane-muncip-r1-1d0-t1,06:10:40,06:10:40,mumbai-19.21491-72.97620,10
mumbai-thane-muncip-r1-1d0-t1,06:11:50,06:11:50,mumbai-19.21603-72.97829,11
mumbai-thane-muncip-r1-1d0-t1,06:13:00,06:13:00,mumbai-19.21516-72.97812,12
mumbai-thane-muncip-r1-1d0-t1,06:14:36,06:14:36,mumbai-19.21079-72.97727,13
mumbai-thane-muncip-r1-1d0-t1,06:15:46,06:15:46,mumbai-19.20851-72.97717,14
mumbai-thane-muncip-r1-1d0-t1,06:16:56,06:16:56,mumbai-19.20723-72.97753,15
mumbai-thane-muncip-r1-1d0-t1,06:18:29,06:18:29,mumbai-19.20298-72.97803,16
mumbai-thane-muncip-r1-1d0-t1,06:19:39,06:19:39,mumbai-19.20185-72.97775,17
mumbai-thane-muncip-r1-1d0-t1,06:20:49,06:20:49,mumbai-19.19911-72.97750,18
mumbai-thane-muncip-r1-1d0-t1,06:21:59,06:21:59,mumbai-19.19794-72.97997,19
mumbai-thane-muncip-r1-1d0-t1,06:23:09,06:23:09,mumbai-19.19703-72.97858,20
mumbai-thane-muncip-r1-1d0-t1,06:24:21,06:24:21,mumbai-19.19436-72.97693,21
