route_id,service_id,trip_id,trip_headsign
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d0-t1,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d0-t2,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d0-t3,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d0-t4,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d0-t5,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d1-t1,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d1-t2,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d1-t3,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d1-t4,20705 Mumbai CSMT Vande Bharat Express
mumbai-vande-bharat-r1,daily,mumbai-vande-bharat-r1-1d1-t5,20705 Mumbai CSMT Vande Bharat Express
