stop_id,stop_name,stop_lat,stop_lon
mumbai-19.45456-72.81187,Mumbai stop,19.454556,72.811871
mumbai-19.41840-72.81890,Mumbai stop,19.418402,72.818899
mumbai-19.41795-72.81903,Mumbai stop,19.417953,72.819032
mumbai-19.38275-72.83203,Mumbai stop,19.382755,72.83203
mumbai-19.38091-72.83279,Mumbai stop,19.380906,72.832791
mumbai-19.35217-72.84608,Mumbai stop,19.352174,72.846084
mumbai-19.35177-72.84634,Mumbai stop,19.351774,72.846338
mumbai-19.31109-72.85287,Mumbai stop,19.311093,72.852869
mumbai-19.28129-72.85605,Mumbai stop,19.281291,72.856046
mumbai-19.24933-72.85954,Mumbai stop,19.249329,72.859536
mumbai-19.24975-72.85954,Mumbai stop,19.249752,72.85954
mumbai-19.22821-72.85687,Mumbai stop,19.228212,72.856871
mumbai-19.22961-72.85704,Mumbai stop,19.229606,72.857044
mumbai-19.11929-72.84698,Mumbai stop,19.119285,72.84698
mumbai-19.05477-72.84079,Mumbai stop,19.054773,72.840792
mumbai-19.01888-72.84298,Mumbai stop,19.018881,72.842977
mumbai-18.97069-72.81903,Mumbai stop,18.970693,72.819025
mumbai-18.96266-72.81589,Mumbai stop,18.962662,72.815886
mumbai-18.96314-72.81617,Mumbai stop,18.963143,72.816167
mumbai-18.95213-72.81801,Mumbai stop,18.952126,72.818007
mumbai-18.95161-72.81874,Mumbai stop,18.951609,72.818743
mumbai-18.94665-72.82322,Mumbai stop,18.94665,72.823216
mumbai-18.94593-72.82377,Mumbai stop,18.94593,72.823768
mumbai-18.93445-72.82755,Mumbai stop,18.934445,72.827553
mumbai-18.93556-72.82740,Mumbai stop,18.935558,72.827401
mumbai-18.94663-72.82318,Mumbai stop,18.946631,72.823178
mumbai-18.94586-72.82365,Mumbai stop,18.945863,72.823645
mumbai-18.95209-72.81798,Mumbai stop,18.952092,72.817981
mumbai-18.95125-72.81900,Mumbai stop,18.951254,72.818996
mumbai-18.96285-72.81590,Mumbai stop,18.962847,72.815902
mumbai-18.96384-72.81630,Mumbai stop,18.963844,72.816297
mumbai-18.97071-72.81889,Mumbai stop,18.970706,72.818891
mumbai-19.01890-72.84295,Mumbai stop,19.018902,72.842952
mumbai-19.01935-72.84311,Mumbai stop,19.019354,72.843114
mumbai-19.05473-72.84065,Mumbai stop,19.054729,72.840654
mumbai-19.11929-72.84685,Mumbai stop,19.119291,72.846845
mumbai-19.11846-72.84678,Mumbai stop,19.118457,72.846781
mumbai-19.22824-72.85672,Mumbai stop,19.228238,72.856716
mumbai-19.24933-72.85949,Mumbai stop,19.249333,72.859488
mumbai-19.28129-72.85601,Mumbai stop,19.281287,72.856011
mumbai-19.28040-72.85604,Mumbai stop,19.280399,72.856039
mumbai-19.31109-72.85282,Mumbai stop,19.311087,72.852822
mumbai-19.31255-72.85270,Mumbai stop,19.312553,72.852703
mumbai-19.35215-72.84603,Mumbai stop,19.352147,72.846031
mumbai-19.38271-72.83192,Mumbai stop,19.382712,72.831917
mumbai-19.41838-72.81886,Mumbai stop,19.418384,72.818862
mumbai-19.41798-72.81885,Mumbai stop,19.417977,72.818854
mumbai-19.41837-72.81871,Mumbai stop,19.418367,72.818709
mumbai-19.38270-72.83188,Mumbai stop,19.382697,72.831879
mumbai-19.35208-72.84588,Mumbai stop,19.35208,72.845882
mumbai-19.31109-72.85268,Mumbai stop,19.31109,72.852682
mumbai-19.28128-72.85588,Mumbai stop,19.28128,72.855876
mumbai-19.24932-72.85935,Mumbai stop,19.249323,72.859348
mumbai-19.22826-72.85655,Mumbai stop,19.228265,72.856554
mumbai-19.20423-72.85189,Mumbai stop,19.204233,72.851886
mumbai-19.18681-72.84881,Mumbai stop,19.186812,72.848812
mumbai-19.16486-72.84945,Mumbai stop,19.164858,72.849452
mumbai-19.15139-72.85023,Mumbai stop,19.151392,72.850225
mumbai-19.13612-72.84892,Mumbai stop,19.136116,72.848916
mumbai-19.11930-72.84680,Mumbai stop,19.119296,72.846797
mumbai-19.09998-72.84409,Mumbai stop,19.09998,72.844087
mumbai-19.08163-72.84168,Mumbai stop,19.081629,72.841684
mumbai-19.06905-72.84019,Mumbai stop,19.069052,72.840191
mumbai-19.05472-72.84061,Mumbai stop,19.054716,72.840607
mumbai-19.04072-72.84674,Mumbai stop,19.040719,72.846737
mumbai-19.02810-72.84689,Mumbai stop,19.028104,72.846888
mumbai-19.01898-72.84282,Mumbai stop,19.018978,72.842819
mumbai-19.00730-72.83585,Mumbai stop,19.0073,72.835852
mumbai-18.99552-72.83010,Mumbai stop,18.995516,72.830101
mumbai-18.98214-72.82405,Mumbai stop,18.982139,72.824048
mumbai-18.97071-72.81883,Mumbai stop,18.97071,72.818835
mumbai-18.96327-72.81598,Mumbai stop,18.963266,72.815984
mumbai-18.95204-72.81793,Mumbai stop,18.952036,72.817925
mumbai-18.94658-72.82309,Mumbai stop,18.946585,72.823086
mumbai-18.93439-72.82721,Mumbai stop,18.934395,72.827206
mumbai-18.94657-72.82305,Mumbai stop,18.946569,72.823053
mumbai-18.95279-72.81685,Mumbai stop,18.952793,72.816851
mumbai-18.96328-72.81595,Mumbai stop,18.963282,72.815951
mumbai-18.97070-72.81869,Mumbai stop,18.970701,72.818692
mumbai-18.98223-72.82394,Mumbai stop,18.982232,72.823937
mumbai-18.99554-72.83006,Mumbai stop,18.995535,72.830063
mumbai-19.00737-72.83576,Mumbai stop,19.007367,72.835756
mumbai-19.01904-72.84281,Mumbai stop,19.019036,72.842807
mumbai-19.02816-72.84673,Mumbai stop,19.028158,72.84673
mumbai-19.04071-72.84670,Mumbai stop,19.040705,72.846697
mumbai-19.05464-72.84046,Mumbai stop,19.054644,72.840463
mumbai-19.06907-72.84006,Mumbai stop,19.069069,72.84006
mumbai-19.08162-72.84153,Mumbai stop,19.081618,72.841528
mumbai-19.10000-72.84393,Mumbai stop,19.100003,72.843927
mumbai-19.11932-72.84660,Mumbai stop,19.119325,72.846597
