stop_id,stop_name,stop_lat,stop_lon
nagpur-28.58902-77.25431,Nagpur stop,28.589021,77.254309
nagpur-27.47780-77.67285,Nagpur stop,27.477804,77.672854
nagpur-27.47891-77.67318,Nagpur stop,27.478909,77.673185
nagpur-27.15894-77.99030,Nagpur stop,27.158936,77.990304
nagpur-27.15973-77.99051,Nagpur stop,27.159727,77.990509
nagpur-17.39325-78.46749,Nagpur stop,17.393246,78.467495
nagpur-17.39470-78.46763,Nagpur stop,17.394702,78.467628
nagpur-17.43344-78.50135,Nagpur stop,17.433443,78.501354
nagpur-19.84996-79.34714,Nagpur stop,19.84996,79.347141
nagpur-19.84934-79.34776,Nagpur stop,19.849341,79.347758
nagpur-21.15220-79.08835,Nagpur stop,21.1522,79.088352
nagpur-23.22201-77.43938,Nagpur stop,23.222009,77.439381
nagpur-23.22098-77.43974,Nagpur stop,23.220976,77.439738
nagpur-25.44583-78.55271,Nagpur stop,25.445831,78.552707
nagpur-25.44514-78.55276,Nagpur stop,25.44514,78.552764
nagpur-28.58878-77.25424,Nagpur stop,28.588784,77.254236
nagpur-28.58801-77.25448,Nagpur stop,28.588008,77.254475
nagpur-28.58902-77.25435,Nagpur stop,28.589022,77.254354
nagpur-25.44635-78.55290,Nagpur stop,25.446348,78.552905
nagpur-25.44514-78.55300,Nagpur stop,25.445144,78.553003
nagpur-23.22182-77.44014,Nagpur stop,23.221816,77.440136
nagpur-23.22112-77.44041,Nagpur stop,23.221123,77.440406
nagpur-21.15189-79.08859,Nagpur stop,21.151891,79.088587
nagpur-21.15229-79.08851,Nagpur stop,21.152293,79.08851
nagpur-19.85032-79.34729,Nagpur stop,19.850324,79.347288
nagpur-17.43305-78.50113,Nagpur stop,17.433052,78.501127
