route_id,service_id,trip_id,trip_headsign
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d0-t1,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d0-t2,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d0-t3,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d0-t4,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d0-t5,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d1-t1,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d1-t2,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d1-t3,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d1-t4,Howrah-Mumbai Mail
nashik-nashik-city--r1,daily,nashik-nashik-city--r1-1d1-t5,Howrah-Mumbai Mail
