stop_id,stop_name,stop_lat,stop_lon
navsari-19.22961-72.85704,Navsari stop,19.229606,72.857044
navsari-19.22824-72.85672,Navsari stop,19.228238,72.856716
navsari-21.20599-72.84061,Navsari stop,21.205994,72.840605
navsari-21.20520-72.84084,Navsari stop,21.2052,72.84084
navsari-22.31009-73.18055,Navsari stop,22.310087,73.180549
navsari-22.77710-73.60316,Navsari stop,22.777097,73.603158
navsari-22.84414-74.25297,Navsari stop,22.844137,74.252967
navsari-23.33837-75.04906,Navsari stop,23.338366,75.049065
navsari-22.90622-74.53774,Navsari stop,22.906217,74.537741
navsari-23.34029-75.05005,Navsari stop,23.340287,75.05005
navsari-23.45629-75.41266,Navsari stop,23.456294,75.412659
navsari-24.19047-75.64270,Navsari stop,24.190466,75.642704
navsari-24.41884-75.82905,Navsari stop,24.418838,75.829048
navsari-24.64391-75.93947,Navsari stop,24.643909,75.939474
navsari-25.22539-75.88078,Navsari stop,25.225394,75.880778
navsari-25.22435-75.88106,Navsari stop,25.224348,75.881055
navsari-26.01805-76.35617,Navsari stop,26.018051,76.356173
navsari-26.46830-76.72730,Navsari stop,26.468298,76.727297
navsari-26.68248-76.96602,Navsari stop,26.682484,76.966018
navsari-26.75610-77.03139,Navsari stop,26.756099,77.031387
navsari-26.91587-77.29643,Navsari stop,26.915869,77.296427
navsari-27.23727-77.48595,Navsari stop,27.237265,77.485954
navsari-27.23695-77.48841,Navsari stop,27.236955,77.488412
navsari-27.48346-77.67346,Navsari stop,27.483461,77.673455
navsari-28.41058-77.30738,Navsari stop,28.410583,77.307378
navsari-28.58996-77.25363,Navsari stop,28.589964,77.25363
navsari-28.65323-77.42831,Navsari stop,28.653227,77.42831
navsari-28.65357-77.42805,Navsari stop,28.653569,77.428052
navsari-28.97727-77.67470,Navsari stop,28.977272,77.674701
navsari-29.01633-77.68681,Navsari stop,29.016331,77.686808
navsari-29.19261-77.71850,Navsari stop,29.192609,77.718502
navsari-29.46934-77.70810,Navsari stop,29.469341,77.708101
navsari-29.96160-77.54026,Navsari stop,29.961599,77.540256
navsari-29.96113-77.54107,Navsari stop,29.961134,77.541075
navsari-30.11813-77.28575,Navsari stop,30.118129,77.285749
navsari-30.11783-77.28619,Navsari stop,30.117832,77.286191
navsari-30.33830-76.82815,Navsari stop,30.3383,76.828146
navsari-19.06170-72.84115,Navsari stop,19.061695,72.841152
