stop_id,stop_name,stop_lat,stop_lon
navsari-28.58881-77.25400,Navsari stop,28.588811,77.254005
navsari-27.79133-77.44499,Navsari stop,27.791331,77.444992
navsari-27.48120-77.67340,Navsari stop,27.481205,77.673404
navsari-27.23686-77.48720,Navsari stop,27.236856,77.487195
navsari-26.81823-77.14006,Navsari stop,26.81823,77.140057
navsari-26.75545-77.03117,Navsari stop,26.755455,77.031172
navsari-26.68369-76.96738,Navsari stop,26.683691,76.967385
navsari-26.46830-76.72730,Navsari stop,26.468298,76.727297
navsari-26.34393-76.63560,Navsari stop,26.343932,76.635598
navsari-26.23095-76.53489,Navsari stop,26.230951,76.534893
navsari-26.01742-76.35581,Navsari stop,26.017423,76.355811
navsari-24.19129-75.64329,Navsari stop,24.191293,75.643287
navsari-24.07010-75.64877,Navsari stop,24.070104,75.648771
navsari-23.94878-75.60153,Navsari stop,23.948778,75.601533
navsari-23.76426-75.53796,Navsari stop,23.764261,75.537962
navsari-23.56726-75.50046,Navsari stop,23.567261,75.500464
navsari-23.45560-75.41353,Navsari stop,23.455605,75.413531
navsari-23.44227-75.28540,Navsari stop,23.442265,75.285398
navsari-23.41399-75.18889,Navsari stop,23.413994,75.188888
navsari-23.39724-75.12274,Navsari stop,23.397241,75.12274
navsari-23.34074-75.05064,Navsari stop,23.340736,75.05064
navsari-23.14476-74.77725,Navsari stop,23.144764,74.777255
navsari-23.09492-74.75840,Navsari stop,23.094917,74.758404
navsari-22.96159-74.58838,Navsari stop,22.961585,74.588382
navsari-22.90688-74.53921,Navsari stop,22.906879,74.539206
navsari-22.86529-74.42100,Navsari stop,22.865289,74.420999
navsari-22.86658-74.34953,Navsari stop,22.866584,74.349532
navsari-22.84414-74.25297,Navsari stop,22.844137,74.252967
navsari-22.79552-73.80077,Navsari stop,22.795523,73.800766
navsari-22.77675-73.60418,Navsari stop,22.776752,73.604183
navsari-22.70313-73.55362,Navsari stop,22.703131,73.553624
navsari-22.62990-73.46229,Navsari stop,22.629898,73.462286
navsari-22.54092-73.39252,Navsari stop,22.540918,73.392518
navsari-22.48453-73.30269,Navsari stop,22.484534,73.302685
navsari-22.31071-73.18075,Navsari stop,22.31071,73.180752
navsari-21.70496-72.99935,Navsari stop,21.704961,72.999352
navsari-21.62418-73.00113,Navsari stop,21.624183,73.001135
navsari-21.46326-72.95455,Navsari stop,21.463261,72.954552
navsari-22.05161-73.12073,Navsari stop,22.051614,73.120729
navsari-21.20699-72.84066,Navsari stop,21.206986,72.840656
navsari-20.94565-72.91413,Navsari stop,20.945655,72.914135
navsari-20.76576-72.97029,Navsari stop,20.765756,72.97029
navsari-20.37319-72.90870,Navsari stop,20.373195,72.908702
navsari-19.06190-72.84138,Navsari stop,19.061903,72.841378
