stop_id,stop_name,stop_lat,stop_lon
navsari-8.48683-76.95203,Navsari stop,8.486829,76.952032
navsari-8.48711-76.95103,Navsari stop,8.48711,76.951031
navsari-8.88638-76.59600,Navsari stop,8.886376,76.596002
navsari-8.88625-76.59553,Navsari stop,8.886246,76.595528
navsari-9.48359-76.32251,Navsari stop,9.483591,76.322513
navsari-9.48407-76.32234,Navsari stop,9.48407,76.322344
navsari-9.96927-76.29108,Navsari stop,9.969274,76.291081
navsari-9.97019-76.29098,Navsari stop,9.970191,76.290976
navsari-10.51546-76.20798,Navsari stop,10.515464,76.207979
navsari-10.75907-76.27153,Navsari stop,10.759073,76.271533
navsari-10.75886-76.27209,Navsari stop,10.758856,76.272091
navsari-11.24544-75.78127,Navsari stop,11.245438,75.781273
navsari-11.87144-75.36805,Navsari stop,11.871439,75.368045
navsari-11.87225-75.36731,Navsari stop,11.87225,75.367309
navsari-12.49183-74.98732,Navsari stop,12.491833,74.987317
navsari-12.86623-74.88087,Navsari stop,12.866232,74.880865
navsari-12.86639-74.87950,Navsari stop,12.866387,74.879502
navsari-13.33583-74.77087,Navsari stop,13.335832,74.770872
navsari-13.33817-74.77083,Navsari stop,13.338172,74.77083
navsari-14.82040-74.18266,Navsari stop,14.820399,74.182657
navsari-15.26808-73.96912,Navsari stop,15.268082,73.969124
navsari-15.26797-73.97016,Navsari stop,15.267973,73.970156
navsari-17.00339-73.35773,Navsari stop,17.003385,73.357732
navsari-17.00335-73.35829,Navsari stop,17.003349,73.35829
navsari-18.99070-73.12144,Navsari stop,18.990701,73.121443
navsari-19.38105-72.83299,Navsari stop,19.381055,72.832988
navsari-19.38279-72.83212,Navsari stop,19.382787,72.832123
navsari-21.20599-72.84061,Navsari stop,21.205994,72.840605
navsari-21.20520-72.84084,Navsari stop,21.2052,72.84084
navsari-22.31009-73.18055,Navsari stop,22.310087,73.180549
navsari-23.33837-75.04906,Navsari stop,23.338366,75.049065
navsari-23.34029-75.05005,Navsari stop,23.340287,75.05005
navsari-25.22539-75.88078,Navsari stop,25.225394,75.880778
navsari-25.22435-75.88106,Navsari stop,25.224348,75.881055
navsari-28.58878-77.25424,Navsari stop,28.588784,77.254236
navsari-25.22310-75.88154,Navsari stop,25.223101,75.881538
navsari-25.22437-75.88123,Navsari stop,25.224366,75.88123
navsari-23.34074-75.05064,Navsari stop,23.340736,75.05064
navsari-23.34019-75.05027,Navsari stop,23.340193,75.050274
navsari-21.20699-72.84066,Navsari stop,21.206986,72.840656
navsari-21.20520-72.84090,Navsari stop,21.205202,72.840899
navsari-19.38283-72.83225,Navsari stop,19.382831,72.832245
navsari-18.99056-73.12210,Navsari stop,18.990561,73.122099
navsari-17.00316-73.35833,Navsari stop,17.003158,73.358328
navsari-15.26780-73.97010,Navsari stop,15.267802,73.970103
navsari-14.82049-74.18290,Navsari stop,14.82049,74.182897
navsari-13.33433-74.77119,Navsari stop,13.334327,74.77119
navsari-13.33616-74.77108,Navsari stop,13.336156,74.771082
navsari-12.49101-74.98783,Navsari stop,12.491013,74.987832
navsari-12.49180-74.98745,Navsari stop,12.491803,74.987446
navsari-11.87143-75.36835,Navsari stop,11.871433,75.368354
navsari-11.87235-75.36741,Navsari stop,11.872348,75.367406
navsari-11.24606-75.78082,Navsari stop,11.246061,75.780825
navsari-11.24551-75.78081,Navsari stop,11.245506,75.780805
navsari-10.75911-76.27048,Navsari stop,10.759114,76.270478
navsari-10.75881-76.27208,Navsari stop,10.758806,76.272083
navsari-10.51610-76.20832,Navsari stop,10.516102,76.208321
navsari-10.51553-76.20810,Navsari stop,10.515528,76.208102
navsari-8.88630-76.59671,Navsari stop,8.886297,76.596709
navsari-8.88620-76.59553,Navsari stop,8.886202,76.595534
navsari-8.48674-76.95332,Navsari stop,8.486737,76.95332
navsari-8.48715-76.95104,Navsari stop,8.487147,76.951039
navsari-15.62947-73.87777,Navsari stop,15.629474,73.877768
navsari-15.63000-73.87713,Navsari stop,15.63,73.877127
navsari-16.01735-73.67775,Navsari stop,16.017353,73.677753
navsari-28.58881-77.25400,Navsari stop,28.588811,77.254005
navsari-16.01767-73.67795,Navsari stop,16.017666,73.677951
navsari-16.01724-73.67787,Navsari stop,16.017239,73.677866
navsari-15.26808-73.97016,Navsari stop,15.268083,73.970161
