route_id,service_id,trip_id,trip_headsign
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d0-t1,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d0-t2,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d0-t3,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d0-t4,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d0-t5,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d1-t1,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d1-t2,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d1-t3,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d1-t4,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r1,daily,noida-delhi-metro--r1-1d1-t5,Blue Line (Noida Electronic City → Dwarka Sector 21)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d0-t1,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d0-t2,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d0-t3,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d0-t4,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d0-t5,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d1-t1,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d1-t2,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d1-t3,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d1-t4,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r2,daily,noida-delhi-metro--r2-2d1-t5,Blue Line (Yamuna Bank → Vaishali)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d0-t1,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d0-t2,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d0-t3,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d0-t4,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d0-t5,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d1-t1,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d1-t2,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d1-t3,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d1-t4,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r3,daily,noida-delhi-metro--r3-3d1-t5,Violet Line (Kashmere Gate → Raja Nahar Singh)
noida-delhi-metro--r4,daily,noida-delhi-metro--r4-4d0-t1,Blue Line (Dwarka Sector 21 → Noida Electronic City)
noida-delhi-metro--r4,daily,noida-delhi-metro--r4-4d0-t2,Blue Line (Dwarka Sector 21 → Noida Electronic City)
noida-delhi-metro--r4,daily,noida-delhi-metro--r4-4d0-t3,Blue Line (Dwarka Sector 21 → Noida Electronic City)
