stop_id,stop_name,stop_lat,stop_lon
noida-28.66779-77.13739,Noida stop,28.667787,77.13739
noida-28.66368-77.14069,Noida stop,28.663679,77.140691
noida-28.66036-77.14390,Noida stop,28.660364,77.1439
noida-28.65892-77.14664,Noida stop,28.658924,77.146636
noida-28.65753-77.14879,Noida stop,28.657527,77.148793
noida-28.65319-77.15603,Noida stop,28.653193,77.156028
noida-28.65137-77.15894,Noida stop,28.651369,77.158942
noida-28.64761-77.16531,Noida stop,28.647606,77.165313
noida-28.64559-77.16870,Noida stop,28.645586,77.168698
noida-28.64259-77.17367,Noida stop,28.642592,77.173671
noida-28.64249-77.17729,Noida stop,28.642487,77.177286
noida-28.64313-77.18154,Noida stop,28.643131,77.181537
noida-28.64417-77.18819,Noida stop,28.644166,77.188189
noida-28.64420-77.18895,Noida stop,28.644199,77.188947
noida-28.64477-77.19321,Noida stop,28.64477,77.193209
noida-28.64399-77.20094,Noida stop,28.64399,77.200942
noida-28.64167-77.20468,Noida stop,28.641666,77.20468
noida-28.63631-77.21399,Noida stop,28.636314,77.213993
noida-28.63269-77.22312,Noida stop,28.63269,77.223115
noida-28.63055-77.22378,Noida stop,28.630554,77.223777
noida-28.62981-77.22525,Noida stop,28.629809,77.225255
noida-28.62783-77.22852,Noida stop,28.627831,77.228521
noida-28.62580-77.23427,Noida stop,28.625795,77.234271
noida-28.62548-77.23946,Noida stop,28.625485,77.239463
noida-28.62816-77.24511,Noida stop,28.628158,77.245106
noida-28.62825-77.25134,Noida stop,28.628251,77.251342
noida-28.62826-77.26063,Noida stop,28.628264,77.260626
noida-28.62952-77.27726,Noida stop,28.629518,77.277264
noida-28.62740-77.27931,Noida stop,28.627397,77.279308
noida-28.62100-77.28528,Noida stop,28.621001,77.285279
noida-28.61914-77.28641,Noida stop,28.619139,77.286409
noida-28.61938-77.28830,Noida stop,28.619383,77.2883
noida-28.62016-77.29013,Noida stop,28.620163,77.29013
noida-28.62175-77.29457,Noida stop,28.621745,77.294566
noida-28.62298-77.29824,Noida stop,28.622983,77.298236
noida-28.62394-77.30114,Noida stop,28.623942,77.301142
noida-28.62512-77.30468,Noida stop,28.62512,77.304678
noida-28.62668-77.30935,Noida stop,28.626676,77.309352
noida-28.62884-77.30891,Noida stop,28.628845,77.308909
noida-28.62981-77.30670,Noida stop,28.629808,77.306697
noida-28.63215-77.30468,Noida stop,28.632145,77.304682
noida-28.63113-77.30172,Noida stop,28.631134,77.301719
noida-28.63083-77.30068,Noida stop,28.630827,77.300681
noida-28.63082-77.29901,Noida stop,28.630815,77.299015
noida-28.63295-77.29899,Noida stop,28.632953,77.298993
noida-28.63476-77.30234,Noida stop,28.634762,77.302343
noida-28.63613-77.30727,Noida stop,28.636134,77.307268
noida-28.63628-77.31033,Noida stop,28.636282,77.310331
noida-28.64189-77.31581,Noida stop,28.641887,77.315806
noida-28.64503-77.31681,Noida stop,28.645031,77.316812
noida-28.63202-77.21560,Noida stop,28.632019,77.215601
noida-28.63046-77.22381,Noida stop,28.630463,77.223814
noida-28.62982-77.27700,Noida stop,28.629815,77.276998
noida-28.61650-77.28814,Noida stop,28.616498,77.288136
noida-28.61474-77.29025,Noida stop,28.614741,77.290247
noida-28.61359-77.29412,Noida stop,28.613593,77.294118
noida-28.61335-77.29554,Noida stop,28.61335,77.295538
noida-28.61329-77.30158,Noida stop,28.61329,77.301576
noida-28.61279-77.30619,Noida stop,28.612793,77.306193
noida-28.60210-77.31396,Noida stop,28.602102,77.313957
noida-28.59887-77.31872,Noida stop,28.598868,77.318718
noida-28.59960-77.32184,Noida stop,28.599602,77.321836
noida-28.60173-77.32734,Noida stop,28.601728,77.32734
noida-28.60613-77.33395,Noida stop,28.606126,77.333949
noida-28.60873-77.33721,Noida stop,28.60873,77.337211
noida-28.61180-77.33985,Noida stop,28.611796,77.339853
noida-28.61576-77.34106,Noida stop,28.615756,77.341063
noida-28.61776-77.33659,Noida stop,28.617763,77.33659
noida-28.61787-77.33642,Noida stop,28.617869,77.336423
noida-28.61596-77.34113,Noida stop,28.615959,77.34113
noida-28.61147-77.33988,Noida stop,28.611467,77.339877
noida-28.60846-77.33732,Noida stop,28.608463,77.337324
noida-28.60530-77.33312,Noida stop,28.605297,77.333116
noida-28.60292-77.32948,Noida stop,28.60292,77.329481
noida-28.60157-77.32746,Noida stop,28.601568,77.327463
noida-28.60157-77.32600,Noida stop,28.601565,77.325997
noida-28.60138-77.32514,Noida stop,28.601382,77.325142
noida-28.59947-77.32191,Noida stop,28.599474,77.321907
noida-28.59881-77.31849,Noida stop,28.598807,77.31849
noida-28.60200-77.31373,Noida stop,28.602005,77.313731
noida-28.61262-77.30618,Noida stop,28.612617,77.306178
noida-28.61315-77.30146,Noida stop,28.613153,77.301458
noida-28.61273-77.29756,Noida stop,28.612734,77.297562
noida-28.61311-77.29572,Noida stop,28.613107,77.295722
noida-28.61349-77.29368,Noida stop,28.613488,77.293675
noida-28.61411-77.29170,Noida stop,28.614106,77.291697
noida-28.61456-77.29025,Noida stop,28.614563,77.290254
noida-28.61551-77.28845,Noida stop,28.615513,77.288445
noida-28.61649-77.28790,Noida stop,28.616487,77.287904
noida-28.61954-77.28589,Noida stop,28.619535,77.28589
noida-28.62095-77.28510,Noida stop,28.620955,77.285102
noida-28.62698-77.27951,Noida stop,28.626979,77.279511
noida-28.62920-77.27728,Noida stop,28.629196,77.277281
noida-28.62967-77.27685,Noida stop,28.629665,77.276849
noida-28.62799-77.26093,Noida stop,28.627992,77.260931
noida-28.62789-77.25238,Noida stop,28.627889,77.252378
noida-28.62785-77.24447,Noida stop,28.627846,77.244475
