stop_id,stop_name,stop_lat,stop_lon
noida-28.48898-77.54401,Noida stop,28.488985,77.544014
noida-28.48466-77.53651,Noida stop,28.484656,77.536513
noida-28.47845-77.52573,Noida stop,28.478446,77.525727
noida-28.47101-77.51274,Noida stop,28.471005,77.512741
noida-28.46338-77.50837,Noida stop,28.463378,77.50837
noida-28.45703-77.50034,Noida stop,28.457031,77.500335
noida-28.44805-77.47657,Noida stop,28.44805,77.476571
noida-28.45929-77.46615,Noida stop,28.459294,77.466155
noida-28.46882-77.45515,Noida stop,28.468821,77.455152
noida-28.47898-77.44238,Noida stop,28.478984,77.44238
noida-28.48627-77.43305,Noida stop,28.486273,77.433048
noida-28.49424-77.42235,Noida stop,28.494241,77.422352
noida-28.49897-77.41285,Noida stop,28.49897,77.412846
noida-28.51076-77.40358,Noida stop,28.51076,77.403577
noida-28.52226-77.39641,Noida stop,28.522258,77.396414
noida-28.53241-77.39472,Noida stop,28.53241,77.394722
noida-28.54929-77.38991,Noida stop,28.549288,77.389911
noida-28.55604-77.38492,Noida stop,28.556041,77.384917
noida-28.56533-77.37963,Noida stop,28.56533,77.379627
noida-28.57435-77.37821,Noida stop,28.574347,77.378212
noida-28.58572-77.37524,Noida stop,28.585716,77.37524
noida-28.58573-77.37528,Noida stop,28.585725,77.375279
noida-28.57436-77.37826,Noida stop,28.574361,77.378258
noida-28.56534-77.37969,Noida stop,28.56534,77.379686
noida-28.55607-77.38497,Noida stop,28.556068,77.38497
noida-28.54931-77.38996,Noida stop,28.54931,77.389964
noida-28.53242-77.39478,Noida stop,28.532416,77.394783
noida-28.52229-77.39646,Noida stop,28.522295,77.396459
noida-28.51079-77.40363,Noida stop,28.510788,77.403629
noida-28.49901-77.41287,Noida stop,28.499014,77.412868
noida-28.49428-77.42239,Noida stop,28.494281,77.422392
noida-28.48631-77.43309,Noida stop,28.486313,77.433088
noida-28.47902-77.44242,Noida stop,28.479022,77.442423
noida-28.46888-77.45519,Noida stop,28.468875,77.455189
noida-28.45934-77.46621,Noida stop,28.459342,77.466208
noida-28.44808-77.47662,Noida stop,28.448079,77.476623
noida-28.45707-77.50030,Noida stop,28.457073,77.500298
noida-28.46341-77.50834,Noida stop,28.463414,77.508335
noida-28.47105-77.51271,Noida stop,28.47105,77.512708
noida-28.47849-77.52569,Noida stop,28.478491,77.525693
noida-28.48470-77.53648,Noida stop,28.484701,77.53648
noida-28.48903-77.54398,Noida stop,28.48903,77.54398
noida-28.56195-77.33766,Noida stop,28.561946,77.337661
noida-28.56403-77.33338,Noida stop,28.564034,77.333378
noida-28.50684-77.39139,Noida stop,28.506845,77.391388
noida-28.49975-77.40885,Noida stop,28.499755,77.408846
noida-28.47462-77.44614,Noida stop,28.474621,77.446142
noida-28.44431-77.48130,Noida stop,28.44431,77.481299
noida-28.46424-77.50972,Noida stop,28.464242,77.509724
noida-28.47925-77.50137,Noida stop,28.479247,77.501373
noida-28.48201-77.50328,Noida stop,28.482008,77.50328
noida-28.48649-77.50690,Noida stop,28.486486,77.506899
noida-28.48797-77.50955,Noida stop,28.487968,77.509555
noida-28.49111-77.51497,Noida stop,28.491106,77.514974
noida-28.48768-77.50974,Noida stop,28.48768,77.509735
noida-28.48189-77.50366,Noida stop,28.481889,77.503663
noida-28.47118-77.50653,Noida stop,28.47118,77.506526
noida-28.46452-77.51068,Noida stop,28.464519,77.510684
noida-28.45931-77.46442,Noida stop,28.45931,77.464423
noida-28.48925-77.42687,Noida stop,28.489254,77.42687
noida-28.54103-77.34411,Noida stop,28.541032,77.344111
noida-28.55818-77.32948,Noida stop,28.558184,77.329477
noida-28.56094-77.33606,Noida stop,28.560942,77.336056
noida-28.56406-77.33341,Noida stop,28.564057,77.333412
