route_id,service_id,trip_id,trip_headsign
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d0-t1,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d0-t2,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d0-t3,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d0-t4,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d0-t5,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d1-t1,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d1-t2,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d1-t3,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d1-t4,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r1,daily,noida-noida-city-t-r1-1d1-t5,740: Anand Vihar ISBT -> Uttam Nagar Terminal
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d0-t1,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d0-t2,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d0-t3,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d0-t4,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d0-t5,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d1-t1,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d1-t2,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d1-t3,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d1-t4,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r2,daily,noida-noida-city-t-r2-2d1-t5,740: Uttam Nagar Terminal -> Anand Vihar ISBT
noida-noida-city-t-r3,daily,noida-noida-city-t-r3-3d0-t1,Bus 85: Anand Vihar ISBT → Punjabi Bagh Terminal
noida-noida-city-t-r3,daily,noida-noida-city-t-r3-3d0-t2,Bus 85: Anand Vihar ISBT → Punjabi Bagh Terminal
noida-noida-city-t-r3,daily,noida-noida-city-t-r3-3d0-t3,Bus 85: Anand Vihar ISBT → Punjabi Bagh Terminal
noida-noida-city-t-r3,daily,noida-noida-city-t-r3-3d0-t4,Bus 85: Anand Vihar ISBT → Punjabi Bagh Terminal
