trip_id,arrival_time,departure_time,stop_id,stop_sequence
noida-northern-rai-r1-1d0-t1,06:00:00,06:00:00,noida-28.66003-77.15654,1
noida-northern-rai-r1-1d0-t1,06:02:34,06:02:34,noida-28.66687-77.17109,2
noida-northern-rai-r1-1d0-t1,06:04:39,06:04:39,noida-28.66440-77.18377,3
noida-northern-rai-r1-1d0-t1,06:07:04,06:07:04,noida-28.66327-77.19920,4
noida-northern-rai-r1-1d0-t1,06:11:39,06:11:39,noida-28.64237-77.21973,5
noida-northern-rai-r1-1d0-t1,06:13:36,06:13:36,noida-28.63344-77.22614,6
noida-northern-rai-r1-1d0-t1,06:15:46,06:15:46,noida-28.62753-77.23796,7
noida-northern-rai-r1-1d0-t1,06:18:17,06:18:17,noida-28.61598-77.24728,8
noida-northern-rai-r1-1d0-t1,06:22:53,06:22:53,noida-28.58886-77.25377,9
noida-northern-rai-r1-1d0-t1,06:28:25,06:28:25,noida-28.57965-77.21680,10
noida-northern-rai-r1-1d0-t1,06:31:32,06:31:32,noida-28.58124-77.19632,11
noida-northern-rai-r1-1d0-t1,06:35:33,06:35:33,noida-28.59159-77.17182,12
noida-northern-rai-r1-1d0-t1,06:44:01,06:44:01,noida-28.63694-77.14131,13
noida-northern-rai-r1-1d0-t1,06:45:59,06:45:59,noida-28.64689-77.14554,14
noida-northern-rai-r1-1d0-t2,08:00:00,08:00:00,noida-28.66003-77.15654,1
noida-northern-rai-r1-1d0-t2,08:02:34,08:02:34,noida-28.66687-77.17109,2
noida-northern-rai-r1-1d0-t2,08:04:39,08:04:39,noida-28.66440-77.18377,3
noida-northern-rai-r1-1d0-t2,08:07:04,08:07:04,noida-28.66327-77.19920,4
noida-northern-rai-r1-1d0-t2,08:11:39,08:11:39,noida-28.64237-77.21973,5
noida-northern-rai-r1-1d0-t2,08:13:36,08:13:36,noida-28.63344-77.22614,6
noida-northern-rai-r1-1d0-t2,08:15:46,08:15:46,noida-28.62753-77.23796,7
noida-northern-rai-r1-1d0-t2,08:18:17,08:18:17,noida-28.61598-77.24728,8
noida-northern-rai-r1-1d0-t2,08:22:53,08:22:53,noida-28.58886-77.25377,9
noida-northern-rai-r1-1d0-t2,08:28:25,08:28:25,noida-28.57965-77.21680,10
noida-northern-rai-r1-1d0-t2,08:31:32,08:31:32,noida-28.58124-77.19632,11
noida-northern-rai-r1-1d0-t2,08:35:33,08:35:33,noida-28.59159-77.17182,12
noida-northern-rai-r1-1d0-t2,08:44:01,08:44:01,noida-28.63694-77.14131,13
noida-northern-rai-r1-1d0-t2,08:45:59,08:45:59,noida-28.64689-77.14554,14
noida-northern-rai-r1-1d0-t3,12:00:00,12:00:00,noida-28.66003-77.15654,1
noida-northern-rai-r1-1d0-t3,12:02:34,12:02:34,noida-28.66687-77.17109,2
noida-northern-rai-r1-1d0-t3,12:04:39,12:04:39,noida-28.66440-77.18377,3
noida-northern-rai-r1-1d0-t3,12:07:04,12:07:04,noida-28.66327-77.19920,4
noida-northern-rai-r1-1d0-t3,12:11:39,12:11:39,noida-28.64237-77.21973,5
noida-northern-rai-r1-1d0-t3,12:13:36,12:13:36,noida-28.63344-77.22614,6
noida-northern-rai-r1-1d0-t3,12:15:46,12:15:46,noida-28.62753-77.23796,7
noida-northern-rai-r1-1d0-t3,12:18:17,12:18:17,noida-28.61598-77.24728,8
noida-northern-rai-r1-1d0-t3,12:22:53,12:22:53,noida-28.58886-77.25377,9
noida-northern-rai-r1-1d0-t3,12:28:25,12:28:25,noida-28.57965-77.21680,10
noida-northern-rai-r1-1d0-t3,12:31:32,12:31:32,noida-28.58124-77.19632,11
noida-northern-rai-r1-1d0-t3,12:35:33,12:35:33,noida-28.59159-77.17182,12
noida-northern-rai-r1-1d0-t3,12:44:01,12:44:01,noida-28.63694-77.14131,13
noida-northern-rai-r1-1d0-t3,12:45:59,12:45:59,noida-28.64689-77.14554,14
noida-northern-rai-r1-1d0-t4,17:00:00,17:00:00,noida-28.66003-77.15654,1
noida-northern-rai-r1-1d0-t4,17:02:34,17:02:34,noida-28.66687-77.17109,2
noida-northern-rai-r1-1d0-t4,17:04:39,17:04:39,noida-28.66440-77.18377,3
noida-northern-rai-r1-1d0-t4,17:07:04,17:07:04,noida-28.66327-77.19920,4
noida-northern-rai-r1-1d0-t4,17:11:39,17:11:39,noida-28.64237-77.21973,5
noida-northern-rai-r1-1d0-t4,17:13:36,17:13:36,noida-28.63344-77.22614,6
noida-northern-rai-r1-1d0-t4,17:15:46,17:15:46,noida-28.62753-77.23796,7
noida-northern-rai-r1-1d0-t4,17:18:17,17:18:17,noida-28.61598-77.24728,8
