stop_id,stop_name,stop_lat,stop_lon
noida-28.66003-77.15654,Noida stop,28.660035,77.156536
noida-28.66687-77.17109,Noida stop,28.666873,77.171093
noida-28.66440-77.18377,Noida stop,28.664403,77.18377
noida-28.66327-77.19920,Noida stop,28.663269,77.1992
noida-28.64237-77.21973,Noida stop,28.642374,77.219733
noida-28.63344-77.22614,Noida stop,28.633435,77.226142
noida-28.62753-77.23796,Noida stop,28.627529,77.237959
noida-28.61598-77.24728,Noida stop,28.615975,77.247281
noida-28.58886-77.25377,Noida stop,28.58886,77.253766
noida-28.57965-77.21680,Noida stop,28.579649,77.216795
noida-28.58124-77.19632,Noida stop,28.581235,77.196316
noida-28.59159-77.17182,Noida stop,28.591586,77.17182
noida-28.63694-77.14131,Noida stop,28.63694,77.141314
noida-28.64689-77.14554,Noida stop,28.646892,77.145537
noida-28.64417-77.21921,Noida stop,28.644168,77.219215
noida-28.64236-77.21964,Noida stop,28.64236,77.219637
noida-27.47891-77.67318,Noida stop,27.478909,77.673185
noida-27.47780-77.67285,Noida stop,27.477804,77.672854
noida-27.15973-77.99051,Noida stop,27.159727,77.990509
noida-27.15894-77.99030,Noida stop,27.158936,77.990304
noida-26.69822-77.90569,Noida stop,26.698218,77.905689
noida-26.69741-77.90588,Noida stop,26.69741,77.90588
noida-26.50173-78.00338,Noida stop,26.501726,78.003377
noida-26.21634-78.18259,Noida stop,26.216342,78.182593
noida-26.21551-78.18183,Noida stop,26.21551,78.181825
noida-25.44512-78.55326,Noida stop,25.445115,78.55326
noida-24.68810-78.39542,Noida stop,24.6881,78.395421
noida-24.68854-78.39570,Noida stop,24.688544,78.395699
noida-24.17237-78.18632,Noida stop,24.172372,78.18632
noida-24.17195-78.18531,Noida stop,24.171949,78.185308
noida-23.26796-77.41387,Noida stop,23.267955,77.413868
noida-23.22201-77.43938,Noida stop,23.222009,77.439381
noida-23.22098-77.43974,Noida stop,23.220976,77.439738
noida-8.48683-76.95203,Noida stop,8.486829,76.952032
noida-8.48711-76.95103,Noida stop,8.48711,76.951031
noida-8.88638-76.59600,Noida stop,8.886376,76.596002
noida-8.88625-76.59553,Noida stop,8.886246,76.595528
noida-9.48359-76.32251,Noida stop,9.483591,76.322513
