route_id,service_id,trip_id,trip_headsign
patna-ecr-r1,daily,patna-ecr-r1-1d0-t1,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d0-t2,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d0-t3,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d0-t4,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d0-t5,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d1-t1,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d1-t2,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d1-t3,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d1-t4,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r1,daily,patna-ecr-r1-1d1-t5,Train Gangadamodar Express 13330: Patna Junction → Dhanbad Junction
patna-ecr-r2,daily,patna-ecr-r2-2d0-t1,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d0-t2,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d0-t3,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d0-t4,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d0-t5,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d1-t1,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d1-t2,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d1-t3,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d1-t4,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r2,daily,patna-ecr-r2-2d1-t5,Train Gangadamodar Express 13329: Dhanbad Junction → Patna Junction
patna-ecr-r3,daily,patna-ecr-r3-3d0-t1,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d0-t2,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d0-t3,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d0-t4,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d0-t5,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d1-t1,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d1-t2,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d1-t3,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d1-t4,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r3,daily,patna-ecr-r3-3d1-t5,Train Chhapra Junction Sonpur Junction DEMU 75270: Chhapra Junction → Sonpur
patna-ecr-r4,daily,patna-ecr-r4-4d0-t1,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d0-t2,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d0-t3,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d0-t4,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d0-t5,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d1-t1,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d1-t2,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d1-t3,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d1-t4,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
patna-ecr-r4,daily,patna-ecr-r4-4d1-t5,Train Sonpur Junction Chhapra Junction DEMU 75269: Sonpur Junction → Chhapra Junction
