trip_id,arrival_time,departure_time,stop_id,stop_sequence
patna-ir-r1-1d0-t1,06:00:00,06:00:00,patna-26.83201-80.92151,1
patna-ir-r1-1d0-t1,06:01:10,06:01:10,patna-26.83183-80.91675,2
patna-ir-r1-1d0-t1,06:09:53,06:09:53,patna-26.86884-80.96137,3
patna-ir-r1-1d0-t1,08:36:43,08:36:43,patna-27.15465-81.97672,4
patna-ir-r1-1d0-t1,10:38:08,10:38:08,patna-26.81525-82.76991,5
patna-ir-r1-1d0-t1,12:03:14,12:03:14,patna-26.75972-83.38173,6
patna-ir-r1-1d0-t1,13:11:07,13:11:07,patna-26.50814-83.78212,7
patna-ir-r1-1d0-t1,13:12:17,13:12:17,patna-26.50851-83.78158,8
patna-ir-r1-1d0-t1,14:44:42,14:44:42,patna-26.21089-84.35823,9
patna-ir-r1-1d0-t1,15:30:10,15:30:10,patna-25.96648-84.53672,10
patna-ir-r1-1d0-t1,16:08:35,16:08:35,patna-25.78719-84.72490,11
patna-ir-r1-1d0-t1,16:09:45,16:09:45,patna-25.78722-84.72447,12
patna-ir-r1-1d0-t1,16:49:30,16:49:30,patna-25.74410-85.00387,13
patna-ir-r1-1d0-t1,16:50:40,16:50:40,patna-25.74411-85.00317,14
patna-ir-r1-1d0-t1,17:11:59,17:11:59,patna-25.62173-85.06876,15
patna-ir-r1-1d0-t2,08:00:00,08:00:00,patna-26.83201-80.92151,1
patna-ir-r1-1d0-t2,08:01:10,08:01:10,patna-26.83183-80.91675,2
patna-ir-r1-1d0-t2,08:09:53,08:09:53,patna-26.86884-80.96137,3
patna-ir-r1-1d0-t2,10:36:43,10:36:43,patna-27.15465-81.97672,4
patna-ir-r1-1d0-t2,12:38:08,12:38:08,patna-26.81525-82.76991,5
patna-ir-r1-1d0-t2,14:03:14,14:03:14,patna-26.75972-83.38173,6
patna-ir-r1-1d0-t2,15:11:07,15:11:07,patna-26.50814-83.78212,7
patna-ir-r1-1d0-t2,15:12:17,15:12:17,patna-26.50851-83.78158,8
patna-ir-r1-1d0-t2,16:44:42,16:44:42,patna-26.21089-84.35823,9
patna-ir-r1-1d0-t2,17:30:10,17:30:10,patna-25.96648-84.53672,10
patna-ir-r1-1d0-t2,18:08:35,18:08:35,patna-25.78719-84.72490,11
patna-ir-r1-1d0-t2,18:09:45,18:09:45,patna-25.78722-84.72447,12
patna-ir-r1-1d0-t2,18:49:30,18:49:30,patna-25.74410-85.00387,13
patna-ir-r1-1d0-t2,18:50:40,18:50:40,patna-25.74411-85.00317,14
patna-ir-r1-1d0-t2,19:11:59,19:11:59,patna-25.62173-85.06876,15
patna-ir-r1-1d0-t3,12:00:00,12:00:00,patna-26.83201-80.92151,1
patna-ir-r1-1d0-t3,12:01:10,12:01:10,patna-26.83183-80.91675,2
patna-ir-r1-1d0-t3,12:09:53,12:09:53,patna-26.86884-80.96137,3
patna-ir-r1-1d0-t3,14:36:43,14:36:43,patna-27.15465-81.97672,4
patna-ir-r1-1d0-t3,16:38:08,16:38:08,patna-26.81525-82.76991,5
patna-ir-r1-1d0-t3,18:03:14,18:03:14,patna-26.75972-83.38173,6
patna-ir-r1-1d0-t3,19:11:07,19:11:07,patna-26.50814-83.78212,7
patna-ir-r1-1d0-t3,19:12:17,19:12:17,patna-26.50851-83.78158,8
patna-ir-r1-1d0-t3,20:44:42,20:44:42,patna-26.21089-84.35823,9
patna-ir-r1-1d0-t3,21:30:10,21:30:10,patna-25.96648-84.53672,10
patna-ir-r1-1d0-t3,22:08:35,22:08:35,patna-25.78719-84.72490,11
patna-ir-r1-1d0-t3,22:09:45,22:09:45,patna-25.78722-84.72447,12
patna-ir-r1-1d0-t3,22:49:30,22:49:30,patna-25.74410-85.00387,13
patna-ir-r1-1d0-t3,22:50:40,22:50:40,patna-25.74411-85.00317,14
patna-ir-r1-1d0-t3,23:11:59,23:11:59,patna-25.62173-85.06876,15
patna-ir-r1-1d0-t4,17:00:00,17:00:00,patna-26.83201-80.92151,1
patna-ir-r1-1d0-t4,17:01:10,17:01:10,patna-26.83183-80.91675,2
patna-ir-r1-1d0-t4,17:09:53,17:09:53,patna-26.86884-80.96137,3
patna-ir-r1-1d0-t4,19:36:43,19:36:43,patna-27.15465-81.97672,4
patna-ir-r1-1d0-t4,21:38:08,21:38:08,patna-26.81525-82.76991,5
patna-ir-r1-1d0-t4,23:03:14,23:03:14,patna-26.75972-83.38173,6
patna-ir-r1-1d0-t4,24:11:07,24:11:07,patna-26.50814-83.78212,7
patna-ir-r1-1d0-t4,24:12:17,24:12:17,patna-26.50851-83.78158,8
patna-ir-r1-1d0-t4,25:44:42,25:44:42,patna-26.21089-84.35823,9
patna-ir-r1-1d0-t4,26:30:10,26:30:10,patna-25.96648-84.53672,10
patna-ir-r1-1d0-t4,27:08:35,27:08:35,patna-25.78719-84.72490,11
patna-ir-r1-1d0-t4,27:09:45,27:09:45,patna-25.78722-84.72447,12
patna-ir-r1-1d0-t4,27:49:30,27:49:30,patna-25.74410-85.00387,13
patna-ir-r1-1d0-t4,27:50:40,27:50:40,patna-25.74411-85.00317,14
patna-ir-r1-1d0-t4,28:11:59,28:11:59,patna-25.62173-85.06876,15
patna-ir-r1-1d0-t5,20:00:00,20:00:00,patna-26.83201-80.92151,1
patna-ir-r1-1d0-t5,20:01:10,20:01:10,patna-26.83183-80.91675,2
patna-ir-r1-1d0-t5,20:09:53,20:09:53,patna-26.86884-80.96137,3
patna-ir-r1-1d0-t5,22:36:43,22:36:43,patna-27.15465-81.97672,4
patna-ir-r1-1d0-t5,24:38:08,24:38:08,patna-26.81525-82.76991,5
patna-ir-r1-1d0-t5,26:03:14,26:03:14,patna-26.75972-83.38173,6
patna-ir-r1-1d0-t5,27:11:07,27:11:07,patna-26.50814-83.78212,7
patna-ir-r1-1d0-t5,27:12:17,27:12:17,patna-26.50851-83.78158,8
patna-ir-r1-1d0-t5,28:44:42,28:44:42,patna-26.21089-84.35823,9
patna-ir-r1-1d0-t5,29:30:10,29:30:10,patna-25.96648-84.53672,10
patna-ir-r1-1d0-t5,30:08:35,30:08:35,patna-25.78719-84.72490,11
patna-ir-r1-1d0-t5,30:09:45,30:09:45,patna-25.78722-84.72447,12
patna-ir-r1-1d0-t5,30:49:30,30:49:30,patna-25.74410-85.00387,13
patna-ir-r1-1d0-t5,30:50:40,30:50:40,patna-25.74411-85.00317,14
patna-ir-r1-1d0-t5,31:11:59,31:11:59,patna-25.62173-85.06876,15
patna-ir-r1-1d1-t1,06:00:00,06:00:00,patna-25.62173-85.06876,1
patna-ir-r1-1d1-t1,06:21:19,06:21:19,patna-25.74411-85.00317,2
patna-ir-r1-1d1-t1,06:22:29,06:22:29,patna-25.74410-85.00387,3
patna-ir-r1-1d1-t1,07:02:14,07:02:14,patna-25.78722-84.72447,4
patna-ir-r1-1d1-t1,07:03:24,07:03:24,patna-25.78719-84.72490,5
patna-ir-r1-1d1-t1,07:41:49,07:41:49,patna-25.96648-84.53672,6
patna-ir-r1-1d1-t1,08:27:17,08:27:17,patna-26.21089-84.35823,7
patna-ir-r1-1d1-t1,09:59:42,09:59:42,patna-26.50851-83.78158,8
patna-ir-r1-1d1-t1,10:00:52,10:00:52,patna-26.50814-83.78212,9
patna-ir-r1-1d1-t1,11:08:45,11:08:45,patna-26.75972-83.38173,10
patna-ir-r1-1d1-t1,12:33:51,12:33:51,patna-26.81525-82.76991,11
patna-ir-r1-1d1-t1,14:35:16,14:35:16,patna-27.15465-81.97672,12
patna-ir-r1-1d1-t1,17:02:06,17:02:06,patna-26.86884-80.96137,13
patna-ir-r1-1d1-t1,17:10:49,17:10:49,patna-26.83183-80.91675,14
patna-ir-r1-1d1-t1,17:11:59,17:11:59,patna-26.83201-80.92151,15
patna-ir-r1-1d1-t2,08:00:00,08:00:00,patna-25.62173-85.06876,1
patna-ir-r1-1d1-t2,08:21:19,08:21:19,patna-25.74411-85.00317,2
patna-ir-r1-1d1-t2,08:22:29,08:22:29,patna-25.74410-85.00387,3
patna-ir-r1-1d1-t2,09:02:14,09:02:14,patna-25.78722-84.72447,4
patna-ir-r1-1d1-t2,09:03:24,09:03:24,patna-25.78719-84.72490,5
patna-ir-r1-1d1-t2,09:41:49,09:41:49,patna-25.96648-84.53672,6
patna-ir-r1-1d1-t2,10:27:17,10:27:17,patna-26.21089-84.35823,7
patna-ir-r1-1d1-t2,11:59:42,11:59:42,patna-26.50851-83.78158,8
patna-ir-r1-1d1-t2,12:00:52,12:00:52,patna-26.50814-83.78212,9
patna-ir-r1-1d1-t2,13:08:45,13:08:45,patna-26.75972-83.38173,10
patna-ir-r1-1d1-t2,14:33:51,14:33:51,patna-26.81525-82.76991,11
patna-ir-r1-1d1-t2,16:35:16,16:35:16,patna-27.15465-81.97672,12
patna-ir-r1-1d1-t2,19:02:06,19:02:06,patna-26.86884-80.96137,13
patna-ir-r1-1d1-t2,19:10:49,19:10:49,patna-26.83183-80.91675,14
patna-ir-r1-1d1-t2,19:11:59,19:11:59,patna-26.83201-80.92151,15
patna-ir-r1-1d1-t3,12:00:00,12:00:00,patna-25.62173-85.06876,1
patna-ir-r1-1d1-t3,12:21:19,12:21:19,patna-25.74411-85.00317,2
patna-ir-r1-1d1-t3,12:22:29,12:22:29,patna-25.74410-85.00387,3
patna-ir-r1-1d1-t3,13:02:14,13:02:14,patna-25.78722-84.72447,4
patna-ir-r1-1d1-t3,13:03:24,13:03:24,patna-25.78719-84.72490,5
patna-ir-r1-1d1-t3,13:41:49,13:41:49,patna-25.96648-84.53672,6
