route_id,service_id,trip_id,trip_headsign
patna-ir-r1,daily,patna-ir-r1-1d0-t1,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d0-t2,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d0-t3,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d0-t4,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d0-t5,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d1-t1,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d1-t2,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d1-t3,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d1-t4,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
patna-ir-r1,daily,patna-ir-r1-1d1-t5,Train Patliputra Lucknow Junction Express 15033: Patliputra → Lucknow Junction
