trip_id,arrival_time,departure_time,stop_id,stop_sequence
prayagraj-east-coast-r-r1-1d0-t1,06:00:00,06:00:00,prayagraj-20.26671-85.84369,1
prayagraj-east-coast-r-r1-1d0-t1,06:01:10,06:01:10,prayagraj-20.26574-85.84307,2
prayagraj-east-coast-r-r1-1d0-t1,06:33:16,06:33:16,prayagraj-20.46429-85.90047,3
prayagraj-east-coast-r-r1-1d0-t1,06:34:26,06:34:26,prayagraj-20.46539-85.90085,4
prayagraj-east-coast-r-r1-1d0-t1,07:55:45,07:55:45,prayagraj-20.94319-86.13204,5
prayagraj-east-coast-r-r1-1d0-t1,08:56:03,08:56:03,prayagraj-21.09175-86.51642,6
prayagraj-east-coast-r-r1-1d0-t1,08:57:13,08:57:13,prayagraj-21.09115-86.51610,7
prayagraj-east-coast-r-r1-1d0-t1,10:23:36,10:23:36,prayagraj-21.50160-86.92056,8
prayagraj-east-coast-r-r1-1d0-t1,10:24:46,10:24:46,prayagraj-21.50112-86.92023,9
prayagraj-east-coast-r-r1-1d0-t1,12:43:49,12:43:49,prayagraj-22.31907-87.32038,10
prayagraj-east-coast-r-r1-1d0-t1,12:44:59,12:44:59,prayagraj-22.31986-87.31939,11
prayagraj-east-coast-r-r1-1d0-t1,15:09:13,15:09:13,prayagraj-23.22409-87.07516,12
prayagraj-east-coast-r-r1-1d0-t1,16:20:01,16:20:01,prayagraj-23.49542-86.67552,13
prayagraj-east-coast-r-r1-1d0-t1,16:21:11,16:21:11,prayagraj-23.49550-86.67436,14
prayagraj-east-coast-r-r1-1d0-t1,17:55:23,17:55:23,prayagraj-23.87159-86.15295,15
prayagraj-east-coast-r-r1-1d0-t1,19:59:32,19:59:32,prayagraj-24.43503-85.52784,16
prayagraj-east-coast-r-r1-1d0-t1,20:00:42,20:00:42,prayagraj-24.43449-85.52898,17
prayagraj-east-coast-r-r1-1d0-t1,21:34:43,21:34:43,prayagraj-24.80412-84.99985,18
prayagraj-east-coast-r-r1-1d0-t1,21:35:53,21:35:53,prayagraj-24.80344-84.99953,19
prayagraj-east-coast-r-r1-1d0-t1,26:09:13,26:09:13,prayagraj-25.27853-83.12007,20
prayagraj-east-coast-r-r1-1d0-t1,29:12:10,29:12:10,prayagraj-25.44561-81.82456,21
prayagraj-east-coast-r-r1-1d0-t1,29:13:20,29:13:20,prayagraj-25.44550-81.82616,22
prayagraj-east-coast-r-r1-1d0-t1,33:31:00,33:31:00,prayagraj-26.45418-80.35113,23
prayagraj-east-coast-r-r1-1d0-t1,42:37:02,42:37:02,prayagraj-28.64166-77.22087,24
prayagraj-east-coast-r-r1-1d0-t1,42:38:12,42:38:12,prayagraj-28.64254-77.22084,25
prayagraj-east-coast-r-r1-1d0-t2,08:00:00,08:00:00,prayagraj-20.26671-85.84369,1
prayagraj-east-coast-r-r1-1d0-t2,08:01:10,08:01:10,prayagraj-20.26574-85.84307,2
prayagraj-east-coast-r-r1-1d0-t2,08:33:16,08:33:16,prayagraj-20.46429-85.90047,3
prayagraj-east-coast-r-r1-1d0-t2,08:34:26,08:34:26,prayagraj-20.46539-85.90085,4
prayagraj-east-coast-r-r1-1d0-t2,09:55:45,09:55:45,prayagraj-20.94319-86.13204,5
prayagraj-east-coast-r-r1-1d0-t2,10:56:03,10:56:03,prayagraj-21.09175-86.51642,6
prayagraj-east-coast-r-r1-1d0-t2,10:57:13,10:57:13,prayagraj-21.09115-86.51610,7
prayagraj-east-coast-r-r1-1d0-t2,12:23:36,12:23:36,prayagraj-21.50160-86.92056,8
prayagraj-east-coast-r-r1-1d0-t2,12:24:46,12:24:46,prayagraj-21.50112-86.92023,9
prayagraj-east-coast-r-r1-1d0-t2,14:43:49,14:43:49,prayagraj-22.31907-87.32038,10
prayagraj-east-coast-r-r1-1d0-t2,14:44:59,14:44:59,prayagraj-22.31986-87.31939,11
prayagraj-east-coast-r-r1-1d0-t2,17:09:13,17:09:13,prayagraj-23.22409-87.07516,12
prayagraj-east-coast-r-r1-1d0-t2,18:20:01,18:20:01,prayagraj-23.49542-86.67552,13
prayagraj-east-coast-r-r1-1d0-t2,18:21:11,18:21:11,prayagraj-23.49550-86.67436,14
prayagraj-east-coast-r-r1-1d0-t2,19:55:23,19:55:23,prayagraj-23.87159-86.15295,15
prayagraj-east-coast-r-r1-1d0-t2,21:59:32,21:59:32,prayagraj-24.43503-85.52784,16
prayagraj-east-coast-r-r1-1d0-t2,22:00:42,22:00:42,prayagraj-24.43449-85.52898,17
prayagraj-east-coast-r-r1-1d0-t2,23:34:43,23:34:43,prayagraj-24.80412-84.99985,18
prayagraj-east-coast-r-r1-1d0-t2,23:35:53,23:35:53,prayagraj-24.80344-84.99953,19
prayagraj-east-coast-r-r1-1d0-t2,28:09:13,28:09:13,prayagraj-25.27853-83.12007,20
prayagraj-east-coast-r-r1-1d0-t2,31:12:10,31:12:10,prayagraj-25.44561-81.82456,21
prayagraj-east-coast-r-r1-1d0-t2,31:13:20,31:13:20,prayagraj-25.44550-81.82616,22
prayagraj-east-coast-r-r1-1d0-t2,35:31:00,35:31:00,prayagraj-26.45418-80.35113,23
prayagraj-east-coast-r-r1-1d0-t2,44:37:02,44:37:02,prayagraj-28.64166-77.22087,24
prayagraj-east-coast-r-r1-1d0-t2,44:38:12,44:38:12,prayagraj-28.64254-77.22084,25
prayagraj-east-coast-r-r1-1d0-t3,12:00:00,12:00:00,prayagraj-20.26671-85.84369,1
prayagraj-east-coast-r-r1-1d0-t3,12:01:10,12:01:10,prayagraj-20.26574-85.84307,2
prayagraj-east-coast-r-r1-1d0-t3,12:33:16,12:33:16,prayagraj-20.46429-85.90047,3
prayagraj-east-coast-r-r1-1d0-t3,12:34:26,12:34:26,prayagraj-20.46539-85.90085,4
prayagraj-east-coast-r-r1-1d0-t3,13:55:45,13:55:45,prayagraj-20.94319-86.13204,5
prayagraj-east-coast-r-r1-1d0-t3,14:56:03,14:56:03,prayagraj-21.09175-86.51642,6
prayagraj-east-coast-r-r1-1d0-t3,14:57:13,14:57:13,prayagraj-21.09115-86.51610,7
prayagraj-east-coast-r-r1-1d0-t3,16:23:36,16:23:36,prayagraj-21.50160-86.92056,8
prayagraj-east-coast-r-r1-1d0-t3,16:24:46,16:24:46,prayagraj-21.50112-86.92023,9
prayagraj-east-coast-r-r1-1d0-t3,18:43:49,18:43:49,prayagraj-22.31907-87.32038,10
prayagraj-east-coast-r-r1-1d0-t3,18:44:59,18:44:59,prayagraj-22.31986-87.31939,11
prayagraj-east-coast-r-r1-1d0-t3,21:09:13,21:09:13,prayagraj-23.22409-87.07516,12
prayagraj-east-coast-r-r1-1d0-t3,22:20:01,22:20:01,prayagraj-23.49542-86.67552,13
prayagraj-east-coast-r-r1-1d0-t3,22:21:11,22:21:11,prayagraj-23.49550-86.67436,14
prayagraj-east-coast-r-r1-1d0-t3,23:55:23,23:55:23,prayagraj-23.87159-86.15295,15
prayagraj-east-coast-r-r1-1d0-t3,25:59:32,25:59:32,prayagraj-24.43503-85.52784,16
prayagraj-east-coast-r-r1-1d0-t3,26:00:42,26:00:42,prayagraj-24.43449-85.52898,17
prayagraj-east-coast-r-r1-1d0-t3,27:34:43,27:34:43,prayagraj-24.80412-84.99985,18
prayagraj-east-coast-r-r1-1d0-t3,27:35:53,27:35:53,prayagraj-24.80344-84.99953,19
prayagraj-east-coast-r-r1-1d0-t3,32:09:13,32:09:13,prayagraj-25.27853-83.12007,20
prayagraj-east-coast-r-r1-1d0-t3,35:12:10,35:12:10,prayagraj-25.44561-81.82456,21
prayagraj-east-coast-r-r1-1d0-t3,35:13:20,35:13:20,prayagraj-25.44550-81.82616,22
prayagraj-east-coast-r-r1-1d0-t3,39:31:00,39:31:00,prayagraj-26.45418-80.35113,23
prayagraj-east-coast-r-r1-1d0-t3,48:37:02,48:37:02,prayagraj-28.64166-77.22087,24
prayagraj-east-coast-r-r1-1d0-t3,48:38:12,48:38:12,prayagraj-28.64254-77.22084,25
prayagraj-east-coast-r-r1-1d0-t4,17:00:00,17:00:00,prayagraj-20.26671-85.84369,1
prayagraj-east-coast-r-r1-1d0-t4,17:01:10,17:01:10,prayagraj-20.26574-85.84307,2
prayagraj-east-coast-r-r1-1d0-t4,17:33:16,17:33:16,prayagraj-20.46429-85.90047,3
prayagraj-east-coast-r-r1-1d0-t4,17:34:26,17:34:26,prayagraj-20.46539-85.90085,4
prayagraj-east-coast-r-r1-1d0-t4,18:55:45,18:55:45,prayagraj-20.94319-86.13204,5
prayagraj-east-coast-r-r1-1d0-t4,19:56:03,19:56:03,prayagraj-21.09175-86.51642,6
prayagraj-east-coast-r-r1-1d0-t4,19:57:13,19:57:13,prayagraj-21.09115-86.51610,7
prayagraj-east-coast-r-r1-1d0-t4,21:23:36,21:23:36,prayagraj-21.50160-86.92056,8
prayagraj-east-coast-r-r1-1d0-t4,21:24:46,21:24:46,prayagraj-21.50112-86.92023,9
prayagraj-east-coast-r-r1-1d0-t4,23:43:49,23:43:49,prayagraj-22.31907-87.32038,10
prayagraj-east-coast-r-r1-1d0-t4,23:44:59,23:44:59,prayagraj-22.31986-87.31939,11
prayagraj-east-coast-r-r1-1d0-t4,26:09:13,26:09:13,prayagraj-23.22409-87.07516,12
prayagraj-east-coast-r-r1-1d0-t4,27:20:01,27:20:01,prayagraj-23.49542-86.67552,13
prayagraj-east-coast-r-r1-1d0-t4,27:21:11,27:21:11,prayagraj-23.49550-86.67436,14
prayagraj-east-coast-r-r1-1d0-t4,28:55:23,28:55:23,prayagraj-23.87159-86.15295,15
prayagraj-east-coast-r-r1-1d0-t4,30:59:32,30:59:32,prayagraj-24.43503-85.52784,16
prayagraj-east-coast-r-r1-1d0-t4,31:00:42,31:00:42,prayagraj-24.43449-85.52898,17
prayagraj-east-coast-r-r1-1d0-t4,32:34:43,32:34:43,prayagraj-24.80412-84.99985,18
prayagraj-east-coast-r-r1-1d0-t4,32:35:53,32:35:53,prayagraj-24.80344-84.99953,19
prayagraj-east-coast-r-r1-1d0-t4,37:09:13,37:09:13,prayagraj-25.27853-83.12007,20
prayagraj-east-coast-r-r1-1d0-t4,40:12:10,40:12:10,prayagraj-25.44561-81.82456,21
prayagraj-east-coast-r-r1-1d0-t4,40:13:20,40:13:20,prayagraj-25.44550-81.82616,22
prayagraj-east-coast-r-r1-1d0-t4,44:31:00,44:31:00,prayagraj-26.45418-80.35113,23
prayagraj-east-coast-r-r1-1d0-t4,53:37:02,53:37:02,prayagraj-28.64166-77.22087,24
prayagraj-east-coast-r-r1-1d0-t4,53:38:12,53:38:12,prayagraj-28.64254-77.22084,25
prayagraj-east-coast-r-r1-1d0-t5,20:00:00,20:00:00,prayagraj-20.26671-85.84369,1
prayagraj-east-coast-r-r1-1d0-t5,20:01:10,20:01:10,prayagraj-20.26574-85.84307,2
prayagraj-east-coast-r-r1-1d0-t5,20:33:16,20:33:16,prayagraj-20.46429-85.90047,3
prayagraj-east-coast-r-r1-1d0-t5,20:34:26,20:34:26,prayagraj-20.46539-85.90085,4
prayagraj-east-coast-r-r1-1d0-t5,21:55:45,21:55:45,prayagraj-20.94319-86.13204,5
prayagraj-east-coast-r-r1-1d0-t5,22:56:03,22:56:03,prayagraj-21.09175-86.51642,6
prayagraj-east-coast-r-r1-1d0-t5,22:57:13,22:57:13,prayagraj-21.09115-86.51610,7
prayagraj-east-coast-r-r1-1d0-t5,24:23:36,24:23:36,prayagraj-21.50160-86.92056,8
prayagraj-east-coast-r-r1-1d0-t5,24:24:46,24:24:46,prayagraj-21.50112-86.92023,9
prayagraj-east-coast-r-r1-1d0-t5,26:43:49,26:43:49,prayagraj-22.31907-87.32038,10
prayagraj-east-coast-r-r1-1d0-t5,26:44:59,26:44:59,prayagraj-22.31986-87.31939,11
prayagraj-east-coast-r-r1-1d0-t5,29:09:13,29:09:13,prayagraj-23.22409-87.07516,12
prayagraj-east-coast-r-r1-1d0-t5,30:20:01,30:20:01,prayagraj-23.49542-86.67552,13
prayagraj-east-coast-r-r1-1d0-t5,30:21:11,30:21:11,prayagraj-23.49550-86.67436,14
prayagraj-east-coast-r-r1-1d0-t5,31:55:23,31:55:23,prayagraj-23.87159-86.15295,15
prayagraj-east-coast-r-r1-1d0-t5,33:59:32,33:59:32,prayagraj-24.43503-85.52784,16
prayagraj-east-coast-r-r1-1d0-t5,34:00:42,34:00:42,prayagraj-24.43449-85.52898,17
prayagraj-east-coast-r-r1-1d0-t5,35:34:43,35:34:43,prayagraj-24.80412-84.99985,18
prayagraj-east-coast-r-r1-1d0-t5,35:35:53,35:35:53,prayagraj-24.80344-84.99953,19
prayagraj-east-coast-r-r1-1d0-t5,40:09:13,40:09:13,prayagraj-25.27853-83.12007,20
prayagraj-east-coast-r-r1-1d0-t5,43:12:10,43:12:10,prayagraj-25.44561-81.82456,21
prayagraj-east-coast-r-r1-1d0-t5,43:13:20,43:13:20,prayagraj-25.44550-81.82616,22
prayagraj-east-coast-r-r1-1d0-t5,47:31:00,47:31:00,prayagraj-26.45418-80.35113,23
prayagraj-east-coast-r-r1-1d0-t5,56:37:02,56:37:02,prayagraj-28.64166-77.22087,24
prayagraj-east-coast-r-r1-1d0-t5,56:38:12,56:38:12,prayagraj-28.64254-77.22084,25
prayagraj-east-coast-r-r1-1d1-t1,06:00:00,06:00:00,prayagraj-28.64254-77.22084,1
prayagraj-east-coast-r-r1-1d1-t1,06:01:10,06:01:10,prayagraj-28.64166-77.22087,2
prayagraj-east-coast-r-r1-1d1-t1,15:07:12,15:07:12,prayagraj-26.45418-80.35113,3
prayagraj-east-coast-r-r1-1d1-t1,19:24:52,19:24:52,prayagraj-25.44550-81.82616,4
prayagraj-east-coast-r-r1-1d1-t1,19:26:02,19:26:02,prayagraj-25.44561-81.82456,5
prayagraj-east-coast-r-r1-1d1-t1,22:28:59,22:28:59,prayagraj-25.27853-83.12007,6
prayagraj-east-coast-r-r1-1d1-t1,27:02:19,27:02:19,prayagraj-24.80344-84.99953,7
prayagraj-east-coast-r-r1-1d1-t1,27:03:29,27:03:29,prayagraj-24.80412-84.99985,8
prayagraj-east-coast-r-r1-1d1-t1,28:37:30,28:37:30,prayagraj-24.43449-85.52898,9
prayagraj-east-coast-r-r1-1d1-t1,28:38:40,28:38:40,prayagraj-24.43503-85.52784,10
prayagraj-east-coast-r-r1-1d1-t1,30:42:49,30:42:49,prayagraj-23.87159-86.15295,11
prayagraj-east-coast-r-r1-1d1-t1,32:17:01,32:17:01,prayagraj-23.49550-86.67436,12
prayagraj-east-coast-r-r1-1d1-t1,32:18:11,32:18:11,prayagraj-23.49542-86.67552,13
prayagraj-east-coast-r-r1-1d1-t1,33:28:59,33:28:59,prayagraj-23.22409-87.07516,14
prayagraj-east-coast-r-r1-1d1-t1,35:53:13,35:53:13,prayagraj-22.31986-87.31939,15
prayagraj-east-coast-r-r1-1d1-t1,35:54:23,35:54:23,prayagraj-22.31907-87.32038,16
prayagraj-east-coast-r-r1-1d1-t1,38:13:26,38:13:26,prayagraj-21.50112-86.92023,17
prayagraj-east-coast-r-r1-1d1-t1,38:14:36,38:14:36,prayagraj-21.50160-86.92056,18
prayagraj-east-coast-r-r1-1d1-t1,39:40:59,39:40:59,prayagraj-21.09115-86.51610,19
prayagraj-east-coast-r-r1-1d1-t1,39:42:09,39:42:09,prayagraj-21.09175-86.51642,20
prayagraj-east-coast-r-r1-1d1-t1,40:42:27,40:42:27,prayagraj-20.94319-86.13204,21
prayagraj-east-coast-r-r1-1d1-t1,42:03:46,42:03:46,prayagraj-20.46539-85.90085,22
prayagraj-east-coast-r-r1-1d1-t1,42:04:56,42:04:56,prayagraj-20.46429-85.90047,23
prayagraj-east-coast-r-r1-1d1-t1,42:37:02,42:37:02,prayagraj-20.26574-85.84307,24
prayagraj-east-coast-r-r1-1d1-t1,42:38:12,42:38:12,prayagraj-20.26671-85.84369,25
prayagraj-east-coast-r-r1-1d1-t2,08:00:00,08:00:00,prayagraj-28.64254-77.22084,1
prayagraj-east-coast-r-r1-1d1-t2,08:01:10,08:01:10,prayagraj-28.64166-77.22087,2
prayagraj-east-coast-r-r1-1d1-t2,17:07:12,17:07:12,prayagraj-26.45418-80.35113,3
prayagraj-east-coast-r-r1-1d1-t2,21:24:52,21:24:52,prayagraj-25.44550-81.82616,4
prayagraj-east-coast-r-r1-1d1-t2,21:26:02,21:26:02,prayagraj-25.44561-81.82456,5
prayagraj-east-coast-r-r1-1d1-t2,24:28:59,24:28:59,prayagraj-25.27853-83.12007,6
prayagraj-east-coast-r-r1-1d1-t2,29:02:19,29:02:19,prayagraj-24.80344-84.99953,7
prayagraj-east-coast-r-r1-1d1-t2,29:03:29,29:03:29,prayagraj-24.80412-84.99985,8
prayagraj-east-coast-r-r1-1d1-t2,30:37:30,30:37:30,prayagraj-24.43449-85.52898,9
prayagraj-east-coast-r-r1-1d1-t2,30:38:40,30:38:40,prayagraj-24.43503-85.52784,10
prayagraj-east-coast-r-r1-1d1-t2,32:42:49,32:42:49,prayagraj-23.87159-86.15295,11
prayagraj-east-coast-r-r1-1d1-t2,34:17:01,34:17:01,prayagraj-23.49550-86.67436,12
prayagraj-east-coast-r-r1-1d1-t2,34:18:11,34:18:11,prayagraj-23.49542-86.67552,13
prayagraj-east-coast-r-r1-1d1-t2,35:28:59,35:28:59,prayagraj-23.22409-87.07516,14
prayagraj-east-coast-r-r1-1d1-t2,37:53:13,37:53:13,prayagraj-22.31986-87.31939,15
prayagraj-east-coast-r-r1-1d1-t2,37:54:23,37:54:23,prayagraj-22.31907-87.32038,16
prayagraj-east-coast-r-r1-1d1-t2,40:13:26,40:13:26,prayagraj-21.50112-86.92023,17
prayagraj-east-coast-r-r1-1d1-t2,40:14:36,40:14:36,prayagraj-21.50160-86.92056,18
prayagraj-east-coast-r-r1-1d1-t2,41:40:59,41:40:59,prayagraj-21.09115-86.51610,19
prayagraj-east-coast-r-r1-1d1-t2,41:42:09,41:42:09,prayagraj-21.09175-86.51642,20
prayagraj-east-coast-r-r1-1d1-t2,42:42:27,42:42:27,prayagraj-20.94319-86.13204,21
prayagraj-east-coast-r-r1-1d1-t2,44:03:46,44:03:46,prayagraj-20.46539-85.90085,22
prayagraj-east-coast-r-r1-1d1-t2,44:04:56,44:04:56,prayagraj-20.46429-85.90047,23
prayagraj-east-coast-r-r1-1d1-t2,44:37:02,44:37:02,prayagraj-20.26574-85.84307,24
prayagraj-east-coast-r-r1-1d1-t2,44:38:12,44:38:12,prayagraj-20.26671-85.84369,25
prayagraj-east-coast-r-r1-1d1-t3,12:00:00,12:00:00,prayagraj-28.64254-77.22084,1
prayagraj-east-coast-r-r1-1d1-t3,12:01:10,12:01:10,prayagraj-28.64166-77.22087,2
prayagraj-east-coast-r-r1-1d1-t3,21:07:12,21:07:12,prayagraj-26.45418-80.35113,3
prayagraj-east-coast-r-r1-1d1-t3,25:24:52,25:24:52,prayagraj-25.44550-81.82616,4
prayagraj-east-coast-r-r1-1d1-t3,25:26:02,25:26:02,prayagraj-25.44561-81.82456,5
prayagraj-east-coast-r-r1-1d1-t3,28:28:59,28:28:59,prayagraj-25.27853-83.12007,6
prayagraj-east-coast-r-r1-1d1-t3,33:02:19,33:02:19,prayagraj-24.80344-84.99953,7
prayagraj-east-coast-r-r1-1d1-t3,33:03:29,33:03:29,prayagraj-24.80412-84.99985,8
prayagraj-east-coast-r-r1-1d1-t3,34:37:30,34:37:30,prayagraj-24.43449-85.52898,9
prayagraj-east-coast-r-r1-1d1-t3,34:38:40,34:38:40,prayagraj-24.43503-85.52784,10
prayagraj-east-coast-r-r1-1d1-t3,36:42:49,36:42:49,prayagraj-23.87159-86.15295,11
prayagraj-east-coast-r-r1-1d1-t3,38:17:01,38:17:01,prayagraj-23.49550-86.67436,12
prayagraj-east-coast-r-r1-1d1-t3,38:18:11,38:18:11,prayagraj-23.49542-86.67552,13
prayagraj-east-coast-r-r1-1d1-t3,39:28:59,39:28:59,prayagraj-23.22409-87.07516,14
prayagraj-east-coast-r-r1-1d1-t3,41:53:13,41:53:13,prayagraj-22.31986-87.31939,15
prayagraj-east-coast-r-r1-1d1-t3,41:54:23,41:54:23,prayagraj-22.31907-87.32038,16
